InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001901,1001049061580.0,21.04,0.48,135.87086000000002,-0.5243800000000001,53464.1945,0.0
1001901,1001049061580.0,20.72,0.43,135.86996000000002,-0.5231100000000001,53846.17721,0.0
1001901,1001049061580.0,20.42,0.35,135.87198999999998,-0.52394,53798.27419,0.0
1001901,1001049061580.0,20.68,0.38,135.86973999999998,-0.5233,54115.27138,0.0
1001901,1001049061580.0,20.82,0.41,135.87018999999998,-0.5231100000000001,54128.30439,0.0
1001901,1001049061580.0,21.08,0.49,135.86959,-0.52252,54170.193479999994,0.0
1001901,1001049061580.0,20.13,0.25,135.87111000000002,-0.52508,54563.177189999995,0.0
1001901,1001049061580.0,20.15,0.28,135.87016,-0.52384,54466.42365,0.0
1001901,1001049061580.0,19.95,0.26,135.86888000000002,-0.52362,54589.16095,0.0
1001901,1001049061580.0,21.03,0.48,135.87093000000002,-0.5243,55293.20394,0.0
1001901,1001049061580.0,21.06,0.49,135.87048000000001,-0.52441,55293.20963,0.0
1001901,1001049061580.0,21.09,0.51,135.87055,-0.52368,55240.26784,0.0
1001901,1001049061580.0,20.43,0.33,135.86971,-0.52265,55204.38847000001,0.0
1001901,1001049061580.0,21.34,0.49,135.87004,-0.5222100000000001,55598.350329999994,0.0
1001901,1001049061580.0,20.77,0.49,135.87034,-0.52327,55574.33242000001,0.0
1001901,1001049061580.0,19.67,0.23,135.87073,-0.5233,55929.30381000001,0.0
1001901,1001049061580.0,20.78,0.41,135.86973999999998,-0.52332,55958.29146,0.0
1001901,1001049061580.0,21.12,0.44,135.86893,-0.52363,56038.17332,0.0
1001901,1001049061580.0,21.34,0.58,135.87045,-0.52355,56339.27816,0.0
1001901,1001049061803.0,21.01,0.47,135.8797,-0.5142100000000001,53464.21986000001,0.0
1001901,1001049061803.0,20.65,0.4,135.87941999999998,-0.51484,53705.432160000004,0.0
1001901,1001049061803.0,20.55,0.37,135.88001,-0.51474,53712.40588,0.0
1001901,1001049061803.0,20.43,0.35,135.87996,-0.51481,53732.461110000004,0.0
1001901,1001049061803.0,19.99,0.28,135.88007,-0.51539,53679.48123,0.0
1001901,1001049061803.0,21.02,0.48,135.87965,-0.51456,53679.49196,0.0
1001901,1001049061803.0,20.14,0.28,135.88012,-0.51459,54090.416320000004,0.0
1001901,1001049061803.0,20.73,0.39,135.87937,-0.51469,54090.42365,0.0
1001901,1001049061803.0,20.14,0.3,135.87938,-0.5148699999999999,53773.2835,0.0
1001901,1001049061803.0,20.11,0.29,135.88002,-0.51472,53790.23071,0.0
1001901,1001049061803.0,21.04,0.5,135.87985,-0.51478,53790.23815,0.0
1001901,1001049061803.0,20.66,0.39,135.88003999999998,-0.51452,53739.367510000004,0.0
1001901,1001049061803.0,21.08,0.51,135.8799,-0.51467,53758.27499,0.0
1001901,1001049061803.0,20.03,0.28,135.8798,-0.5150399999999999,54141.32362999999,0.0
1001901,1001049061803.0,21.03,0.47,135.8798,-0.51489,54141.33007,0.0
1001901,1001049061803.0,21.11,0.42,135.87955,-0.5130399999999999,54563.18386000001,0.0
1001901,1001049061803.0,20.09,0.29,135.87961,-0.51466,54574.16224,0.0
1001901,1001049061803.0,19.93,0.25,135.88003,-0.51523,54829.34732000001,0.0
1001901,1001049061803.0,20.85,0.42,135.8803,-0.51475,54498.277729999994,0.0
