InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1001981,1140039021014.0,20.79,0.42,139.43556999999998,40.55219,53711.3741,0.0
1001981,1140039021014.0,21.1,0.5,139.43552,40.55146,54089.35562,0.0
1001981,1140039021014.0,20.84,0.45,139.43579,40.552209999999995,53762.248179999995,0.0
1001981,1140039021014.0,21.11,0.51,139.43543,40.55205,54209.20779,0.0
1001981,1140039021014.0,21.05,0.48,139.435,40.55186,54415.379389999995,0.0
1001981,1140039021014.0,20.47,0.34,139.43593,40.55206,54466.476239999996,0.0
1001981,1140039021014.0,20.49,0.35,139.43563,40.55213,54478.24321,0.0
1001981,1140039021014.0,21.16,0.5,139.43555,40.55237,54889.24891,0.0
1001981,1140039021014.0,18.83,0.15,139.43608999999998,40.55321,54889.2588,0.0
1001981,1140039021014.0,20.26,0.3,139.43552,40.5516,54889.26821,0.0
1001981,1140039021014.0,20.89,0.42,139.43526,40.55233,54833.37847999999,0.0
1001981,1140039021014.0,21.1,0.57,139.43579,40.55186,54852.32434,0.0
1001981,1140039021014.0,20.88,0.44,139.43478000000002,40.55263,54952.16914,0.0
1001981,1140039021014.0,21.32,0.58,139.43565,40.55161,55297.23798,0.0
1001981,1140039021014.0,19.93,0.28,139.43434,40.55164,55358.17163,0.0
1001981,1140039021014.0,20.63,0.38,139.43594,40.55141,55272.29829,0.0
1001981,1140039021014.0,21.33,0.6,139.43618999999998,40.552170000000004,55630.17754,0.0
1001981,1140039021014.0,21.08,0.52,139.43675,40.55184000000001,55834.48198,0.0
1001981,1140039021014.0,20.82,0.36,139.43608,40.55193,55889.453429999994,0.0
1001981,1140039021014.0,20.51,0.36,139.4358,40.55222,55958.38992,0.0
1001981,1140039021014.0,20.27,0.35,139.4345,40.55236,55987.20985,0.0
1001981,1140039021014.0,20.78,0.42,139.43542,40.55169,56067.18685,0.0
1001981,1140039021014.0,20.77,0.42,139.43589,40.55262000000001,56297.30826000001,0.0
1001981,1140039021014.0,21.17,0.52,139.43558000000002,40.55227,56305.44959,0.0
1001981,1140039021014.0,18.98,0.32,139.43533,40.55263,56313.415129999994,0.0
1001981,1140039021206.0,21.29,0.56,139.42507,40.55468,53734.3577,0.0
1001981,1140039021206.0,20.19,0.31,139.42733,40.55666,53788.16262,0.0
1001981,1140039021206.0,20.38,0.35,139.42441000000002,40.554559999999995,53788.17732,0.0
1001981,1140039021206.0,20.49,0.34,139.42381,40.55593,54466.468539999994,0.0
1001981,1140039021206.0,21.27,0.55,139.4256,40.555209999999995,54478.23831,0.0
1001981,1140039021206.0,20.09,0.28,139.42452,40.55522,54790.45015,0.0
1001981,1140039021206.0,21.49,0.6,139.42502,40.55507,54889.24891,0.0
1001981,1140039021206.0,21.35,0.56,139.42561,40.5552,54913.11816000001,0.0
1001981,1140039021206.0,21.02,0.48,139.42571999999998,40.55336,55151.39986000001,0.0
1001981,1140039021206.0,20.62,0.38,139.42678999999998,40.55627,55131.44964,0.0
1001981,1140039021206.0,19.82,0.25,139.42487,40.55511,55540.42887999999,0.0
1001981,1140039021206.0,20.49,0.36,139.42532,40.555,55327.163239999994,0.0
1001981,1140039021206.0,21.4,0.61,139.4253,40.555209999999995,55598.30059,0.0
1001981,1140039021206.0,20.12,0.29,139.42545,40.55516,55922.338639999994,0.0
1001981,1140039021206.0,21.33,0.57,139.42481,40.555170000000004,55922.3454,0.0
1001981,1140039021206.0,20.76,0.41,139.42481,40.55453,55958.38485,0.0
1001981,1140039021206.0,19.93,0.26,139.42484,40.55529,55967.40857000001,0.0
1001981,1140039021206.0,19.62,0.24,139.42496,40.55506,55987.18961,0.0
1001981,1140039021206.0,20.77,0.42,139.42492,40.55507,56067.18685,0.0
1001981,1140039021206.0,20.92,0.45,139.42369,40.55446,56074.1823,0.0
