InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002001,1004050050543.0,20.29,0.32,140.56624,-3.6000699999999997,53706.43238,0.0
1002001,1004050050543.0,19.73,0.24,140.56591,-3.59984,53706.440839999996,0.0
1002001,1004050050543.0,20.15,0.31,140.56595,-3.6001,53712.39191000001,0.0
1002001,1004050050543.0,20.33,0.33,140.56652,-3.6005199999999995,53732.4716,0.0
1002001,1004050050543.0,20.17,0.32,140.56615,-3.59974,53855.13616,0.0
1002001,1004050050543.0,19.45,0.22,140.56603,-3.5995,53855.141039999995,0.0
1002001,1004050050543.0,19.76,0.25,140.56579,-3.5998,53855.14596,0.0
1002001,1004050050543.0,19.77,0.23,140.56583999999998,-3.59973,54090.41952,0.0
1002001,1004050050543.0,20.06,0.29,140.56556,-3.59996,53790.2596,0.0
1002001,1004050050543.0,19.86,0.26,140.56628,-3.6002300000000003,53790.2676,0.0
1002001,1004050050543.0,20.09,0.3,140.56582,-3.5999199999999996,53745.39097000001,0.0
1002001,1004050050543.0,19.95,0.27,140.56583,-3.60005,53798.25799,0.0
1002001,1004050050543.0,19.77,0.25,140.56562,-3.6000099999999997,53798.266729999996,0.0
1002001,1004050050543.0,20.13,0.3,140.56565,-3.5998900000000003,53798.27525,0.0
1002001,1004050050543.0,20.23,0.3,140.56578000000002,-3.6002400000000003,54057.430389999994,0.0
1002001,1004050050543.0,20.6,0.37,140.5657,-3.59962,54057.44991,0.0
1002001,1004050050543.0,19.66,0.26,140.5659,-3.6004300000000002,54141.322570000004,0.0
1002001,1004050050543.0,20.12,0.29,140.56593,-3.6001,54141.33547000001,0.0
1002001,1004050050543.0,19.68,0.23,140.56617,-3.60006,54128.30278,0.0
1002001,1004050050543.0,20.06,0.28,140.56568000000001,-3.5998300000000003,54128.30814,0.0
1002001,1004050050543.0,20.75,0.41,140.56559,-3.5996,54128.31352999999,0.0
1002001,1004050050543.0,20.06,0.28,140.5657,-3.60017,54171.23549,0.0
1002001,1004050050543.0,20.68,0.39,140.56566,-3.6000099999999997,54171.23981,0.0
1002001,1004050050543.0,20.19,0.3,140.56512,-3.5994699999999997,54416.42365,0.0
1002001,1004050050543.0,19.98,0.27,140.56543,-3.59994,54416.43554,0.0
1002001,1004050050543.0,19.59,0.21,140.56534,-3.60008,54418.449389999994,0.0
1002001,1004050050543.0,20.26,0.31,140.56623000000002,-3.5996,54418.45476,0.0
1002001,1004050050543.0,20.62,0.38,140.56617,-3.5996099999999998,54425.41719,0.0
1002001,1004050050543.0,19.69,0.23,140.56685,-3.59931,54425.422589999995,0.0
1002001,1004050050543.0,20.15,0.31,140.56605,-3.5998300000000003,54565.16892999999,0.0
1002001,1004050050543.0,19.33,0.2,140.56603,-3.5996300000000003,54565.18298,0.0
1002001,1004050050543.0,20.12,0.28,140.56573,-3.5999,54801.47606,0.0
1002001,1004050050543.0,20.18,0.29,140.56596000000002,-3.59953,54801.483870000004,0.0
1002001,1004050050543.0,20.14,0.28,140.56502,-3.5996900000000003,54801.49182999999,0.0
1002001,1004050050543.0,20.25,0.3,140.56566999999998,-3.60019,54829.3779,0.0
1002001,1004050050543.0,20.21,0.3,140.56569,-3.5998,54829.385220000004,0.0
1002001,1004050050543.0,20.28,0.31,140.56582,-3.5997199999999996,54829.39246,0.0
1002001,1004050050543.0,19.36,0.19,140.5656,-3.5997800000000004,54829.39981,0.0
1002001,1004050050543.0,19.96,0.26,140.56581,-3.59976,54498.28092999999,0.0
1002001,1004050050543.0,20.28,0.31,140.56593999999998,-3.59982,54498.286889999996,0.0
1002001,1004050050543.0,19.95,0.26,140.5658,-3.5996699999999997,54498.29886,0.0
1002001,1004050050543.0,20.24,0.26,140.56592,-3.5996099999999998,54505.25562999999,0.0
1002001,1004050050543.0,19.86,0.21,140.56591,-3.5998300000000003,54505.264839999996,0.0
1002001,1004050050543.0,21.33,0.47,140.56645,-3.59977,54505.27407000001,0.0
1002001,1004050050543.0,20.25,0.26,140.56589,-3.60017,54505.28325,0.0
1002001,1004050050543.0,20.09,0.28,140.56606000000002,-3.6002199999999998,54510.2625,0.0
1002001,1004050050543.0,20.68,0.39,140.56605,-3.5999800000000004,54510.27549,0.0
1002001,1004050050543.0,20.36,0.32,140.56679,-3.6000199999999998,54466.375289999996,0.0
1002001,1004050050543.0,20.16,0.29,140.56618,-3.5994099999999998,54466.39072999999,0.0
1002001,1004050050543.0,20.37,0.32,140.56582,-3.5994900000000003,54477.33656,0.0
1002001,1004050050543.0,20.14,0.29,140.56598,-3.59985,54526.22662,0.0
1002001,1004050050543.0,20.08,0.28,140.56615,-3.5996599999999996,54526.23321000001,0.0
1002001,1004050050543.0,20.26,0.31,140.56583,-3.59974,54526.23981,0.0
1002001,1004050050543.0,19.12,0.18,140.56558,-3.5995199999999996,54532.1758,0.0
1002001,1004050050543.0,20.01,0.27,140.56566999999998,-3.6001,54532.1817,0.0
1002001,1004050050543.0,19.8,0.25,140.56618,-3.5994,54556.147079999995,0.0
1002001,1004050050543.0,20.91,0.46,140.56582,-3.59984,54556.15422999999,0.0
1002001,1004050050543.0,19.71,0.23,140.56587,-3.59942,54941.17291,0.0
1002001,1004050050543.0,19.72,0.24,140.56569,-3.59997,54941.180179999996,0.0
1002001,1004050050543.0,19.52,0.21,140.56573,-3.60029,55181.444039999995,0.0
1002001,1004050050543.0,20.61,0.37,140.5661,-3.59982,54863.30287000001,0.0
1002001,1004050050543.0,20.26,0.3,140.56602,-3.59994,54863.31495,0.0
1002001,1004050050543.0,20.48,0.34,140.56587,-3.5994699999999997,54863.32105,0.0
1002001,1004050050543.0,20.09,0.28,140.56596000000002,-3.5999199999999996,54849.39935,0.0
1002001,1004050050543.0,20.09,0.28,140.56622,-3.59968,54849.40701,0.0
1002001,1004050050543.0,20.08,0.34,140.56571,-3.59976,54891.17907000001,0.0
