InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002181,1135045019903.0,20.2,0.3,149.71141,34.80939,53711.434129999994,0.0
1002181,1135045019903.0,20.8,0.43,149.71177,34.809059999999995,53770.289189999996,0.0
1002181,1135045019903.0,20.09,0.29,149.71169,34.80936,53757.382139999994,0.0
1002181,1135045019903.0,21.23,0.55,149.7111,34.81009,54209.22192999999,0.0
1002181,1135045019903.0,20.08,0.25,149.71147,34.80952,54258.16862999999,0.0
1002181,1135045019903.0,20.26,0.3,149.71176,34.80905,54424.45824,0.0
1002181,1135045019903.0,21.1,0.5,149.7119,34.80981,54566.218389999995,0.0
1002181,1135045019903.0,20.16,0.3,149.71236000000005,34.808659999999996,54566.22487000001,0.0
1002181,1135045019903.0,21.35,0.64,149.71149,34.80959,54822.43068,0.0
1002181,1135045019903.0,20.85,0.48,149.71206999999995,34.809540000000005,54822.441439999995,0.0
1002181,1135045019903.0,21.33,0.55,149.71188999999995,34.80925,54506.33001000001,0.0
1002181,1135045019903.0,20.82,0.43,149.71137,34.80955,54538.30892999999,0.0
1002181,1135045019903.0,21.17,0.52,149.71228,34.80942,54588.23431,0.0
1002181,1135045019903.0,20.49,0.36,149.71168,34.8094,54922.30244,0.0
1002181,1135045019903.0,19.95,0.26,149.71146000000005,34.80983,54941.22682999999,0.0
1002181,1135045019903.0,20.19,0.3,149.71206999999995,34.8102,54941.23886000001,0.0
1002181,1135045019903.0,20.95,0.47,149.71209,34.80918,55182.333810000004,0.0
1002181,1135045019903.0,20.47,0.34,149.71171999999999,34.8092,54834.39931,0.0
1002181,1135045019903.0,20.19,0.31,149.71215,34.8096,54852.31104,0.0
1002181,1135045019903.0,21.33,0.57,149.71161,34.809709999999995,54911.30477,0.0
1002181,1135045019903.0,21.05,0.48,149.71168,34.80904,55295.185020000004,0.0
1002181,1135045019903.0,20.86,0.35,149.71283,34.8092,55533.43694,0.0
1002181,1135045019903.0,20.29,0.27,149.71132,34.8092,55533.45201,0.0
1002181,1135045019903.0,20.65,0.4,149.71175,34.80938,55240.249879999996,0.0
1002181,1135045019903.0,21.33,0.57,149.71216,34.80937,55246.29607999999,0.0
1002181,1135045019903.0,20.52,0.36,149.71112,34.809779999999996,55246.311989999995,0.0
1002181,1135045019903.0,20.34,0.32,149.71216,34.8092,55211.38091,0.0
1002181,1135045019903.0,20.92,0.46,149.71223999999995,34.80911,55505.507679999995,0.0
1002181,1135045019903.0,20.8,0.43,149.71183,34.80945,55598.29711,0.0
1002181,1135045019903.0,20.65,0.39,149.71125,34.8101,55569.373,0.0
1002181,1135045019903.0,20.17,0.3,149.71219,34.80966,55591.31978,0.0
1002181,1135045019903.0,20.47,0.36,149.71131,34.809470000000005,55591.32949,0.0
1002181,1135045019903.0,19.98,0.28,149.71223,34.80935,55628.21431,0.0
1002181,1135045019903.0,19.83,0.26,149.71181,34.80924,55634.2434,0.0
1002181,1135045019903.0,21.06,0.49,149.71166000000005,34.80963,55928.319789999994,0.0
1002181,1135045019903.0,20.17,0.29,149.7116,34.80957,55945.43005,0.0
1002181,1135045019903.0,20.05,0.28,149.71202,34.80942,55969.261329999994,0.0
1002181,1135045019903.0,20.62,0.32,149.71149,34.809059999999995,55981.24004,0.0
1002181,1135045019903.0,20.03,0.24,149.7118,34.809059999999995,55981.259060000004,0.0
1002181,1135045019903.0,20.17,0.25,149.71228,34.80948,55981.26851,0.0
1002181,1135045019903.0,20.5,0.3,149.71227,34.8091,56306.50731,0.0
1002181,1135045019903.0,20.87,0.37,149.71188999999995,34.80941,56306.513439999995,0.0
1002181,1135045019903.0,20.37,0.34,149.71175,34.80972,56313.4599,0.0
1002181,1135045019903.0,19.75,0.24,149.71225,34.809870000000004,56354.23052999999,0.0
1002181,1135045019903.0,21.36,0.59,149.7121,34.80938,56367.237239999995,0.0
1002181,1135045019903.0,20.76,0.45,149.71231,34.80905,56390.19323,0.0
1002181,1135045019903.0,21.22,0.56,149.71115,34.80941,56420.165279999994,0.0
1002181,1135045019903.0,19.87,0.23,149.71226000000001,34.80922,56449.16239,0.0
1002181,1135045019903.0,21.23,0.49,149.71178999999995,34.80977,56449.16845,0.0
1002181,1135045019929.0,20.39,0.34,149.69253,34.81074,53711.434129999994,0.0
1002181,1135045019929.0,19.95,0.27,149.69207,34.81025,53687.444639999994,0.0
1002181,1135045019929.0,19.53,0.23,149.69228999999999,34.8111,53770.29777000001,0.0
1002181,1135045019929.0,20.08,0.29,149.69151000000005,34.8099,53757.4083,0.0
1002181,1135045019929.0,21.18,0.54,149.69181,34.810320000000004,53798.233089999994,0.0
1002181,1135045019929.0,20.34,0.34,149.69181,34.810629999999996,53818.22706000001,0.0
1002181,1135045019929.0,20.2,0.3,149.69187,34.81069,54450.35724,0.0
1002181,1135045019929.0,20.79,0.47,149.69133,34.8114,54127.23154,0.0
1002181,1135045019929.0,20.54,0.36,149.69405,34.812,54169.19177000001,0.0
1002181,1135045019929.0,21.28,0.55,149.69173,34.811,54169.19999,0.0
1002181,1135045019929.0,21.31,0.55,149.69193,34.81013,54424.45159,0.0
1002181,1135045019929.0,20.92,0.44,149.69211,34.81061,54506.32352000001,0.0
1002181,1135045019929.0,20.1,0.29,149.69133,34.81054,54525.24347,0.0
1002181,1135045019929.0,20.56,0.37,149.69167,34.81163,54588.23431,0.0
1002181,1135045019929.0,21.13,0.51,149.69255,34.81064,54588.23862999999,0.0
1002181,1135045019929.0,20.87,0.42,149.69258,34.811370000000004,54790.47026,0.0
1002181,1135045019929.0,21.25,0.53,149.69177,34.810959999999994,54834.39931,0.0
1002181,1135045019929.0,20.92,0.46,149.69231000000005,34.81073,54852.31104,0.0
1002181,1135045019929.0,21.01,0.48,149.69243,34.810140000000004,54911.29987,0.0
1002181,1135045019929.0,20.43,0.34,149.69146,34.81066,54911.30477,0.0
1002181,1135045019929.0,21.04,0.5,149.69027,34.8096,54975.20071000001,0.0
1002181,1135045019929.0,21.22,0.53,149.69193,34.81068,55295.19027000001,0.0
1002181,1135045019929.0,21.21,0.53,149.69215,34.81007,55295.19552000001,0.0
1002181,1135045019929.0,20.58,0.3,149.69066,34.81074,55533.45956,0.0
1002181,1135045019929.0,20.66,0.4,149.69218,34.810520000000004,55240.249879999996,0.0
1002181,1135045019929.0,21.4,0.59,149.69349,34.8118,55246.311989999995,0.0
1002181,1135045019929.0,20.62,0.39,149.69159,34.81105,55598.291320000004,0.0
1002181,1135045019929.0,21.33,0.58,149.69149,34.81045,55598.3029,0.0
1002181,1135045019929.0,21.38,0.62,149.69292,34.81125,55628.22181,0.0
1002181,1135045019929.0,20.19,0.32,149.69159,34.81074,55634.21612999999,0.0
1002181,1135045019929.0,20.68,0.39,149.69196000000005,34.81047,54096.31699,0.0
1002181,1135045019929.0,20.1,0.24,149.69148,34.8105,55981.24004,0.0
1002181,1135045019929.0,20.92,0.38,149.69114,34.81115,56065.196079999994,0.0
1002181,1135045019929.0,21.1,0.5,149.69368,34.81123,56297.363339999996,0.0
1002181,1135045019929.0,21.52,0.54,149.69107,34.81069,56306.50731,0.0
1002181,1135045019929.0,20.55,0.38,149.69122,34.81003,56313.4599,0.0
1002181,1135045019929.0,21.29,0.57,149.69173999999995,34.81044,56367.237239999995,0.0
1002181,1135045020063.0,21.36,0.59,149.68649,34.81342,53711.41929,0.0
