InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002241,1169021029344,20.66,0.42,151.99768,69.26361,53768.3951,0
1002241,1169021029344,20.64,0.41,151.99728000000005,69.2641,53768.40196,0
1002241,1169021029344,19.77,0.29,151.99775,69.26403,54948.21627999999,0
1002241,1169021029344,19.71,0.24,151.99703,69.26382,54865.19938,0
1002241,1169021029344,17.6,0.1,151.99704,69.26353,55335.201010000004,0
1002241,1169021029344,20.27,0.33,151.99705,69.26363,55335.212929999994,0
1002241,1169021029344,20.11,0.3,151.99756000000005,69.26364000000001,55927.345910000004,0
1002241,1169021029344,20.38,0.36,151.99849,69.26414,56010.15816,0
1002241,1169021029344,20.65,0.42,151.99747,69.26335,56038.22092000001,0
1002241,1169021029344,20.61,0.34,151.99685,69.26424,56308.413029999996,0
1002241,1169021029344,20.95,0.41,151.9981,69.26332,56308.419879999994,0
1002241,1169021029344,19.22,0.17,151.9975,69.26394,56308.42675,0
1002241,1169021029344,20.47,0.31,151.99776,69.26366999999999,56342.31022000001,0
1002241,1169021029376,19.72,0.25,151.95152,69.26409,53768.3951,0
1002241,1169021029376,19.49,0.22,151.95113999999995,69.26404000000001,53768.40196,0
1002241,1169021029376,19.55,0.23,151.95154,69.26402,53768.408789999994,0
1002241,1169021029376,19.71,0.25,151.95196,69.26402,53768.41562000001,0
1002241,1169021029376,19.76,0.28,151.95203999999995,69.26413000000001,53746.285789999994,0
1002241,1169021029376,19.55,0.23,151.95153,69.26409,54210.203610000004,0
1002241,1169021029376,19.6,0.24,151.95158999999995,69.26403,54210.20761000001,0
1002241,1169021029376,19.32,0.21,151.95123999999996,69.26392,54210.211639999994,0
1002241,1169021029376,19.49,0.22,151.95184,69.26406,54210.21565,0
1002241,1169021029376,19.54,0.26,151.95152,69.26416,54948.21269,0
1002241,1169021029376,19.42,0.24,151.95164,69.26418000000001,54948.21627999999,0
1002241,1169021029376,19.16,0.21,151.95139,69.26417,54948.219979999994,0
1002241,1169021029376,19.07,0.2,151.95107,69.26418000000001,54948.22375,0
1002241,1169021029376,19.0,0.17,151.95168,69.26395,54865.18934,0
1002241,1169021029376,19.0,0.17,151.95192,69.26401,54865.19436,0
1002241,1169021029376,19.25,0.19,151.95155,69.26414,54865.19938,0
1002241,1169021029376,19.76,0.24,151.95188000000005,69.26413000000001,54865.20442,0
1002241,1169021029376,19.42,0.27,151.95171000000005,69.26432,54915.324479999996,0
