InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002281,1107055045500.0,20.22,0.31,153.7742,7.83171,53729.3662,0.0
1002281,1107055045500.0,19.5,0.21,153.77424,7.83178,53729.375,0.0
1002281,1107055045500.0,19.96,0.27,153.77426,7.8319600000000005,53729.38381,0.0
1002281,1107055045500.0,20.09,0.29,153.77438,7.83184,53729.392470000006,0.0
1002281,1107055045500.0,19.76,0.25,153.77442,7.8315899999999985,53497.2662,0.0
1002281,1107055045500.0,19.97,0.28,153.77368,7.83165,53497.27252,0.0
1002281,1107055045500.0,19.02,0.18,153.7737,7.8316300000000005,53497.27878,0.0
1002281,1107055045500.0,19.64,0.23,153.7745,7.8317,53500.174439999995,0.0
1002281,1107055045500.0,20.0,0.28,153.77431,7.83188,53500.18211,0.0
1002281,1107055045500.0,20.0,0.28,153.77442,7.83197,53500.19745,0.0
1002281,1107055045500.0,19.79,0.25,153.77421999999999,7.8316399999999975,53687.481629999995,0.0
1002281,1107055045500.0,20.28,0.32,153.77419,7.831739999999999,53687.49232000001,0.0
1002281,1107055045500.0,18.81,0.16,153.77512,7.83144,53687.50298,0.0
1002281,1107055045500.0,19.9,0.27,153.77497,7.83253,53704.40709,0.0
1002281,1107055045500.0,19.35,0.2,153.7744,7.83207,53704.41462999999,0.0
1002281,1107055045500.0,19.06,0.18,153.77388,7.832039999999999,53704.42212999999,0.0
1002281,1107055045500.0,19.18,0.19,153.77411999999995,7.831810000000001,53704.42974,0.0
1002281,1107055045500.0,20.44,0.36,153.77387,7.8317,53674.50006000001,0.0
1002281,1107055045500.0,19.69,0.24,153.77472,7.8315600000000005,53674.50546,0.0
1002281,1107055045500.0,19.69,0.24,153.77437,7.831739999999999,53674.50815,0.0
1002281,1107055045500.0,18.76,0.16,153.77418,7.83185,53843.20267000001,0.0
1002281,1107055045500.0,19.12,0.19,153.77447,7.831810000000001,53843.210739999995,0.0
1002281,1107055045500.0,19.59,0.24,153.77421999999999,7.8318699999999986,53843.218779999996,0.0
1002281,1107055045500.0,19.56,0.24,153.77438999999995,7.8319,53843.226839999996,0.0
1002281,1107055045500.0,19.78,0.24,153.77453,7.8315800000000015,54070.428420000004,0.0
1002281,1107055045500.0,19.69,0.22,153.7742,7.83197,54070.43635,0.0
1002281,1107055045500.0,19.79,0.24,153.77419,7.8318,54070.44416,0.0
1002281,1107055045500.0,18.94,0.16,153.77419,7.83208,54070.45191,0.0
1002281,1107055045500.0,19.84,0.24,153.7742,7.83177,54093.38761000001,0.0
1002281,1107055045500.0,19.75,0.23,153.77437,7.8319600000000005,54093.39577999999,0.0
1002281,1107055045500.0,19.49,0.2,153.7747,7.83173,54093.40407999999,0.0
1002281,1107055045500.0,19.5,0.2,153.77441000000005,7.83173,54093.4123,0.0
1002281,1107055045500.0,19.61,0.23,153.77419,7.83137,53773.36943,0.0
1002281,1107055045500.0,19.94,0.27,153.77459,7.83144,53773.377010000004,0.0
1002281,1107055045500.0,19.45,0.21,153.77391,7.83197,53773.38457,0.0
1002281,1107055045500.0,19.66,0.24,153.7743,7.8316,53786.23816,0.0
1002281,1107055045500.0,20.04,0.29,153.77436,7.8318600000000025,53786.245879999995,0.0
1002281,1107055045500.0,19.8,0.25,153.77415,7.8318699999999986,53786.25359,0.0
1002281,1107055045500.0,19.9,0.26,153.7741,7.83171,53786.2613,0.0
1002281,1107055045500.0,20.09,0.29,153.77413,7.83183,53743.404689999996,0.0
1002281,1107055045500.0,19.77,0.25,153.77405,7.8319600000000005,53743.410110000004,0.0
1002281,1107055045500.0,19.8,0.25,153.77431,7.83157,53743.41556,0.0
1002281,1107055045500.0,20.38,0.34,153.77413,7.83178,53743.421070000004,0.0
1002281,1107055045500.0,18.96,0.16,153.77445,7.83263,53755.41444,0.0
1002281,1107055045500.0,19.87,0.26,153.77419,7.83175,53755.42799,0.0
1002281,1107055045500.0,20.01,0.28,153.77418,7.83206,53766.36606,0.0
1002281,1107055045500.0,19.64,0.23,153.77445,7.83178,53766.371979999996,0.0
1002281,1107055045500.0,19.85,0.26,153.77428,7.8316,53766.37791,0.0
1002281,1107055045500.0,19.85,0.26,153.77414,7.8316,53766.38381,0.0
1002281,1107055045500.0,19.39,0.59,153.77478,7.831410000000001,53797.2973,0.0
1002281,1107055045500.0,19.22,0.19,153.7741,7.83166,53817.20157000001,0.0
1002281,1107055045500.0,18.99,0.17,153.77405,7.8311600000000015,53817.21027,0.0
1002281,1107055045500.0,20.68,0.41,153.77427,7.83165,53817.218870000004,0.0
1002281,1107055045500.0,19.76,0.26,153.77437,7.83182,53817.22747000001,0.0
1002281,1107055045500.0,20.41,0.38,153.77383999999995,7.8323300000000025,53874.177560000004,0.0
1002281,1107055045500.0,19.6,0.25,153.77403,7.83161,53874.191439999995,0.0
1002281,1107055045500.0,20.32,0.36,153.77423000000005,7.8319199999999976,53881.20741,0.0
1002281,1107055045500.0,19.79,0.26,153.77466,7.83175,54050.49763,0.0
1002281,1107055045500.0,19.07,0.18,153.77455,7.831469999999999,54050.51523,0.0
1002281,1107055045500.0,19.02,0.17,153.774,7.8318600000000025,54028.49822,0.0
1002281,1107055045500.0,20.26,0.31,153.77427,7.83172,54028.51455,0.0
1002281,1107055045500.0,20.18,0.29,153.77435,7.83135,54028.5227,0.0
1002281,1107055045500.0,19.66,0.23,153.77432,7.83188,54197.19387,0.0
1002281,1107055045500.0,19.47,0.21,153.77411,7.83161,54197.2003,0.0
1002281,1107055045500.0,19.46,0.21,153.77406000000005,7.832160000000001,54197.20675,0.0
1002281,1107055045500.0,19.75,0.23,153.77428,7.83177,54438.46408,0.0
