InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002301,1129049056140,20.46,0.37,154.52454,30.839609999999997,53849.199160000004,0
1002301,1129049056140,21.08,0.5,154.52468000000005,30.8395,53740.41982999999,0
1002301,1129049056140,20.85,0.44,154.52499,30.8396,53740.430720000004,0
1002301,1129049056140,20.98,0.48,154.52476000000001,30.83922,53757.437770000004,0
1002301,1129049056140,20.15,0.31,154.52501,30.8386,54036.49937000001,0
1002301,1129049056140,20.66,0.39,154.52589,30.838690000000003,54140.294879999994,0
1002301,1129049056140,20.37,0.36,154.52447,30.83955,54804.44557999999,0
1002301,1129049056140,20.46,0.38,154.5237,30.8396,54627.17532,0
1002301,1129049056140,20.72,0.45,154.52572,30.83979,54532.43256,0
1002301,1129049056140,19.73,0.23,154.52517,30.838279999999997,55182.40686,0
1002301,1129049056140,20.75,0.4,154.52578,30.83935,54883.289070000006,0
1002301,1129049056140,20.66,0.39,154.52505,30.839109999999998,55246.33109,0
1002301,1129049056140,21.04,0.5,154.52407,30.839809999999996,55328.237929999996,0
1002301,1129049056140,20.31,0.34,154.52573999999996,30.83895,55657.30599,0
1002301,1129049056140,21.19,0.56,154.52483,30.83945,55680.251,0
1002301,1129049056140,21.38,0.6,154.52491,30.839340000000004,55569.44101,0
1002301,1129049056140,20.02,0.31,154.52558,30.838009999999997,55986.27835,0
1002301,1129049056140,20.17,0.33,154.5246,30.839540000000003,55986.29186000001,0
1002301,1129049056140,20.12,0.3,154.52462,30.83953,56018.28896000001,0
1002301,1129049056140,19.73,0.24,154.52387,30.83949,56018.30151000001,0
1002301,1129049056140,20.96,0.48,154.52518999999995,30.839979999999997,56044.28865,0
1002301,1129049056140,20.61,0.39,154.52438,30.839029999999998,56330.42284,0
1002301,1129049056140,21.07,0.56,154.52348,30.83899000000001,56367.223770000004,0
1002301,1129049056140,20.72,0.42,154.52456,30.839340000000004,56386.17436000001,0
1002301,1129049056140,21.24,0.57,154.52506,30.83955,56414.15648,0
1002301,1129049056254,18.32,0.13,154.51757,30.83825,53470.2012,0
1002301,1129049056254,18.44,0.14,154.51746,30.83826,53470.2085,0
1002301,1129049056254,18.27,0.13,154.51743000000005,30.83825,53470.21583,0
1002301,1129049056254,18.32,0.13,154.51733000000004,30.8383,53470.223139999995,0
1002301,1129049056254,18.56,0.14,154.51731,30.83832,53490.19059,0
1002301,1129049056254,18.24,0.12,154.51738999999995,30.83827,53490.198769999995,0
1002301,1129049056254,18.45,0.13,154.51752,30.838279999999997,53490.2069,0
1002301,1129049056254,18.32,0.13,154.51731999999996,30.83812,53490.215019999996,0
1002301,1129049056254,18.48,0.13,154.51738999999995,30.8383,53708.4918,0
1002301,1129049056254,18.14,0.12,154.51735,30.838279999999997,53708.50006000001,0
1002301,1129049056254,18.45,0.13,154.51735,30.838279999999997,53708.50832000001,0
1002301,1129049056254,18.33,0.13,154.5174,30.83826,53708.51659,0
