InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002401,1132049023525,21.36,0.59,158.84243999999995,32.2172,53711.44171,0
1002401,1132049023525,21.35,0.58,158.84291000000005,32.216809999999995,53711.46638,0
1002401,1132049023525,20.63,0.39,158.84212,32.21697,53757.43667999999,0
1002401,1132049023525,21.2,0.51,158.84259,32.217040000000004,54063.479139999996,0
1002401,1132049023525,21.19,0.53,158.84035,32.21549,54566.21677000001,0
1002401,1132049023525,20.12,0.44,158.84419,32.21859,55133.53035,0
1002401,1132049023525,21.45,0.61,158.843,32.217079999999996,55242.29968,0
1002401,1132049023525,20.26,0.26,158.84271,32.2175,55269.18606,0
1002401,1132049023525,20.94,0.45,158.84245,32.21734,55276.2858,0
1002401,1132049023525,20.97,0.34,158.84198999999995,32.21702,55625.37437000001,0
1002401,1132049023525,19.82,0.26,158.84317,32.21655,55708.214329999995,0
1002401,1132049023525,19.58,0.22,158.84253999999999,32.21852,55895.534779999994,0
1002401,1132049023525,20.89,0.44,158.84306,32.21682,55928.36264,0
1002401,1132049023525,21.51,0.63,158.84259,32.2169,55945.428329999995,0
1002401,1132049023525,20.27,0.27,158.84223,32.218109999999996,55981.25291,0
1002401,1132049023525,21.43,0.61,158.84301000000005,32.217929999999996,56309.51594,0
1002401,1132049023525,21.22,0.59,158.8431,32.21761,56325.2584,0
1002401,1132049023525,20.34,0.38,158.84224,32.21723,56325.264579999995,0
1002401,1132049023525,21.25,0.55,158.84241,32.21732,56340.2407,0
1002401,1132049023525,21.49,0.56,158.84231,32.217909999999996,56388.34297000001,0
1002401,1132049023525,20.78,0.39,158.84423999999999,32.21713,56450.175670000004,0
1002401,1132049023751,20.39,0.34,158.84153999999995,32.22957,53711.44171,0
1002401,1132049023751,19.89,0.26,158.84142,32.22892,53711.4499,0
1002401,1132049023751,19.99,0.27,158.84088,32.22883,53711.45808,0
1002401,1132049023751,19.84,0.25,158.84125,32.23015,53496.19974,0
1002401,1132049023751,20.4,0.35,158.84056999999999,32.22926,53852.159329999995,0
1002401,1132049023751,20.43,0.36,158.84107,32.22894,53852.17469,0
