InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002501,1126053023058,19.51,0.23,162.13128,26.60262,53470.23623,0
1002501,1126053023058,20.91,0.45,162.13145,26.60305,53490.20093,0
1002501,1126053023058,20.05,0.28,162.13168000000005,26.60265,53710.50985,0
1002501,1126053023058,20.32,0.33,162.13192,26.603279999999998,54096.34155,0
1002501,1126053023058,20.11,0.3,162.13152,26.60277,53794.33663,0
1002501,1126053023058,20.75,0.41,162.13173999999995,26.603109999999997,53740.40121,0
1002501,1126053023058,18.46,0.13,162.13046,26.60277,53740.41215,0
1002501,1126053023058,19.8,0.24,162.1315,26.60257,53740.42309,0
1002501,1126053023058,20.19,0.31,162.13193,26.60309,53762.4624,0
1002501,1126053023058,20.27,0.3,162.13175,26.60302,54062.510239999996,0
1002501,1126053023058,19.93,0.26,162.13207,26.60303,54440.49345,0
1002501,1126053023058,20.43,0.33,162.13169,26.60282,54117.36661000001,0
1002501,1126053023058,21.03,0.46,162.1318,26.60297000000001,54117.37315,0
1002501,1126053023058,20.48,0.35,162.13155,26.602929999999997,54185.22373,0
1002501,1126053023058,19.91,0.26,162.1313,26.60268,54230.23217,0
1002501,1126053023058,20.54,0.39,162.13198,26.60308,54236.254689999994,0
1002501,1126053023058,21.02,0.48,162.13188,26.602829999999997,54412.47782000001,0
1002501,1126053023058,20.63,0.39,162.13231000000005,26.60212000000001,54412.483779999995,0
1002501,1126053023058,19.57,0.22,162.13224,26.602729999999998,54422.42088,0
1002501,1126053023058,17.4,0.09,162.13236,26.602059999999998,54390.49235,0
1002501,1126053023058,20.31,0.31,162.13166999999999,26.603270000000002,54557.17386,0
1002501,1126053023058,20.18,0.29,162.13138,26.60305,54564.24282000001,0
1002501,1126053023058,20.53,0.36,162.13121999999996,26.60319,54564.24936,0
1002501,1126053023058,20.03,0.27,162.13133,26.60309,54564.26227000001,0
1002501,1126053023058,20.07,0.28,162.1314,26.602840000000004,54585.240829999995,0
1002501,1126053023058,20.91,0.43,162.13181,26.60323,54498.31954,0
1002501,1126053023058,20.21,0.32,162.13137,26.60274,54641.1617,0
1002501,1126053023058,20.31,0.31,162.13163,26.602420000000002,54528.253229999995,0
1002501,1126053023058,20.29,0.31,162.13143,26.60344000000001,54528.2597,0
1002501,1126053023058,19.77,0.2,162.13314,26.60332,54536.17909,0
1002501,1126053023058,20.06,0.23,162.13201,26.603209999999997,54536.18652,0
1002501,1126053023058,20.39,0.28,162.13179,26.60275,54536.19397000001,0
1002501,1126053023058,20.3,0.26,162.1316,26.60258,54536.20137,0
1002501,1126053023058,20.15,0.29,162.13173,26.60288,54549.3623,0
1002501,1126053023058,20.56,0.35,162.13179,26.60336,54800.44957999999,0
1002501,1126053023058,21.23,0.51,162.13159,26.60298,54800.46238,0
1002501,1126053023058,19.69,0.22,162.13151000000005,26.60285,54800.4752,0
1002501,1126053023058,20.68,0.49,162.13124,26.60262,54768.51492,0
1002501,1126053023058,20.92,0.44,162.13195,26.60297000000001,54924.1896,0
1002501,1126053023058,20.26,0.31,162.13173,26.60298,54924.206,0
1002501,1126053023058,20.8,0.41,162.13166,26.602790000000002,54940.2035,0
1002501,1126053023058,20.74,0.4,162.1312,26.602729999999998,54940.210739999995,0
1002501,1126053023058,20.34,0.32,162.13199,26.60288,54940.21797000001,0
1002501,1126053023058,20.02,0.27,162.13182,26.60257,54940.22523,0
1002501,1126053023058,20.52,0.35,162.13175,26.60237,55183.45795,0
1002501,1126053023058,21.04,0.47,162.13154,26.602929999999997,55183.462629999995,0
1002501,1126053023058,20.46,0.33,162.13172,26.60302,54866.30672000001,0
1002501,1126053023058,19.97,0.26,162.13175,26.60302,54883.29886,0
