InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1002561,1107059003812.0,19.54,0.22,164.64463,5.81709,53772.3922,0.0
1002561,1107059003812.0,20.96,0.48,164.64397,5.81684,53772.3992,0.0
1002561,1107059003812.0,20.0,0.29,164.64483,5.8168,53786.26866,0.0
1002561,1107059003812.0,20.76,0.52,164.64472,5.81714,53786.276229999996,0.0
1002561,1107059003812.0,20.26,0.33,164.64456,5.81657,53786.28381,0.0
1002561,1107059003812.0,19.96,0.29,164.64444,5.81695,53744.41792000001,0.0
1002561,1107059003812.0,19.83,0.26,164.64452,5.81733,53758.34873,0.0
1002561,1107059003812.0,20.16,0.31,164.64476000000005,5.81709,53758.36167000001,0.0
1002561,1107059003812.0,19.57,0.78,164.64379,5.81815,53905.18521,0.0
1002561,1107059003812.0,20.33,1.07,164.64415,5.8173699999999995,53797.31716000001,0.0
1002561,1107059003812.0,19.8,0.28,164.64412,5.81736,53873.22957999999,0.0
1002561,1107059003812.0,20.67,0.45,164.64408999999995,5.81756,53873.23451,0.0
1002561,1107059003812.0,20.15,0.3,164.64455,5.81735,54197.23534,0.0
1002561,1107059003812.0,19.66,0.23,164.64444,5.81723,54197.24181,0.0
1002561,1107059003812.0,20.4,0.36,164.64446,5.8187,54213.21691,0.0
1002561,1107059003812.0,20.01,0.27,164.64471,5.81726,54437.539789999995,0.0
1002561,1107059003812.0,18.7,0.15,164.64438,5.81647,54227.253979999994,0.0
1002561,1107059003812.0,19.93,0.27,164.64424,5.8167800000000005,54422.48831,0.0
1002561,1107059003812.0,20.2,0.31,164.64423,5.81698,54580.22112,0.0
1002561,1107059003812.0,19.33,0.2,164.64327,5.81714,54580.22756,0.0
1002561,1107059003812.0,21.16,0.51,164.64412,5.81734,54829.41827,0.0
1002561,1107059003812.0,20.51,0.35,164.64391,5.81666,54475.4887,0.0
1002561,1107059003812.0,19.84,0.25,164.64425,5.81781,54483.43674,0.0
1002561,1107059003812.0,20.41,0.34,164.64417,5.81728,54495.45015,0.0
1002561,1107059003812.0,20.41,0.34,164.64427,5.81684,54528.289079999995,0.0
1002561,1107059003812.0,21.0,0.47,164.6449,5.81724,54528.299589999995,0.0
