InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003261,1138055022878,21.06,0.5,190.63577,37.856790000000004,53757.5216,0
1003261,1138055022878,20.12,0.22,190.63482,37.85876,54271.28555,0
1003261,1138055022878,20.59,0.38,190.63683999999998,37.85736,54559.2228,0
1003261,1138055022878,21.31,0.57,190.63679,37.85597,54584.20823,0
1003261,1138055022878,19.23,0.18,190.63846,37.85696,54508.31131000001,0
1003261,1138055022878,20.48,0.35,190.63726,37.8575,54508.321229999994,0
1003261,1138055022878,19.82,0.24,190.63742,37.85735,54906.43946,0
1003261,1138055022878,19.99,0.29,190.63728999999998,37.85725,54969.22784,0
1003261,1138055022878,21.16,0.53,190.63653,37.85983,55325.33216000001,0
1003261,1138055022878,20.78,0.37,190.6361,37.85815,55650.35559,0
1003261,1138055022878,19.96,0.27,190.6379,37.85705,56001.43457000001,0
1003261,1138055022878,20.75,0.44,190.63638,37.85707,56037.1914,0
1003261,1138055022878,20.58,0.39,190.63675,37.85764,56037.19824,0
1003261,1138055022878,20.98,0.48,190.6365,37.8578,56314.36895,0
1003261,1138055022878,20.48,0.36,190.63862,37.858470000000004,56314.39187000001,0
1003261,1138055022878,21.43,0.61,190.63673,37.857279999999996,55955.49807,0
1003261,1138055022878,20.75,0.46,190.637,37.85709,56450.24992,0
1003261,1138055023065,20.09,0.29,190.65048000000002,37.86262,53526.20504,0
1003261,1138055023065,19.32,0.23,190.64909,37.86385,53834.208139999995,0
1003261,1138055023065,20.02,0.28,190.65086000000002,37.86221,53796.34432999999,0
1003261,1138055023065,21.34,0.59,190.6501,37.86337,54209.35911000001,0
1003261,1138055023065,20.41,0.25,190.64963999999998,37.86307,54271.26507,0
1003261,1138055023065,20.22,0.23,190.65114,37.86268,54271.28555,0
1003261,1138055023065,20.12,0.29,190.65125,37.862,54568.17735,0
1003261,1138055023065,19.06,0.17,190.65126999999998,37.86184,54807.46112000001,0
1003261,1138055023065,21.18,0.52,190.65007,37.863,54508.321229999994,0
1003261,1138055023065,19.83,0.25,190.65052,37.86247,54942.21754,0
1003261,1138055023065,20.62,0.4,190.65066000000002,37.86368,55369.25584,0
1003261,1138055023065,20.24,0.31,190.65028,37.86141,55269.313689999995,0
1003261,1138055023065,21.04,0.49,190.64941000000002,37.864020000000004,55275.29747000001,0
1003261,1138055023065,20.74,0.41,190.64975,37.86336,55275.30334,0
1003261,1138055023065,20.55,0.37,190.65037,37.86345,55331.16975,0
1003261,1138055023065,20.94,0.49,190.64989,37.863209999999995,55628.2737,0
1003261,1138055023065,19.46,0.27,190.65004,37.863859999999995,55685.219639999996,0
1003261,1138055023065,20.11,0.3,190.65018999999998,37.86252,55882.507789999996,0
1003261,1138055023065,21.44,0.62,190.65001999999998,37.86275,55984.324160000004,0
1003261,1138055023065,20.11,0.29,190.65013000000002,37.86255,55984.33734,0
1003261,1138055023065,21.43,0.63,190.6509,37.86299,56016.37867000001,0
1003261,1138055023065,20.65,0.38,190.65041000000002,37.86289,56066.3257,0
1003261,1138055023065,20.51,0.38,190.64983999999998,37.86264,56396.348920000004,0
1003261,1138055023082,18.54,0.14,190.65583999999998,37.86137,53526.19683,0
1003261,1138055023082,18.61,0.14,190.65556,37.86127000000001,53526.20504,0
1003261,1138055023082,18.51,0.14,190.65556,37.86127000000001,53526.21324,0
1003261,1138055023082,18.32,0.13,190.65525,37.86116,53526.22144,0
1003261,1138055023082,18.21,0.12,190.65585,37.86143,53534.15996000001,0
1003261,1138055023082,18.58,0.14,190.65562,37.8613,53534.16815,0
1003261,1138055023082,18.08,0.12,190.65546,37.86135,53534.17633,0
1003261,1138055023082,18.61,0.14,190.65585,37.86137,53534.184519999995,0
1003261,1138055023082,18.25,0.14,190.65583,37.86154000000001,53834.19278,0
1003261,1138055023082,18.76,0.17,190.65579,37.86137,53834.20047,0
1003261,1138055023082,17.94,0.12,190.65532,37.86139,53834.208139999995,0
1003261,1138055023082,18.39,0.15,190.65592,37.86157,53834.21589,0
1003261,1138055023082,18.72,0.16,190.65582,37.861259999999994,53854.31327000001,0
1003261,1138055023082,18.68,0.16,190.65595,37.86137,53854.32027999999,0
1003261,1138055023082,18.57,0.15,190.65513,37.86125,53854.32731,0
1003261,1138055023082,18.66,0.15,190.65582,37.86124,53854.33433,0
1003261,1138055023082,18.41,0.14,190.65555,37.86153,53855.23138,0
1003261,1138055023082,18.74,0.16,190.65582,37.86123,53855.239460000004,0
1003261,1138055023082,18.58,0.15,190.65567,37.86133,53855.24793,0
1003261,1138055023082,18.54,0.14,190.65556,37.86127000000001,53855.255679999995,0
1003261,1138055023082,18.5,0.15,190.65582,37.86143,53746.36571000001,0
1003261,1138055023082,18.32,0.14,190.65622,37.8614,53746.37214,0
1003261,1138055023082,18.59,0.15,190.6554,37.86116,53746.37857000001,0
1003261,1138055023082,18.98,0.18,190.65569,37.86157,53746.38497000001,0
1003261,1138055023082,18.37,0.13,190.65581,37.86136,53757.51491000001,0
