InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003381,1104070013789,20.29,0.31,195.02751999999998,3.4953300000000005,53464.33762,0
1003381,1104070013789,21.06,0.5,195.02873,3.49475,53772.45291,0
1003381,1104070013789,19.76,0.25,195.0281,3.49485,53765.50176,0
1003381,1104070013789,20.83,0.42,195.02707,3.4952,54509.43387000001,0
1003381,1104070013789,20.67,0.38,195.02901,3.4941800000000005,54529.34474,0
1003381,1104070013789,20.26,0.26,195.02827,3.4954,54941.333529999996,0
1003381,1104070013789,20.09,0.29,195.02835,3.49539,54949.231270000004,0
1003381,1104070013789,20.36,0.34,195.02832,3.4944300000000004,54998.20596,0
1003381,1104070013789,21.26,0.55,195.02788,3.4956199999999997,55270.38222000001,0
1003381,1104070013789,20.6,0.38,195.02764,3.4953300000000005,55336.27412,0
1003381,1104070013789,20.97,0.48,195.02801000000002,3.4953,55565.49864,0
1003381,1104070013789,21.43,0.62,195.02836000000002,3.49495,55591.43546,0
1003381,1104070013789,21.23,0.48,195.02848,3.4951,55705.19296,0
1003381,1104070013789,19.68,0.24,195.02833,3.49568,55919.490529999995,0
1003381,1104070013789,21.18,0.53,195.02947,3.4949199999999996,55959.52306,0
1003381,1104070013789,20.57,0.37,195.02835,3.4952099999999997,55959.52824,0
1003381,1104070013789,21.45,0.53,195.0275,3.49605,56365.346670000006,0
1003381,1104070013789,20.94,0.47,195.02802,3.49496,56383.29342,0
1003381,1104070013789,21.19,0.54,195.02883,3.4947199999999996,56393.28879,0
1003381,1104070013789,20.47,0.38,195.02788999999999,3.4955300000000005,56424.21412999999,0
1003381,1104070013789,20.6,0.4,195.02879,3.4952400000000003,56424.22998,0
1003381,1104070013973,21.2,0.53,195.02577,3.50294,53464.36185,0
1003381,1104070013973,19.31,0.2,195.02508999999998,3.5043,53732.51169,0
1003381,1104070013973,20.74,0.4,195.02552,3.5038099999999996,54127.4279,0
1003381,1104070013973,20.67,0.39,195.02518999999998,3.5036099999999997,54170.36056,0
1003381,1104070013973,20.55,0.32,195.02483,3.50335,54562.383839999995,0
1003381,1104070013973,20.82,0.38,195.02579,3.50336,54562.3961,0
1003381,1104070013973,20.26,0.31,195.02536,3.5033300000000005,54502.45266,0
1003381,1104070013973,21.38,0.58,195.02485,3.5039599999999997,54554.31074,0
1003381,1104070013973,20.51,0.3,195.02518999999998,3.5040400000000003,54587.20604,0
1003381,1104070013973,20.67,0.33,195.02475,3.5032400000000004,54941.32411,0
1003381,1104070013973,19.96,0.23,195.02563,3.50356,54941.333529999996,0
1003381,1104070013973,19.89,0.26,195.02508,3.5035300000000005,54949.21807,0
1003381,1104070013973,20.76,0.42,195.02539,3.50406,55291.34922999999,0
1003381,1104070013973,21.22,0.54,195.02544,3.5038,55301.34182,0
1003381,1104070013973,20.85,0.44,195.0247,3.50365,55241.480970000004,0
1003381,1104070013973,21.09,0.51,195.02477,3.50306,55352.236789999995,0
1003381,1104070013973,20.42,0.36,195.02476000000001,3.5028300000000003,55276.41766,0
1003381,1104070013973,21.46,0.54,195.02491,3.5035199999999995,55655.37626000001,0
1003381,1104070013973,20.63,0.37,195.02533,3.50417,55663.21215,0
