InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003701,1109073016097,19.21,0.18,206.14882,9.21139,53466.29312,0
1003701,1109073016097,19.01,0.17,206.14888,9.21134,53466.30117,0
1003701,1109073016097,18.82,0.15,206.14866,9.21133,53466.30929,0
1003701,1109073016097,19.06,0.17,206.14851000000002,9.211260000000001,53466.31744,0
1003701,1109073016097,18.8,0.16,206.14873,9.21125,53554.18124,0
1003701,1109073016097,18.9,0.17,206.14852,9.21123,53554.18778,0
1003701,1109073016097,18.73,0.16,206.14872,9.21139,53554.19423,0
1003701,1109073016097,19.33,0.21,206.14869,9.211310000000001,53554.20065,0
1003701,1109073016097,19.07,0.18,206.14863,9.2113,53528.22289,0
1003701,1109073016097,18.7,0.15,206.14861000000002,9.21136,53528.23035,0
1003701,1109073016097,18.82,0.16,206.14862,9.21143,53528.24538,0
1003701,1109073016097,18.95,0.17,206.14848,9.21142,53498.2867,0
1003701,1109073016097,18.86,0.16,206.14856,9.2113,53498.29375,0
1003701,1109073016097,18.79,0.15,206.14853,9.21139,53498.300839999996,0
1003701,1109073016097,19.08,0.18,206.14856,9.21129,53498.30787,0
1003701,1109073016097,18.66,0.15,206.1489,9.211089999999999,53520.2847,0
1003701,1109073016097,18.97,0.18,206.14858999999998,9.2115,53520.29117,0
1003701,1109073016097,18.84,0.17,206.14873,9.2115,53520.297589999995,0
1003701,1109073016097,18.65,0.15,206.14852,9.21146,53520.30399,0
1003701,1109073016097,18.94,0.18,206.14848,9.211269999999999,53704.5194,0
1003701,1109073016097,18.63,0.15,206.1489,9.21124,53704.52475,0
1003701,1109073016097,18.93,0.17,206.14874,9.21088,53704.53027,0
1003701,1109073016097,18.28,0.13,206.14848999999998,9.21188,53704.53582999999,0
1003701,1109073016097,18.83,0.16,206.1485,9.21154,53832.41914,0
1003701,1109073016097,19.24,0.2,206.14846,9.21142,53832.422889999994,0
1003701,1109073016097,18.6,0.15,206.14863,9.21143,53832.42656,0
1003701,1109073016097,18.7,0.15,206.14831999999998,9.21146,53832.43026,0
1003701,1109073016097,19.06,0.19,206.14862,9.211139999999999,53843.30175,0
1003701,1109073016097,19.31,0.21,206.14846,9.21139,53843.3111,0
1003701,1109073016097,19.3,0.21,206.1487,9.21145,53843.32039,0
1003701,1109073016097,18.31,0.13,206.14855,9.211839999999999,53843.32971000001,0
1003701,1109073016097,18.88,0.16,206.14845,9.211210000000001,53772.478579999995,0
1003701,1109073016097,18.8,0.15,206.1486,9.21123,53772.48671000001,0
1003701,1109073016097,18.59,0.14,206.14882,9.211160000000001,53772.494889999994,0
1003701,1109073016097,18.64,0.15,206.14874,9.21135,53772.503,0
1003701,1109073016097,19.18,0.18,206.14863,9.21124,53736.50496000001,0
1003701,1109073016097,18.78,0.15,206.14852,9.21157,53736.51196,0
1003701,1109073016097,18.85,0.16,206.14888,9.21154,53736.51899,0
1003701,1109073016097,18.77,0.15,206.1487,9.21133,53736.526,0
1003701,1109073016097,18.68,0.15,206.14858999999998,9.21138,53762.47225,0
1003701,1109073016097,19.56,0.24,206.14858999999998,9.21134,53762.47878,0
1003701,1109073016097,18.95,0.17,206.14869,9.211319999999999,53762.48527999999,0
1003701,1109073016097,18.8,0.16,206.14869,9.21146,53762.491729999994,0
1003701,1109073016097,18.86,0.19,206.1488,9.21106,53939.156539999996,0
1003701,1109073016097,18.95,0.2,206.14879,9.21147,53939.17535,0
1003701,1109073016097,18.97,0.2,206.1485,9.21142,53939.18689,0
1003701,1109073016097,19.85,0.87,206.14779,9.21123,53905.248139999996,0
1003701,1109073016097,19.19,0.59,206.14861000000002,9.21192,53905.25131,0
1003701,1109073016097,18.72,0.15,206.14866999999998,9.21143,53798.42462000001,0
1003701,1109073016097,18.63,0.15,206.14891,9.21158,53798.43125,0
1003701,1109073016097,18.58,0.14,206.14866999999998,9.21139,53798.43814,0
1003701,1109073016097,18.77,0.19,206.14865,9.21141,53817.41875,0
1003701,1109073016097,18.98,0.21,206.14846,9.21145,53817.42591000001,0
1003701,1109073016097,19.0,0.22,206.14868,9.2112,53817.433079999995,0
1003701,1109073016097,18.86,0.2,206.14842,9.21118,53817.44027000001,0
1003701,1109073016097,18.78,0.17,206.14834,9.211110000000001,53857.27406,0
1003701,1109073016097,18.81,0.17,206.14901,9.21124,53857.281520000004,0
1003701,1109073016097,18.85,0.17,206.1484,9.21124,53857.28899,0
1003701,1109073016097,18.97,0.18,206.14865,9.21129,53857.29644,0
1003701,1109073016097,18.94,0.18,206.14856,9.21125,53873.28762,0
1003701,1109073016097,18.72,0.17,206.14872,9.21161,53873.29504,0
1003701,1109073016097,18.64,0.13,206.14871000000002,9.2114,53881.28937000001,0
1003701,1109073016097,19.0,0.15,206.14864,9.21134,53881.30052999999,0
1003701,1109073016097,18.99,0.15,206.14863,9.21128,53881.31172000001,0
1003701,1109073016097,18.62,0.13,206.1487,9.21156,53881.32287999999,0
1003701,1109073016097,18.89,0.21,206.14853,9.21113,54201.28654,0
1003701,1109073016097,19.22,0.19,206.14861000000002,9.2115,54201.29597000001,0
1003701,1109073016097,18.98,0.17,206.14876999999998,9.21145,54201.30542999999,0
1003701,1109073016097,18.79,0.16,206.14882,9.21128,54201.3149,0
1003701,1109073016097,18.78,0.15,206.14866999999998,9.21135,54208.29008,0
1003701,1109073016097,18.91,0.16,206.14891,9.21149,54208.30081,0
1003701,1109073016097,18.64,0.14,206.14857,9.21128,54208.31162000001,0
1003701,1109073016097,18.98,0.17,206.14869,9.21124,54208.3224,0
1003701,1109073016097,18.85,0.16,206.1487,9.21135,54214.39152000001,0
1003701,1109073016097,18.92,0.16,206.14858,9.21164,54214.39696000001,0
1003701,1109073016097,18.94,0.17,206.14845,9.2113,54214.40234,0
1003701,1109073016097,18.9,0.16,206.14891,9.21133,54214.40772,0
1003701,1109073016097,19.2,0.18,206.14855,9.21153,54437.51603,0
1003701,1109073016097,18.43,0.13,206.14951000000002,9.21133,54437.519329999996,0
1003701,1109073016097,18.53,0.14,206.1487,9.21147,54437.52262999999,0
1003701,1109073016097,18.95,0.16,206.14845,9.21145,54437.525929999996,0
1003701,1109073016097,18.9,0.16,206.14866999999998,9.21153,54449.506310000004,0
1003701,1109073016097,18.98,0.16,206.14901,9.21151,54449.51412000001,0
1003701,1109073016097,19.02,0.17,206.14888,9.211310000000001,54449.52197,0
1003701,1109073016097,18.91,0.16,206.14855,9.211319999999999,54449.52967999999,0
1003701,1109073016097,19.04,0.17,206.14861000000002,9.21137,54159.45412,0
1003701,1109073016097,18.64,0.14,206.14845,9.21141,54129.427939999994,0
1003701,1109073016097,18.73,0.15,206.14858999999998,9.211269999999999,54129.43497,0
1003701,1109073016097,18.88,0.16,206.14874,9.21123,54129.44199,0
1003701,1109073016097,18.88,0.16,206.14879,9.21139,54129.449029999996,0
1003701,1109073016097,18.91,0.17,206.1489,9.2115,54261.259979999995,0
1003701,1109073016097,18.68,0.15,206.14869,9.21168,54261.26855,0
1003701,1109073016097,18.96,0.17,206.14866999999998,9.21128,54261.27711,0
1003701,1109073016097,18.88,0.17,206.1488,9.21128,54261.28567999999,0
1003701,1109073016097,18.7,0.15,206.1487,9.2115,54170.36535,0
1003701,1109073016097,19.29,0.19,206.14878000000002,9.2114,54170.37186,0
1003701,1109073016097,18.9,0.16,206.14853,9.21137,54170.37832999999,0
1003701,1109073016097,18.63,0.14,206.14848999999998,9.21158,54170.38479,0
1003701,1109073016097,18.74,0.15,206.14873,9.21137,54179.45755,0
1003701,1109073016097,19.01,0.17,206.14857,9.21137,54179.46559,0
1003701,1109073016097,18.87,0.16,206.14861000000002,9.21138,54179.47345,0
1003701,1109073016097,18.89,0.16,206.14851000000002,9.21151,54179.48136000001,0
1003701,1109073016097,18.68,0.15,206.14848,9.21113,54233.31112000001,0
1003701,1109073016097,18.9,0.17,206.14866999999998,9.2114,54233.317520000004,0
1003701,1109073016097,18.8,0.16,206.14857,9.2112,54233.32391,0
1003701,1109073016097,18.53,0.14,206.14844,9.21134,54233.33029,0
1003701,1109073016097,18.76,0.16,206.14858,9.21145,54242.194260000004,0
1003701,1109073016097,19.15,0.19,206.14868,9.211319999999999,54242.20152,0
1003701,1109073016097,18.86,0.16,206.14848999999998,9.21147,54242.20877000001,0
1003701,1109073016097,18.85,0.16,206.14838,9.21137,54242.21604,0
1003701,1109073016097,18.9,0.16,206.14851000000002,9.21128,54563.4104,0
1003701,1109073016097,19.04,0.17,206.14861000000002,9.2115,54563.415429999994,0
