InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003741,1126067042020,21.33,0.62,207.07183999999998,27.40513,53470.32632,0
1003741,1126067042020,21.18,0.57,207.07153,27.40578,53470.3345,0
1003741,1126067042020,20.15,0.4,207.07103,27.405209999999997,53834.24171,0
1003741,1126067042020,21.07,0.5,207.07151000000002,27.405829999999998,54213.26661,0
1003741,1126067042020,20.4,0.33,207.07195,27.40553,54557.42015,0
1003741,1126067042020,19.8,0.24,207.07192,27.4054,54861.415239999995,0
1003741,1126067042020,19.75,0.24,207.07211,27.405479999999997,55001.24059,0
1003741,1126067042020,19.73,0.25,207.0709,27.40638,55724.30907,0
1003741,1126067042020,20.58,0.38,207.07222,27.40537,56368.3516,0
1003741,1126067042276,20.23,0.3,207.07543,27.416529999999998,53490.29434,0
1003741,1126067042276,19.8,0.26,207.07533999999998,27.41671,53558.219939999995,0
1003741,1126067042276,19.97,0.28,207.07533,27.417270000000002,53558.23065,0
1003741,1126067042276,19.64,0.23,207.07513,27.41644,53551.21247,0
1003741,1126067042276,19.97,0.28,207.07562,27.41655,53551.22049,0
1003741,1126067042276,19.35,0.19,207.07593,27.41665,53793.459989999996,0
1003741,1126067042276,19.32,0.21,207.07557,27.4166,53878.38861,0
1003741,1126067042276,19.45,0.21,207.07506999999998,27.416290000000004,54213.26661,0
1003741,1126067042276,19.44,0.21,207.07557,27.416790000000002,54213.27626000001,0
1003741,1126067042276,19.24,0.19,207.07523,27.41662,54213.286029999996,0
1003741,1126067042276,19.56,0.21,207.07523999999998,27.41669000000001,54116.44949,0
1003741,1126067042276,19.7,0.16,207.07523999999998,27.41674,54128.46426,0
1003741,1126067042276,20.11,0.19,207.07519,27.416759999999996,54128.46871,0
1003741,1126067042276,19.99,0.18,207.07536000000002,27.41643,54128.47316,0
1003741,1126067042276,19.62,0.15,207.0753,27.416909999999998,54128.477589999995,0
1003741,1126067042276,19.3,0.2,207.0753,27.41654,54257.19067,0
1003741,1126067042276,20.46,0.4,207.07508,27.4167,54268.22946,0
1003741,1126067042276,19.46,0.22,207.0759,27.41682,54278.23874,0
