InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003801,1123069018008,19.22,0.2,209.54126000000002,23.43608,53470.32346,0
1003801,1123069018008,19.3,0.21,209.54099,23.43611,53470.33163,0
1003801,1123069018008,19.34,0.21,209.54102,23.43609,53470.33981000001,0
1003801,1123069018008,19.28,0.21,209.54113,23.43627,53470.34792,0
1003801,1123069018008,18.87,0.16,209.54109,23.43609,53490.29863000001,0
1003801,1123069018008,19.32,0.19,209.54106000000002,23.43611,53490.30787,0
1003801,1123069018008,19.07,0.17,209.5411,23.436420000000002,53490.3171,0
1003801,1123069018008,19.07,0.17,209.54129,23.43623,53490.32638,0
1003801,1123069018008,19.29,0.2,209.54093999999998,23.43616,53557.19476000001,0
1003801,1123069018008,19.54,0.23,209.54121,23.43609,53557.200769999996,0
1003801,1123069018008,19.02,0.18,209.54113999999998,23.43605,53557.20673,0
1003801,1123069018008,19.27,0.2,209.54116000000002,23.43608,53557.21267,0
1003801,1123069018008,18.0,0.13,209.54067,23.4361,53567.17594,0
1003801,1123069018008,19.77,0.29,209.54082,23.43609,53567.19109,0
1003801,1123069018008,19.29,0.23,209.54085,23.43818,53567.19109,1
1003801,1123069018008,19.79,0.29,209.54068,23.43612000000001,53567.19867,0
1003801,1123069018008,18.88,0.16,209.54103999999998,23.43612000000001,53551.19906,0
1003801,1123069018008,18.74,0.15,209.5411,23.43638,53551.20705,0
1003801,1123069018008,19.17,0.19,209.54101,23.435979999999997,53551.21515,0
1003801,1123069018008,19.26,0.2,209.5411,23.43619,53551.22319,0
1003801,1123069018008,19.23,0.21,209.54118,23.4363,53506.254089999995,0
1003801,1123069018008,19.09,0.2,209.54131,23.43594,53506.261739999994,0
1003801,1123069018008,18.87,0.17,209.54082,23.43637,53506.26943,0
1003801,1123069018008,18.95,0.18,209.54113999999998,23.43591,53506.27712,0
1003801,1123069018008,18.6,0.18,209.54124,23.43608,53834.440370000004,0
1003801,1123069018008,18.77,0.2,209.5411,23.436239999999998,53834.444,0
1003801,1123069018008,19.07,0.23,209.54105,23.43625,53834.44761,0
1003801,1123069018008,19.13,0.24,209.54112,23.43615,53834.45123,0
1003801,1123069018008,18.8,0.16,209.54124,23.43611,53851.19266,0
1003801,1123069018008,18.38,0.13,209.54196000000002,23.43565,53851.20211000001,0
1003801,1123069018008,18.91,0.17,209.54125,23.43592,53851.21165,0
1003801,1123069018008,18.74,0.16,209.54088000000002,23.4362,53851.22116,0
1003801,1123069018008,18.99,0.17,209.54113999999998,23.436220000000002,53793.48776,0
1003801,1123069018008,19.18,0.19,209.54108,23.43611,53793.49497000001,0
1003801,1123069018008,18.62,0.14,209.54205,23.4357,53793.50222,0
1003801,1123069018008,18.86,0.16,209.54117,23.43618,53793.5095,0
1003801,1123069018008,19.27,0.24,209.54117,23.43603,53803.37186,0
1003801,1123069018008,18.92,0.2,209.54115,23.43616,53803.378860000004,0
1003801,1123069018008,19.26,0.24,209.54138999999998,23.43616,53803.38587000001,0
1003801,1123069018008,18.9,0.17,209.54126000000002,23.43606,53819.36987,0
1003801,1123069018008,18.86,0.17,209.54102,23.43617,53819.37874,0
1003801,1123069018008,19.23,0.22,209.54088000000002,23.43621,53819.38779,0
1003801,1123069018008,18.91,0.17,209.54106000000002,23.43609,53819.39665,0
1003801,1123069018008,18.69,0.15,209.54097,23.43621,53859.25055,0
1003801,1123069018008,18.98,0.18,209.54099,23.436139999999998,53859.26157,0
1003801,1123069018008,19.02,0.18,209.5408,23.435979999999997,53859.26816,0
1003801,1123069018008,19.14,0.19,209.54128,23.43602000000001,53859.27459,0
1003801,1123069018008,18.45,0.14,209.5409,23.436339999999998,53878.37982,0
1003801,1123069018008,18.95,0.18,209.54101,23.436329999999998,53878.38477999999,0
1003801,1123069018008,19.04,0.18,209.54111,23.436329999999998,53878.389689999996,0
1003801,1123069018008,18.98,0.18,209.54097,23.436139999999998,53878.394589999996,0
1003801,1123069018008,18.85,0.16,209.54106000000002,23.4362,54204.28517,0
1003801,1123069018008,18.64,0.14,209.54093,23.43617,54204.29207999999,0
1003801,1123069018008,19.09,0.17,209.54115,23.43613,54204.29902000001,0
1003801,1123069018008,18.94,0.16,209.54106000000002,23.43631,54204.30594,0
1003801,1123069018008,19.0,0.17,209.54144,23.43616,54437.505079999995,0
1003801,1123069018008,19.46,0.21,209.54098,23.43593,54437.50837999999,0
1003801,1123069018008,18.89,0.16,209.5413,23.436220000000002,54437.51167000001,0
1003801,1123069018008,18.99,0.17,209.54115,23.43638,54437.51496,0
1003801,1123069018008,18.92,0.17,209.54113,23.43623,54257.20457,0
1003801,1123069018008,19.13,0.2,209.54096,23.43621,54257.211279999996,0
1003801,1123069018008,18.51,0.15,209.54105,23.436339999999998,54257.21799,0
1003801,1123069018008,18.39,0.13,209.54107,23.43623,54257.22474,0
1003801,1123069018008,18.91,0.16,209.54095,23.43599,54276.22077000001,0
1003801,1123069018008,19.25,0.19,209.54101,23.43587,54276.22832,0
1003801,1123069018008,19.24,0.19,209.54058999999998,23.43616,54276.23591,0
1003801,1123069018008,18.86,0.16,209.54098,23.43612000000001,54276.24352,0
1003801,1123069018008,18.7,0.15,209.54082,23.4361,54169.49235,0
1003801,1123069018008,18.79,0.15,209.5412,23.43629,54169.49931,0
1003801,1123069018008,18.96,0.16,209.54118,23.436320000000002,54169.5063,0
1003801,1123069018008,18.75,0.15,209.54108,23.43602000000001,54169.513289999995,0
1003801,1123069018008,18.3,0.12,209.54118,23.43605,54175.3212,0
1003801,1123069018008,19.01,0.16,209.54096,23.43621,54175.32919,0
1003801,1123069018008,18.89,0.16,209.54128,23.43627,54175.33725,0
1003801,1123069018008,18.85,0.16,209.54117,23.43612000000001,54175.34525,0
1003801,1123069018008,18.68,0.15,209.54113999999998,23.436139999999998,54230.29681,0
1003801,1123069018008,18.81,0.16,209.54119,23.4362,54230.30334,0
1003801,1123069018008,18.66,0.15,209.54107,23.4362,54230.30981,0
1003801,1123069018008,19.27,0.19,209.54099,23.43613,54230.31627,0
1003801,1123069018008,18.56,0.14,209.54127,23.43615,54236.28895,0
1003801,1123069018008,18.86,0.16,209.54117,23.43611,54236.295920000004,0
1003801,1123069018008,18.67,0.15,209.54119,23.43618,54236.30291000001,0
1003801,1123069018008,18.74,0.16,209.54102,23.436239999999998,54236.3099,0
1003801,1123069018008,18.62,0.14,209.54117,23.43616,54245.24197,0
1003801,1123069018008,19.02,0.17,209.5411,23.43579,54245.25117999999,0
1003801,1123069018008,18.66,0.15,209.54117,23.43615,54245.2604,0
1003801,1123069018008,18.56,0.14,209.54096,23.43617,54245.26976,0
1003801,1123069018008,19.14,0.18,209.54099,23.43636,54557.400539999995,0
1003801,1123069018008,19.42,0.2,209.54095,23.43611,54557.409179999995,0
1003801,1123069018008,19.08,0.17,209.54108,23.43618,54557.418,0
1003801,1123069018008,19.11,0.17,209.54096,23.436239999999998,54557.426629999994,0
1003801,1123069018008,19.18,0.18,209.54121999999998,23.43618,54564.32125,0
1003801,1123069018008,19.06,0.17,209.54116000000002,23.43627,54564.32972,0
1003801,1123069018008,19.08,0.17,209.54111,23.43639,54564.33816,0
1003801,1123069018008,19.16,0.18,209.54101,23.4362,54564.34661,0
1003801,1123069018008,18.73,0.15,209.54121,23.43623,54571.25745,0
1003801,1123069018008,19.19,0.18,209.54115,23.436139999999998,54571.26504,0
1003801,1123069018008,19.35,0.2,209.54113999999998,23.4361,54571.27262999999,0
1003801,1123069018008,19.33,0.19,209.54102,23.435879999999997,54571.28023,0
