InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1003961,1109077026240,18.77,0.15,216.10464,9.587069999999999,53466.33116,0
1003961,1109077026240,18.78,0.15,216.10464,9.58699,53466.34011000001,0
1003961,1109077026240,18.91,0.16,216.1047,9.58703,53466.34908,0
1003961,1109077026240,18.58,0.14,216.10467999999997,9.58699,53466.35807,0
1003961,1109077026240,18.93,0.16,216.10457999999997,9.58687,53481.30885,0
1003961,1109077026240,18.47,0.13,216.10471,9.58683,53481.31716000001,0
1003961,1109077026240,18.95,0.16,216.10472000000001,9.58685,53481.3254,0
1003961,1109077026240,18.58,0.14,216.10478999999998,9.5869,53481.33363,0
1003961,1109077026240,18.58,0.14,216.10457999999997,9.587010000000001,53560.18957,0
1003961,1109077026240,18.58,0.14,216.10451,9.58699,53560.1955,0
1003961,1109077026240,18.75,0.15,216.10457999999997,9.586839999999999,53560.201369999995,0
1003961,1109077026240,18.47,0.14,216.10449,9.58727,53560.20727,0
1003961,1109077026240,18.6,0.14,216.10468999999998,9.58687,53528.2522,0
1003961,1109077026240,18.74,0.15,216.10454,9.58712,53528.26117,0
1003961,1109077026240,18.82,0.16,216.10467999999997,9.5868,53528.2701,0
1003961,1109077026240,18.9,0.16,216.10451,9.586839999999999,53528.27905,0
1003961,1109077026240,18.74,0.15,216.10467999999997,9.586839999999999,53499.27074,0
1003961,1109077026240,18.28,0.12,216.10483,9.587,53499.27715,0
1003961,1109077026240,18.68,0.15,216.1046,9.58712,53499.28358,0
1003961,1109077026240,18.73,0.15,216.10455,9.58704,53499.29,0
1003961,1109077026240,18.77,0.15,216.10477000000003,9.58682,53509.231,0
1003961,1109077026240,19.06,0.17,216.10457999999997,9.587019999999999,53509.2402,0
1003961,1109077026240,19.03,0.17,216.10422000000003,9.586739999999999,53509.24943,0
1003961,1109077026240,18.56,0.14,216.10466,9.58713,53509.258669999996,0
1003961,1109077026240,18.55,0.15,216.10466,9.586910000000001,53520.3108,0
1003961,1109077026240,18.48,0.14,216.10463,9.58699,53520.31722,0
1003961,1109077026240,18.62,0.15,216.10457999999997,9.58687,53520.33003000001,0
1003961,1109077026240,18.58,0.18,216.10484,9.587069999999999,53834.25889,0
1003961,1109077026240,18.65,0.19,216.10456000000002,9.587069999999999,53834.267,0
1003961,1109077026240,18.74,0.19,216.10442,9.58686,53834.27516000001,0
1003961,1109077026240,18.54,0.18,216.10474,9.586839999999999,53834.28331,0
1003961,1109077026240,18.53,0.14,216.10429,9.586889999999999,53843.351839999996,0
1003961,1109077026240,18.76,0.16,216.10461,9.58687,53843.36177999999,0
1003961,1109077026240,18.09,0.12,216.10429,9.587,53843.37179,0
1003961,1109077026240,18.62,0.15,216.10457000000002,9.58676,53843.38172000001,0
1003961,1109077026240,18.8,0.16,216.10466,9.586889999999999,53767.44127999999,0
1003961,1109077026240,18.71,0.15,216.10459,9.58681,53767.4473,0
1003961,1109077026240,18.74,0.15,216.10457000000002,9.58693,53767.453239999995,0
1003961,1109077026240,18.64,0.15,216.10465,9.586910000000001,53767.45918,0
1003961,1109077026240,18.8,0.17,216.10437000000002,9.58687,53938.15956,0
1003961,1109077026240,18.7,0.16,216.10442,9.58695,53938.16495,0
1003961,1109077026240,18.46,0.15,216.10466,9.587010000000001,53938.170360000004,0
1003961,1109077026240,18.88,0.18,216.1047,9.58676,53938.17576000001,0
1003961,1109077026240,18.81,0.46,216.10476,9.58698,53905.266379999994,0
1003961,1109077026240,19.17,0.57,216.10476,9.58658,53905.267420000004,0
1003961,1109077026240,18.35,0.36,216.10459,9.58713,53905.26847,0
1003961,1109077026240,18.81,0.16,216.10465,9.586889999999999,53907.21737000001,0
1003961,1109077026240,18.59,0.15,216.10471,9.586910000000001,53907.22595,0
1003961,1109077026240,18.66,0.15,216.10443999999998,9.58693,53907.23452000001,0
1003961,1109077026240,18.74,0.16,216.1045,9.5869,53907.24311,0
1003961,1109077026240,18.51,0.14,216.10457999999997,9.58688,53798.453729999994,0
1003961,1109077026240,18.93,0.17,216.10455,9.5868,53798.4591,0
1003961,1109077026240,18.69,0.15,216.10472000000001,9.58681,53798.464629999995,0
1003961,1109077026240,18.76,0.15,216.10457999999997,9.58693,53798.47,0
1003961,1109077026240,18.67,0.21,216.10457999999997,9.58677,53817.451129999994,0
1003961,1109077026240,19.13,0.27,216.10452,9.5871,53817.45696,0
1003961,1109077026240,18.71,0.21,216.10448,9.58698,53817.46287,0
1003961,1109077026240,18.9,0.24,216.10473,9.5874,53817.46872999999,0
1003961,1109077026240,18.97,0.18,216.10454,9.58685,53857.31101000001,0
1003961,1109077026240,18.6,0.15,216.10446000000002,9.586839999999999,53857.31976000001,0
1003961,1109077026240,18.73,0.16,216.10436,9.586789999999999,53857.32855,0
1003961,1109077026240,19.06,0.18,216.10446000000002,9.587060000000001,53857.3373,0
1003961,1109077026240,19.62,0.73,216.10482000000002,9.58712,53863.39202000001,0
1003961,1109077026240,19.58,0.71,216.10477000000003,9.58666,53863.39291,0
1003961,1109077026240,18.45,0.14,216.10468999999998,9.58693,53873.27484,0
1003961,1109077026240,18.79,0.16,216.10465,9.5869,53873.2823,0
1003961,1109077026240,18.91,0.18,216.10456000000002,9.58682,53873.28975,0
1003961,1109077026240,18.66,0.18,216.10463,9.58704,53873.29716,0
1003961,1109077026240,18.77,0.16,216.10448,9.58703,53880.290610000004,0
1003961,1109077026240,18.67,0.15,216.10454,9.58693,53880.29862,0
1003961,1109077026240,18.61,0.15,216.10478999999998,9.58709,53880.30665,0
1003961,1109077026240,18.58,0.15,216.10462,9.58687,53880.31467000001,0
1003961,1109077026240,18.53,0.14,216.10464,9.58685,54201.29081000001,0
1003961,1109077026240,18.57,0.14,216.10436,9.58713,54201.30026,0
1003961,1109077026240,18.69,0.15,216.10466,9.586839999999999,54201.30972000001,0
1003961,1109077026240,18.76,0.15,216.1048,9.587,54201.319229999994,0
1003961,1109077026240,18.64,0.14,216.10452999999998,9.58704,54208.29647,0
1003961,1109077026240,18.76,0.15,216.10462,9.58713,54208.30725,0
1003961,1109077026240,18.88,0.16,216.10464,9.587019999999999,54208.31806000001,0
1003961,1109077026240,18.88,0.17,216.10467999999997,9.58713,54208.32882,0
1003961,1109077026240,18.71,0.15,216.10463,9.58688,54214.38937999999,0
1003961,1109077026240,18.59,0.14,216.10466,9.587,54214.39479,0
1003961,1109077026240,18.71,0.15,216.10449,9.58683,54214.40018,0
1003961,1109077026240,18.6,0.14,216.1047,9.586839999999999,54214.40558,0
1003961,1109077026240,18.91,0.23,216.10463,9.58699,54450.54457000001,0
1003961,1109077026240,18.69,0.2,216.10442,9.587,54450.54605,0
1003961,1109077026240,18.77,0.21,216.10462,9.58683,54450.54754,0
1003961,1109077026240,18.62,0.2,216.1047,9.58693,54450.54911,0
1003961,1109077026240,18.65,0.14,216.10452,9.587,54159.4638,0
1003961,1109077026240,18.48,0.14,216.10462,9.58693,54261.25785,0
1003961,1109077026240,18.83,0.16,216.10439,9.58694,54261.266410000004,0
1003961,1109077026240,18.79,0.16,216.10449,9.58703,54261.274979999995,0
1003961,1109077026240,18.66,0.15,216.10456000000002,9.586839999999999,54261.28354,0
1003961,1109077026240,18.77,0.16,216.10456000000002,9.58685,54271.23405,0
1003961,1109077026240,18.94,0.17,216.10459,9.58685,54271.24151,0
1003961,1109077026240,18.69,0.15,216.10459,9.58694,54271.24899,0
1003961,1109077026240,18.91,0.17,216.10464,9.58682,54271.25649,0
1003961,1109077026240,18.69,0.14,216.10466,9.58682,54170.39231,0
1003961,1109077026240,18.78,0.15,216.10464,9.58699,54170.39881,0
1003961,1109077026240,18.93,0.16,216.10464,9.586969999999999,54170.40534,0
1003961,1109077026240,18.79,0.15,216.1047,9.58694,54170.41181000001,0
1003961,1109077026240,18.59,0.14,216.10466,9.587069999999999,54185.32941000001,0
1003961,1109077026240,18.74,0.15,216.1045,9.58699,54185.338729999996,0
1003961,1109077026240,18.75,0.15,216.1046,9.58698,54185.348060000004,0
1003961,1109077026240,18.79,0.15,216.10472000000001,9.58703,54185.35737000001,0
1003961,1109077026240,18.34,0.13,216.10467999999997,9.587069999999999,54233.30899,0
1003961,1109077026240,18.61,0.15,216.10467000000003,9.58688,54233.31537999999,0
1003961,1109077026240,18.55,0.14,216.10468999999998,9.587019999999999,54233.32178,0
1003961,1109077026240,18.55,0.14,216.10467999999997,9.58693,54233.32815,0
