InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004061,1012078059802.0,19.87,0.29,220.61717000000002,-11.57568,53846.33866,0.0
1004061,1012078059802.0,20.0,0.22,220.61681000000002,-11.57496,55679.358029999996,0.0
1004061,1012078059802.0,19.99,0.28,220.61799,-11.5753,56074.23166000001,0.0
1004061,1012078059802.0,20.27,0.35,220.61732999999998,-11.57505,56404.3015,0.0
1004061,1012078059802.0,20.78,0.48,220.61721,-11.5752,56428.26384,0.0
1004061,1012078059827.0,19.54,0.24,220.5966,-11.573039999999999,53555.22399,0.0
1004061,1012078059827.0,19.53,0.23,220.59727,-11.5731,54259.28122999999,0.0
1004061,1012078059827.0,20.11,0.3,220.5972,-11.57295,54499.54206,0.0
1004061,1012078059827.0,20.94,0.41,220.59742000000003,-11.57278,54624.20235,0.0
1004061,1012078059827.0,21.05,0.44,220.59677000000002,-11.57297,54624.21236000001,0.0
1004061,1012078059827.0,20.8,0.44,220.59702000000001,-11.572289999999999,54526.44775,0.0
1004061,1012078059827.0,20.21,0.32,220.59752000000003,-11.57283,54538.43384,0.0
1004061,1012078059827.0,19.27,0.21,220.59614,-11.57325,54597.34265,0.0
1004061,1012078059827.0,20.85,0.46,220.59711000000001,-11.57296,55268.4554,0.0
1004061,1012078059827.0,20.93,0.48,220.59727999999998,-11.5734,55268.467020000004,0.0
1004061,1012078059827.0,19.93,0.28,220.59714,-11.57311,55320.31582,0.0
1004061,1012078059827.0,20.26,0.34,220.59704,-11.57215,55332.27052000001,0.0
1004061,1012078059827.0,19.7,0.25,220.59705,-11.57361,55603.51667000001,0.0
1004061,1012078059827.0,20.87,0.51,220.59697000000003,-11.57293,55688.277689999995,0.0
1004061,1012078059827.0,20.35,0.35,220.59697999999997,-11.57276,55984.47087000001,0.0
1004061,1012078059827.0,21.01,0.52,220.59717999999998,-11.57277,56010.448339999995,0.0
1004061,1012078059827.0,20.28,0.34,220.59731000000002,-11.573030000000001,56010.461260000004,0.0
1004061,1012078059827.0,19.88,0.27,220.59739,-11.572989999999999,56010.467679999994,0.0
1004061,1012078059827.0,20.81,0.48,220.59732999999997,-11.57301,56032.38936,0.0
1004061,1012078059827.0,20.81,0.48,220.59704,-11.57287,56032.39469,0.0
1004061,1012078059827.0,20.81,0.48,220.5972,-11.57271,56041.37319,0.0
1004061,1012078059827.0,20.86,0.49,220.59758,-11.57335,56041.37892,0.0
1004061,1012078059827.0,19.91,0.29,220.59772,-11.57334,56041.384620000004,0.0
1004061,1012078059827.0,19.6,0.24,220.59695,-11.57305,56068.35077999999,0.0
1004061,1012078059827.0,20.43,0.37,220.59706,-11.57288,56068.36422,0.0
1004061,1012078059827.0,20.89,0.47,220.59745,-11.573260000000001,56074.226579999995,0.0
1004061,1012078059827.0,19.9,0.27,220.59713,-11.57278,56086.2291,0.0
1004061,1012078059827.0,20.59,0.4,220.59668,-11.573369999999999,56086.23409,0.0
1004061,1012078059827.0,20.31,0.38,220.59742999999997,-11.573,56101.21895,0.0
1004061,1012078059942.0,20.44,0.37,220.60824,-11.569410000000001,53734.54369,0.0
1004061,1012078059942.0,20.14,0.32,220.60816,-11.56985,53761.51615,0.0
1004061,1012078059942.0,19.72,0.26,220.60807000000003,-11.57043,54259.2941,0.0
1004061,1012078059942.0,20.24,0.34,220.60792,-11.569180000000001,54241.287189999995,0.0
1004061,1012078059942.0,19.76,0.22,220.60822000000002,-11.56949,54624.20235,0.0
1004061,1012078059942.0,20.63,0.35,220.60756,-11.56978,54624.21236000001,0.0
1004061,1012078059942.0,20.36,0.3,220.60793999999999,-11.56989,54624.22233,0.0
1004061,1012078059942.0,20.36,0.3,220.60811,-11.56978,54624.23231,0.0
1004061,1012078059942.0,20.72,0.46,220.60783999999998,-11.56967,54597.32079,0.0
1004061,1012078059942.0,19.6,0.24,220.60775,-11.56992,55242.51511,0.0
1004061,1012078059942.0,20.37,0.36,220.60811,-11.56986,55245.46345,0.0
1004061,1012078059942.0,20.93,0.49,220.60767,-11.56955,55245.48089,0.0
1004061,1012078059942.0,20.55,0.39,220.60844,-11.56966,55268.46124,0.0
1004061,1012078059942.0,20.52,0.39,220.60828999999998,-11.57,55332.27052000001,0.0
1004061,1012078059942.0,21.0,0.52,220.60801,-11.56963,55603.511479999994,0.0
1004061,1012078059942.0,20.62,0.41,220.60793999999999,-11.56895,55603.51667000001,0.0
1004061,1012078059942.0,19.63,0.25,220.60789,-11.56957,55688.277689999995,0.0
1004061,1012078059942.0,20.27,0.34,220.60812,-11.56949,55978.494139999995,0.0
1004061,1012078059942.0,20.79,0.45,220.60865,-11.56963,55978.50212000001,0.0
1004061,1012078059942.0,20.56,0.4,220.60807999999997,-11.56963,55978.5102,0.0
1004061,1012078059942.0,21.04,0.53,220.60787000000002,-11.56964,56010.448339999995,0.0
1004061,1012078059942.0,20.45,0.38,220.60837,-11.569280000000001,56061.29128,0.0
1004061,1012078059942.0,19.75,0.26,220.60793999999999,-11.56926,56068.3441,0.0
1004061,1012078059942.0,20.25,0.33,220.60814,-11.57008,56074.226579999995,0.0
1004061,1012078059942.0,20.28,0.34,220.60792999999998,-11.56978,56086.23409,0.0
1004061,1012078059942.0,20.58,0.4,220.60775,-11.570219999999999,56086.23912000001,0.0
1004061,1012078059942.0,20.34,0.39,220.60759,-11.56942,56101.21321,0.0
1004061,1012078059942.0,20.0,0.32,220.60737000000003,-11.56965,56101.22467,0.0
1004061,1012078059942.0,19.16,0.2,220.60827999999998,-11.56984,56417.27486000001,0.0
1004061,1012078059942.0,20.15,0.33,220.60728999999998,-11.56895,56428.26384,0.0
1004061,1012078059942.0,20.38,0.38,220.60835,-11.5697,56428.28252000001,0.0
1004061,1012078059942.0,20.6,0.36,220.60799,-11.569560000000001,56443.26177999999,0.0
1004061,1012078059958.0,19.61,0.24,220.59365,-11.57108,53734.54369,0.0
1004061,1012078059958.0,20.58,0.41,220.59411,-11.57076,53734.54743,0.0
1004061,1012078059958.0,19.52,0.23,220.59406,-11.57076,53734.55115,0.0
1004061,1012078059958.0,19.65,0.24,220.59402999999998,-11.57057,53734.554939999995,0.0
1004061,1012078059958.0,19.56,0.24,220.59366,-11.57087,53555.21965,0.0
1004061,1012078059958.0,19.98,0.3,220.59355,-11.571060000000001,53525.27283,0.0
1004061,1012078059958.0,19.71,0.26,220.59371000000002,-11.57077,53846.33866,0.0
1004061,1012078059958.0,20.13,0.33,220.59365,-11.57115,53846.34842,0.0
1004061,1012078059958.0,20.15,0.33,220.59339,-11.570969999999999,53846.35821000001,0.0
1004061,1012078059958.0,19.7,0.26,220.59373,-11.57122,53846.36802,0.0
1004061,1012078059958.0,19.7,0.25,220.59374,-11.570910000000001,53753.52286000001,0.0
1004061,1012078059958.0,19.09,0.19,220.59256000000002,-11.57113,53753.53363,0.0
1004061,1012078059958.0,20.46,0.39,220.5942,-11.570960000000001,53761.5024,0.0
1004061,1012078059958.0,20.15,0.32,220.5938,-11.57105,53761.509289999995,0.0
1004061,1012078059958.0,19.9,0.28,220.5933,-11.57098,53761.51615,0.0
1004061,1012078059958.0,19.38,0.22,220.59368999999998,-11.570730000000001,53761.52295,0.0
1004061,1012078059958.0,19.22,0.22,220.59367999999998,-11.570969999999999,53906.30185,0.0
1004061,1012078059958.0,20.06,0.31,220.59357000000003,-11.57075,54108.535039999995,0.0
1004061,1012078059958.0,19.15,0.19,220.59364,-11.57076,54259.27477,0.0
1004061,1012078059958.0,19.55,0.24,220.59386,-11.57077,54259.2877,0.0
1004061,1012078059958.0,19.83,0.28,220.59373,-11.57109,54259.2941,0.0
1004061,1012078059958.0,20.22,0.35,220.59336000000002,-11.57061,54266.19854,0.0
1004061,1012078059958.0,19.71,0.27,220.59392000000003,-11.57099,54266.20744,0.0
1004061,1012078059958.0,19.64,0.26,220.5935,-11.57095,54266.225210000004,0.0
1004061,1012078059958.0,19.52,0.23,220.59373,-11.57085,54227.32131,0.0
1004061,1012078059958.0,19.54,0.23,220.5939,-11.57058,54227.33965,0.0
1004061,1012078059958.0,19.74,0.26,220.59363,-11.5709,54241.29741,0.0
1004061,1012078059958.0,19.96,0.3,220.59332,-11.57043,54241.30761,0.0
1004061,1012078059958.0,20.15,0.31,220.59346000000002,-11.57094,54499.527839999995,0.0
1004061,1012078059958.0,20.04,0.29,220.59362000000002,-11.57081,54499.54206,0.0
1004061,1012078059958.0,19.21,0.19,220.59402000000003,-11.5711,54499.549289999995,0.0
1004061,1012078059958.0,19.45,0.19,220.59373,-11.5708,54624.20235,0.0
1004061,1012078059958.0,19.85,0.23,220.59342999999998,-11.570960000000001,54624.21236000001,0.0
1004061,1012078059958.0,19.7,0.21,220.59346000000002,-11.57103,54624.22233,0.0
1004061,1012078059958.0,18.99,0.15,220.59367999999998,-11.57086,54624.23231,0.0
1004061,1012078059958.0,20.06,0.29,220.5937,-11.570780000000001,54526.43479,0.0
1004061,1012078059958.0,20.12,0.3,220.59352,-11.57112,54526.44127,0.0
1004061,1012078059958.0,20.11,0.3,220.59332999999998,-11.57117,54526.44775,0.0
1004061,1012078059958.0,19.63,0.24,220.59342,-11.57108,54538.41859,0.0
1004061,1012078059958.0,19.95,0.28,220.59416000000002,-11.57098,54538.42619,0.0
1004061,1012078059958.0,19.45,0.22,220.59382999999997,-11.570960000000001,54538.43384,0.0
1004061,1012078059958.0,19.7,0.26,220.5938,-11.571010000000001,54597.32079,0.0
1004061,1012078059958.0,18.19,0.13,220.59354,-11.570889999999999,54597.34265,0.0
1004061,1012078059958.0,19.29,0.2,220.5932,-11.57087,54938.37248,0.0
1004061,1012078059958.0,20.01,0.29,220.59332,-11.57077,54938.38363,0.0
1004061,1012078059958.0,20.06,0.3,220.59371000000002,-11.570960000000001,55242.50122000001,0.0
