InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004161,1123074020269.0,19.66,0.26,224.36417999999998,23.411270000000002,53470.36029,0.0
1004161,1123074020269.0,20.55,0.42,224.36433,23.411820000000002,53470.36757,0.0
1004161,1123074020269.0,19.26,0.21,224.36446,23.411739999999998,53470.37484,0.0
1004161,1123074020269.0,19.53,0.24,224.36422000000002,23.41161,53470.38218,0.0
1004161,1123074020269.0,19.67,0.24,224.36428999999998,23.4116,53557.22122,0.0
1004161,1123074020269.0,19.56,0.23,224.36367,23.41085,53557.227739999995,0.0
1004161,1123074020269.0,19.45,0.22,224.36422000000002,23.41135,53557.23429,0.0
1004161,1123074020269.0,20.02,0.29,224.36425,23.4116,53557.24081,0.0
1004161,1123074020269.0,20.1,0.31,224.36393999999999,23.41188,53537.30743,0.0
1004161,1123074020269.0,20.76,0.44,224.36442999999997,23.411379999999998,53550.17069,0.0
1004161,1123074020269.0,20.05,0.3,224.36439,23.41146,53550.18032,0.0
1004161,1123074020269.0,19.88,0.27,224.36396000000002,23.41132,53550.18998,0.0
1004161,1123074020269.0,20.04,0.29,224.36412,23.41146,53550.1996,0.0
1004161,1123074020269.0,19.92,0.3,224.36449,23.41116,53506.323639999995,0.0
1004161,1123074020269.0,19.29,0.22,224.36369,23.4119,53506.33139,0.0
1004161,1123074020269.0,19.72,0.27,224.36431000000002,23.41139,53506.33923,0.0
1004161,1123074020269.0,20.17,0.35,224.36418999999998,23.411479999999997,53506.34701000001,0.0
1004161,1123074020269.0,20.92,0.5,224.36382000000003,23.41147,53851.23051,0.0
1004161,1123074020269.0,20.29,0.35,224.36463999999998,23.41187,53851.23742000001,0.0
1004161,1123074020269.0,20.1,0.31,224.36436,23.41145,53851.24432000001,0.0
1004161,1123074020269.0,20.37,0.36,224.36487999999997,23.41214,53851.25122000001,0.0
1004161,1123074020269.0,19.81,0.26,224.36401,23.41177,53793.514970000004,0.0
1004161,1123074020269.0,19.99,0.28,224.36399,23.41189,53793.51986,0.0
1004161,1123074020269.0,19.97,0.28,224.36427,23.41176,53793.52471000001,0.0
1004161,1123074020269.0,20.03,0.29,224.36444,23.411739999999998,53793.529579999995,0.0
1004161,1123074020269.0,20.76,0.5,224.36455,23.41088,53819.41696,0.0
1004161,1123074020269.0,20.75,0.5,224.36382999999998,23.41154,53819.42579,0.0
1004161,1123074020269.0,19.64,0.26,224.36386000000002,23.41155,53819.43467,0.0
1004161,1123074020269.0,20.1,0.31,224.36421,23.41171,53859.314660000004,0.0
1004161,1123074020269.0,19.31,0.21,224.36397000000002,23.41157,53859.32109,0.0
1004161,1123074020269.0,20.63,0.42,224.36435,23.41155,53859.327489999996,0.0
1004161,1123074020269.0,19.84,0.27,224.36414,23.41164,53859.33391,0.0
1004161,1123074020269.0,19.95,0.29,224.36405,23.41129,53878.348589999994,0.0
1004161,1123074020269.0,19.76,0.26,224.36423,23.41157,53878.35565,0.0
1004161,1123074020269.0,19.93,0.28,224.36337000000003,23.41133,53878.3627,0.0
1004161,1123074020269.0,19.52,0.23,224.36416,23.411379999999998,53878.36975,0.0
1004161,1123074020269.0,19.7,0.25,224.36413,23.41175,53886.29792000001,0.0
1004161,1123074020269.0,20.68,0.44,224.36407000000003,23.41153,53886.30599,0.0
1004161,1123074020269.0,18.93,0.17,224.36393999999999,23.41145,53886.31407000001,0.0
