InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004241,1004082012015.0,20.76,0.46,227.93944,-5.21229,53496.27858,0.0
1004241,1004082012015.0,19.47,0.23,227.9394,-5.212269999999998,53496.286980000004,0.0
1004241,1004082012015.0,19.27,0.22,227.94095,-5.21258,53844.41341,0.0
1004241,1004082012015.0,18.95,0.18,227.93884,-5.211469999999999,53855.33997000001,0.0
1004241,1004082012015.0,18.68,0.16,227.94003999999998,-5.21178,53855.34759,0.0
1004241,1004082012015.0,20.85,0.51,227.94034,-5.212619999999999,53855.3628,0.0
1004241,1004082012015.0,20.51,0.4,227.93946,-5.2130800000000015,53768.4941,0.0
1004241,1004082012015.0,18.63,0.15,227.9386,-5.21214,54205.37218,0.0
1004241,1004082012015.0,19.02,0.18,227.94007000000002,-5.21206,54205.37755,0.0
1004241,1004082012015.0,19.59,0.24,227.94037999999998,-5.21199,54212.40526,0.0
1004241,1004082012015.0,20.0,0.29,227.9393,-5.21149,54156.43887000001,0.0
1004241,1004082012015.0,20.52,0.39,227.94059,-5.2119300000000015,54175.4386,0.0
1004241,1004082012015.0,19.68,0.25,227.94043,-5.21146,54184.45117000001,0.0
1004241,1004082012015.0,20.57,0.41,227.94012999999998,-5.211880000000002,54229.38501000001,0.0
1004241,1004082012015.0,20.58,0.44,227.94016000000002,-5.2117900000000015,54237.33431000001,0.0
1004241,1004082012015.0,20.56,0.4,227.93989,-5.21172,54567.36791,0.0
1004241,1004082012015.0,20.82,0.45,227.94003999999998,-5.21134,54503.51452999999,0.0
1004241,1004082012015.0,19.86,0.27,227.94083999999998,-5.2117,54476.50522000001,0.0
1004241,1004082012015.0,19.94,0.28,227.93977,-5.21221,54530.47313,0.0
1004241,1004082012015.0,20.33,0.35,227.94033,-5.21169,54862.51494,0.0
1004241,1004082012015.0,20.98,0.49,227.94091,-5.21166,54909.47665,0.0
1004241,1004082012015.0,20.48,0.39,227.94118999999998,-5.21117,54964.341010000004,0.0
1004241,1004082012015.0,20.32,0.36,227.94,-5.21185,54975.292610000004,0.0
1004241,1004082012015.0,20.71,0.44,227.9393,-5.21264,55291.454229999996,0.0
1004241,1004082012015.0,20.21,0.33,227.94047999999998,-5.212359999999999,55291.47336,0.0
1004241,1004082012015.0,19.76,0.26,227.93882000000002,-5.21237,55242.48005,0.0
1004241,1004082012015.0,21.04,0.47,227.93992999999998,-5.2119599999999995,55664.38135,0.0
1004241,1004082012015.0,19.8,0.27,227.93986,-5.21246,55604.511,0.0
1004241,1004082012015.0,20.12,0.33,227.93946,-5.2118699999999984,55734.20292999999,0.0
1004241,1004082012015.0,19.62,0.25,227.94012999999998,-5.2115,55634.453929999996,0.0
1004241,1004082012015.0,20.35,0.37,227.94003999999998,-5.21172,55634.462589999996,0.0
1004241,1004082012015.0,20.92,0.52,227.93996,-5.2117,55634.471289999994,0.0
1004241,1004082012015.0,19.3,0.2,227.93986,-5.21157,54156.45106,0.0
1004241,1004082012015.0,19.7,0.25,227.93985,-5.2123,55978.51192999999,0.0
1004241,1004082012015.0,19.79,0.27,227.94102,-5.21205,56003.484339999995,0.0
1004241,1004082012015.0,20.21,0.35,227.9398,-5.21166,56013.48481,0.0
1004241,1004082012015.0,20.45,0.39,227.93971000000002,-5.21225,56034.33175,0.0
1004241,1004082012015.0,15.91,0.07,227.93843999999999,-5.21096,56038.416370000006,0.0
1004241,1004082012015.0,15.4,0.06,227.94158,-5.21095,56038.416370000006,1.0
1004241,1004082012015.0,20.43,0.37,227.93976,-5.21181,56059.35115,0.0
1004241,1004082012015.0,19.96,0.25,227.94071,-5.2129900000000005,56064.290279999994,0.0
1004241,1004082012015.0,20.07,0.27,227.93993999999998,-5.21199,56413.40927999999,0.0
1004241,1004082012015.0,20.01,0.32,227.94071,-5.2115599999999995,56428.368220000004,0.0
1004241,1004082012015.0,19.93,0.3,227.94011,-5.2121,56470.22735,0.0
1004241,1004082012490.0,16.03,0.07,227.96201000000002,-5.20279,53525.30814,0.0
1004241,1004082012490.0,15.97,0.07,227.96197,-5.20276,53525.31628,0.0
1004241,1004082012490.0,15.96,0.07,227.96197999999998,-5.20285,53525.32442,0.0
1004241,1004082012490.0,16.02,0.07,227.962,-5.20279,53525.33253,0.0
1004241,1004082012490.0,15.96,0.07,227.96196,-5.2028,53496.27858,0.0
1004241,1004082012490.0,15.96,0.07,227.96206,-5.2028,53496.286980000004,0.0
1004241,1004082012490.0,15.94,0.07,227.96202000000002,-5.20273,53496.295360000004,0.0
1004241,1004082012490.0,15.97,0.07,227.96201000000002,-5.20273,53496.30375,0.0
1004241,1004082012490.0,15.97,0.07,227.96196,-5.20282,53844.40285,0.0
1004241,1004082012490.0,15.95,0.07,227.96197999999998,-5.2028099999999995,53844.41341,0.0
1004241,1004082012490.0,16.02,0.07,227.96192000000002,-5.2027800000000015,53844.42401,0.0
1004241,1004082012490.0,15.98,0.07,227.96194,-5.2028300000000005,53844.434629999996,0.0
1004241,1004082012490.0,15.97,0.07,227.96196,-5.20284,53855.33997000001,0.0
1004241,1004082012490.0,15.99,0.07,227.96196,-5.20282,53855.34759,0.0
1004241,1004082012490.0,15.97,0.07,227.962,-5.2028099999999995,53855.355189999995,0.0
1004241,1004082012490.0,15.99,0.07,227.96199,-5.20282,53855.3628,0.0
1004241,1004082012490.0,16.0,0.07,227.962,-5.2028,53768.48093,0.0
1004241,1004082012490.0,16.0,0.07,227.96202000000002,-5.20284,53768.487479999996,0.0
1004241,1004082012490.0,15.99,0.07,227.96197999999998,-5.20276,53768.4941,0.0
1004241,1004082012490.0,16.0,0.07,227.962,-5.2028,53768.500620000006,0.0
1004241,1004082012490.0,16.02,0.07,227.96197,-5.20279,53791.47882999999,0.0
1004241,1004082012490.0,16.02,0.07,227.96201000000002,-5.20279,53791.485310000004,0.0
1004241,1004082012490.0,16.01,0.07,227.96197,-5.20282,53791.49177000001,0.0
1004241,1004082012490.0,15.97,0.07,227.96194,-5.2028,53791.49825,0.0
1004241,1004082012490.0,16.01,0.07,227.96195,-5.2028300000000005,53937.2078,0.0
1004241,1004082012490.0,16.03,0.07,227.96195,-5.2028300000000005,53937.21424,0.0
1004241,1004082012490.0,16.07,0.07,227.9619,-5.20285,53937.22062000001,0.0
1004241,1004082012490.0,15.99,0.07,227.96197999999998,-5.20285,53937.22704,0.0
1004241,1004082012490.0,15.99,0.07,227.96195,-5.20279,53890.34707,0.0
1004241,1004082012490.0,16.0,0.07,227.96197999999998,-5.2028099999999995,53890.353520000004,0.0
1004241,1004082012490.0,16.0,0.07,227.96187999999998,-5.20282,53890.35993,0.0
1004241,1004082012490.0,15.94,0.07,227.962,-5.2028300000000005,53890.36637,0.0
1004241,1004082012490.0,15.81,0.12,227.96197,-5.20276,53903.322089999994,0.0
1004241,1004082012490.0,15.96,0.12,227.9618,-5.20289,53903.323079999995,0.0
1004241,1004082012490.0,16.01,0.13,227.96188999999998,-5.20292,53903.324089999995,0.0
1004241,1004082012490.0,15.9,0.12,227.96197,-5.202719999999999,53903.325079999995,0.0
1004241,1004082012490.0,15.97,0.07,227.96196,-5.20275,53862.27275,0.0
1004241,1004082012490.0,15.96,0.07,227.96197,-5.20275,53862.28047000001,0.0
1004241,1004082012490.0,15.96,0.07,227.96196,-5.2028099999999995,53862.28832000001,0.0
1004241,1004082012490.0,16.02,0.07,227.96193,-5.20284,53862.29581,0.0
1004241,1004082012490.0,15.98,0.07,227.96194,-5.20274,53875.30765,0.0
1004241,1004082012490.0,16.0,0.07,227.96188999999998,-5.20276,53875.3151,0.0
1004241,1004082012490.0,16.0,0.07,227.96197999999998,-5.2027800000000015,53875.32253,0.0
1004241,1004082012490.0,15.98,0.07,227.96191000000002,-5.20282,53875.329970000006,0.0
1004241,1004082012490.0,16.01,0.07,227.96199,-5.20279,53881.33922,0.0
1004241,1004082012490.0,15.98,0.07,227.96204,-5.2028099999999995,53881.3493,0.0
1004241,1004082012490.0,16.0,0.07,227.96202000000002,-5.20276,53881.359379999994,0.0
