InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004321,1118080061746.0,20.91,0.49,231.84561000000002,19.477829999999997,53557.26319,0.0
1004321,1118080061746.0,20.53,0.39,231.84586000000002,19.47813,53525.33564,0.0
1004321,1118080061746.0,20.21,0.33,231.84583999999998,19.47796,53525.34852,0.0
1004321,1118080061746.0,20.52,0.39,231.84628999999998,19.478,53525.354960000004,0.0
1004321,1118080061746.0,20.39,0.36,231.84614,19.47779,53551.29492,0.0
1004321,1118080061746.0,20.07,0.3,231.8457,19.47786,53827.44246000001,0.0
1004321,1118080061746.0,20.49,0.38,231.84607000000003,19.47782,53827.45002999999,0.0
1004321,1118080061746.0,20.09,0.32,231.84617999999998,19.47814,53827.45776000001,0.0
1004321,1118080061746.0,20.57,0.4,231.84614,19.47795,53850.28939,0.0
1004321,1118080061746.0,20.5,0.39,231.84647,19.477829999999997,53850.306189999996,0.0
1004321,1118080061746.0,20.2,0.34,231.84611,19.47785,53819.46762,0.0
1004321,1118080061746.0,20.08,0.3,231.84587000000002,19.477710000000002,53819.486079999995,0.0
1004321,1118080061746.0,19.51,0.3,231.8462,19.47788,53873.41052000001,0.0
1004321,1118080061746.0,19.92,0.38,231.84659,19.47757,53873.41471000001,0.0
1004321,1118080061746.0,21.06,0.53,231.84607000000003,19.47776,53879.33169,0.0
1004321,1118080061746.0,20.5,0.39,231.84637,19.47776,53879.3419,0.0
1004321,1118080061746.0,20.04,0.3,231.84657,19.47795,53879.35215,0.0
1004321,1118080061746.0,19.94,0.28,231.84615,19.47794,54201.38216,0.0
1004321,1118080061746.0,20.83,0.45,231.84622000000002,19.4776,54201.39142000001,0.0
1004321,1118080061746.0,19.54,0.22,231.84617000000003,19.47768,54117.52362000001,0.0
1004321,1118080061746.0,19.84,0.28,231.84621,19.477710000000002,54267.23809,0.0
1004321,1118080061746.0,20.95,0.51,231.84641000000002,19.477610000000002,54267.25426,0.0
1004321,1118080061746.0,19.89,0.26,231.84604,19.47759,54175.3894,0.0
1004321,1118080061746.0,19.75,0.24,231.84627000000003,19.47758,54175.39727,0.0
1004321,1118080061746.0,19.41,0.21,231.84627000000003,19.47766,54175.40512,0.0
1004321,1118080061746.0,18.92,0.28,231.8457,19.47694,54228.36987,0.0
1004321,1118080061746.0,20.6,0.47,231.84647,19.47748,54228.385220000004,0.0
1004321,1118080061746.0,20.7,0.43,231.84632000000002,19.47733,54242.30775,0.0
1004321,1118080061746.0,19.71,0.25,231.84641000000002,19.4778,54346.14961,0.0
1004321,1118080061746.0,20.86,0.46,231.8461,19.47681,54355.11442000001,0.0
1004321,1118080061746.0,21.07,0.51,231.84605,19.47805,54566.40412000001,0.0
1004321,1118080061746.0,20.6,0.38,231.84593999999998,19.47764,54514.485389999994,0.0
1004321,1118080061746.0,20.26,0.32,231.84627999999998,19.47799,54625.31745,0.0
1004321,1118080061746.0,20.48,0.37,231.84593999999998,19.4777,54625.33197000001,0.0
1004321,1118080061746.0,20.09,0.3,231.84635,19.4782,54625.33924,0.0
1004321,1118080061746.0,20.3,0.32,231.84578,19.47709,54528.45459,0.0
1004321,1118080061746.0,20.2,0.31,231.84613,19.47798,54536.44904,0.0
1004321,1118080061746.0,20.85,0.44,231.84609,19.478089999999998,54536.45499,0.0
1004321,1118080061746.0,20.28,0.32,231.84652000000003,19.47767,54588.40464,0.0
1004321,1118080061746.0,19.63,0.23,231.84658,19.47754,54588.4103,0.0
1004321,1118080061746.0,19.95,0.28,231.84616,19.47786,54593.355410000004,0.0
1004321,1118080061746.0,20.58,0.39,231.84632000000002,19.47792,54601.30717000001,0.0
1004321,1118080061746.0,20.31,0.33,231.84589,19.47791,54944.44177000001,0.0
1004321,1118080061746.0,20.47,0.35,231.84605,19.47791,54891.489610000004,0.0
1004321,1118080061746.0,20.4,0.33,231.84622000000002,19.47782,54891.49751,0.0
1004321,1118080061746.0,20.34,0.33,231.84588,19.47737,54912.35561000001,0.0
1004321,1118080061746.0,20.28,0.33,231.84581,19.47857,54919.38733,0.0
1004321,1118080061746.0,20.08,0.32,231.84607999999997,19.47842,54919.39399,0.0
1004321,1118080061746.0,20.92,0.47,231.8464,19.47738,54965.33117000001,0.0
1004321,1118080061746.0,19.5,0.22,231.84628999999998,19.47803,54965.34334,0.0
1004321,1118080061746.0,21.21,0.55,231.84592999999998,19.47767,54978.32302999999,0.0
1004321,1118080061746.0,20.14,0.3,231.84649,19.47843,54978.33922,0.0
1004321,1118080061746.0,19.92,0.27,231.84644,19.47762,55293.41312999999,0.0
1004321,1118080061746.0,21.15,0.53,231.8461,19.47769,55293.4196,0.0
1004321,1118080061746.0,19.69,0.24,231.84613,19.47767,55293.42607,0.0
1004321,1118080061746.0,20.25,0.33,231.84605,19.4779,55303.34686000001,0.0
1004321,1118080061746.0,20.13,0.31,231.84556,19.47736,55303.3675,0.0
1004321,1118080061746.0,20.8,0.44,231.84615,19.4777,55382.21969,0.0
1004321,1118080061746.0,19.74,0.25,231.84578,19.47796,55382.23669,0.0
1004321,1118080061746.0,20.27,0.33,231.84591,19.4776,55350.29742,0.0
1004321,1118080061746.0,20.2,0.32,231.84606000000002,19.47791,55350.3112,0.0
1004321,1118080061746.0,19.48,0.22,231.84573999999998,19.47873,55358.279539999996,0.0
1004321,1118080061746.0,19.45,0.22,231.84595,19.4772,55358.29848,0.0
1004321,1118080061746.0,20.44,0.36,231.84606000000002,19.47745,55364.2809,0.0
1004321,1118080061746.0,20.37,0.34,231.84604,19.47756,55364.285489999995,0.0
1004321,1118080061746.0,19.82,0.26,231.84573999999998,19.47803,55364.29006,0.0
1004321,1118080061746.0,20.21,0.31,231.84542000000002,19.47824,55364.29465,0.0
1004321,1118080061746.0,19.1,0.18,231.84572000000003,19.47769,55368.23312999999,0.0
1004321,1118080061746.0,20.74,0.43,231.84656,19.47733,55368.249039999995,0.0
1004321,1118080061746.0,20.39,0.35,231.84605,19.47748,55325.34567,0.0
1004321,1118080061746.0,20.42,0.35,231.84582999999998,19.477729999999998,55325.3532,0.0
1004321,1118080061746.0,19.88,0.26,231.84602,19.47768,55325.36075,0.0
1004321,1118080061746.0,21.12,0.52,231.84582999999998,19.47784,55332.27936,0.0
1004321,1118080061746.0,20.0,0.28,231.84666,19.47756,55332.30009,0.0
1004321,1118080061746.0,19.34,0.2,231.84647,19.47663,55340.2445,0.0
1004321,1118080061746.0,21.18,0.56,231.84647,19.47782,55657.410970000004,0.0
1004321,1118080061746.0,20.63,0.41,231.84593999999998,19.47767,55657.4167,0.0
1004321,1118080061746.0,20.36,0.35,231.8466,19.4783,55597.53354,0.0
1004321,1118080061746.0,20.8,0.46,231.84562000000003,19.47784,55566.53966,0.0
1004321,1118080061746.0,21.08,0.56,231.84611,19.47772,55714.31435,0.0
1004321,1118080061746.0,20.33,0.35,231.84617999999998,19.47727,55720.306,0.0
1004321,1118080061746.0,21.28,0.6,231.84557,19.47748,55720.31472,0.0
1004321,1118080061746.0,20.5,0.39,231.84609,19.47805,55720.32347,0.0
1004321,1118080061746.0,19.88,0.27,231.84662000000003,19.4776,55631.492,0.0
1004321,1118080061746.0,21.03,0.53,231.84613,19.47743,55650.48527000001,0.0
1004321,1118080061746.0,19.81,0.27,231.84617999999998,19.47775,55650.50261,0.0
1004321,1118080061746.0,20.16,0.27,231.84618999999998,19.4781,55684.3627,0.0
1004321,1118080061746.0,21.48,0.56,231.84807999999998,19.479110000000002,55684.3627,1.0
1004321,1118080061746.0,19.73,0.21,231.84616,19.477710000000002,55684.37245,0.0
1004321,1118080061746.0,20.09,0.26,231.84595,19.47774,55684.391939999994,0.0
1004321,1118080061746.0,20.13,0.38,231.8464,19.4777,55824.12057000001,0.0
1004321,1118080061746.0,21.24,0.56,231.84582999999998,19.47765,55980.513139999995,0.0
1004321,1118080061746.0,20.45,0.37,231.84661,19.47759,55980.529,0.0
1004321,1118080061746.0,19.63,0.24,231.84634,19.4782,55987.43289,0.0
1004321,1118080061746.0,20.18,0.32,231.84602999999998,19.47791,55987.44436,0.0
1004321,1118080061746.0,20.97,0.51,231.84597000000002,19.47756,55987.450070000006,0.0
1004321,1118080061746.0,21.05,0.51,231.8464,19.477629999999998,56000.50636,0.0
1004321,1118080061746.0,20.31,0.33,231.84614,19.47731,56000.51141,0.0
1004321,1118080061746.0,20.53,0.32,231.8461,19.47775,56014.433,0.0
1004321,1118080061746.0,20.03,0.25,231.84647,19.47735,56014.44059,0.0
1004321,1118080061746.0,20.19,0.27,231.84627999999998,19.47792,56014.44813,0.0
1004321,1118080061746.0,19.89,0.23,231.84605,19.477529999999998,56014.45567,0.0
1004321,1118080061746.0,19.97,0.28,231.84544,19.477829999999997,56042.289529999995,0.0
1004321,1118080061746.0,20.42,0.36,231.84633,19.47757,56042.29532000001,0.0
1004321,1118080061746.0,20.5,0.38,231.84673999999998,19.477120000000006,56042.30108,0.0
1004321,1118080061746.0,20.23,0.33,231.84623,19.47772,56048.41581000001,0.0
1004321,1118080061746.0,19.55,0.23,231.84602999999998,19.478070000000002,56048.432870000004,0.0
1004321,1118080061746.0,20.07,0.29,231.8458,19.4773,56062.375,0.0
1004321,1118080061746.0,20.26,0.32,231.8459,19.47778,56062.38352999999,0.0
1004321,1118080061746.0,19.97,0.23,231.84611,19.47786,56070.31972000001,0.0
1004321,1118080061746.0,20.24,0.26,231.84636,19.47745,56070.33341,0.0
1004321,1118080061746.0,19.91,0.22,231.84621,19.477529999999998,56070.34029,0.0
1004321,1118080061746.0,20.23,0.31,231.84559,19.477629999999998,56088.317989999996,0.0
1004321,1118080061746.0,20.06,0.29,231.84606000000002,19.4775,56094.3245,0.0
1004321,1118080061746.0,19.77,0.25,231.84597999999997,19.477829999999997,56094.33296,0.0
1004321,1118080061746.0,19.86,0.26,231.84607999999997,19.47789,56094.34151000001,0.0
1004321,1118080061746.0,20.16,0.31,231.84633,19.47776,56358.47543,0.0
1004321,1118080061746.0,19.99,0.28,231.84597999999997,19.47772,56358.48367,0.0
1004321,1118080061746.0,20.15,0.31,231.84597999999997,19.47774,56358.49189,0.0
1004321,1118080061746.0,20.85,0.45,231.84642000000002,19.477320000000002,55949.5,0.0
1004321,1118080061746.0,19.58,0.23,231.8461,19.47802,56385.48717000001,0.0
1004321,1118080061746.0,20.91,0.48,231.84618999999998,19.477829999999997,56385.49002999999,0.0
1004321,1118080061746.0,20.08,0.31,231.84656,19.47759,56392.48323,0.0
1004321,1118080061746.0,20.91,0.48,231.84661,19.47804,56403.34454,0.0
1004321,1118080061746.0,21.07,0.53,231.84626,19.47774,56415.42625,0.0
