InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004381,1015081055423.0,17.62,0.11,234.62901000000002,-15.270370000000002,53563.2376,0.0
1004381,1015081055423.0,17.76,0.12,234.62931,-15.270679999999999,53563.2441,0.0
1004381,1015081055423.0,17.83,0.12,234.62927000000002,-15.270610000000001,53563.250589999996,0.0
1004381,1015081055423.0,17.78,0.12,234.62923999999998,-15.270829999999998,53563.2571,0.0
1004381,1015081055423.0,18.13,0.12,234.62933999999998,-15.270629999999999,53524.29358,0.0
1004381,1015081055423.0,18.05,0.12,234.62927000000002,-15.2706,53524.30125,0.0
1004381,1015081055423.0,18.12,0.12,234.62921,-15.2706,53524.30891,0.0
1004381,1015081055423.0,18.04,0.12,234.6292,-15.270560000000001,53524.31656,0.0
1004381,1015081055423.0,18.08,0.13,234.6292,-15.270679999999999,53844.45251,0.0
1004381,1015081055423.0,18.18,0.14,234.6294,-15.270529999999999,53844.461129999996,0.0
1004381,1015081055423.0,18.13,0.13,234.62919,-15.270629999999999,53844.46981,0.0
1004381,1015081055423.0,18.2,0.14,234.62937000000002,-15.270760000000001,53844.478489999994,0.0
1004381,1015081055423.0,18.33,0.14,234.62931,-15.27064,53791.50514,0.0
1004381,1015081055423.0,17.98,0.12,234.6292,-15.270560000000001,53791.5127,0.0
1004381,1015081055423.0,18.25,0.13,234.62913999999998,-15.2705,53791.52028,0.0
1004381,1015081055423.0,18.1,0.12,234.62928,-15.270560000000001,53791.52785,0.0
1004381,1015081055423.0,17.94,0.12,234.62916,-15.27069,53766.52811,0.0
1004381,1015081055423.0,18.08,0.12,234.62925,-15.2707,53766.53487999999,0.0
1004381,1015081055423.0,18.03,0.12,234.62925,-15.2706,53766.5417,0.0
1004381,1015081055423.0,18.2,0.13,234.62933999999998,-15.270610000000001,53766.54846000001,0.0
1004381,1015081055423.0,17.71,0.13,234.62917000000002,-15.270589999999999,53816.48452000001,0.0
1004381,1015081055423.0,18.43,0.18,234.62935,-15.27081,53816.4915,0.0
1004381,1015081055423.0,18.14,0.15,234.62935,-15.27067,53816.49824,0.0
1004381,1015081055423.0,17.66,0.13,234.62926000000002,-15.270560000000001,53816.50492000001,0.0
1004381,1015081055423.0,17.87,0.29,234.62908,-15.270729999999999,53861.37687000001,0.0
1004381,1015081055423.0,18.15,0.34,234.62917000000002,-15.270560000000001,53861.37764,0.0
1004381,1015081055423.0,18.11,0.33,234.62946000000002,-15.27084,53861.3785,0.0
1004381,1015081055423.0,18.12,0.34,234.62904,-15.27065,53861.37932000001,0.0
1004381,1015081055423.0,18.39,0.39,234.6293,-15.2705,53863.36912,0.0
1004381,1015081055423.0,18.59,0.43,234.62935,-15.270629999999999,53863.36992000001,0.0
1004381,1015081055423.0,17.68,0.26,234.62922000000003,-15.27046,53863.37074,0.0
1004381,1015081055423.0,17.56,0.25,234.62951,-15.27091,53863.37161,0.0
1004381,1015081055423.0,17.88,0.12,234.62931,-15.270579999999999,53874.33127,0.0
1004381,1015081055423.0,17.95,0.12,234.62925,-15.270520000000001,53874.33872000001,0.0
1004381,1015081055423.0,18.12,0.13,234.6293,-15.270679999999999,53874.34617999999,0.0
1004381,1015081055423.0,17.9,0.12,234.62928,-15.270579999999999,53874.35364,0.0
1004381,1015081055423.0,18.14,0.12,234.62932999999998,-15.27075,54125.52993,0.0
1004381,1015081055423.0,18.02,0.12,234.62939,-15.27082,54125.537710000004,0.0
1004381,1015081055423.0,18.03,0.12,234.62932999999998,-15.27064,54125.54549,0.0
1004381,1015081055423.0,17.77,0.11,234.6291,-15.27075,54125.55324,0.0
1004381,1015081055423.0,18.13,0.13,234.62922000000003,-15.270520000000001,54259.278029999994,0.0
1004381,1015081055423.0,18.01,0.12,234.62936000000002,-15.270529999999999,54259.28446,0.0
1004381,1015081055423.0,18.14,0.13,234.62936000000002,-15.270539999999999,54259.29091,0.0
1004381,1015081055423.0,17.96,0.12,234.62939,-15.270570000000001,54259.29731,0.0
1004381,1015081055423.0,18.12,0.12,234.62935,-15.27069,54173.47949,0.0
1004381,1015081055423.0,18.0,0.12,234.62917000000002,-15.270570000000001,54173.48783,0.0
1004381,1015081055423.0,18.02,0.12,234.62932999999998,-15.27055,54173.496139999996,0.0
1004381,1015081055423.0,18.0,0.12,234.62913999999998,-15.270570000000001,54173.50449,0.0
1004381,1015081055423.0,17.85,0.11,234.62921,-15.27072,54227.35687999999,0.0
1004381,1015081055423.0,18.43,0.14,234.62918,-15.270520000000001,54227.36559,0.0
1004381,1015081055423.0,17.92,0.12,234.62932,-15.270579999999999,54227.374279999996,0.0
1004381,1015081055423.0,18.28,0.13,234.62922999999998,-15.270760000000001,54227.38299,0.0
1004381,1015081055423.0,18.14,0.13,234.62929,-15.270579999999999,54243.23789,0.0
1004381,1015081055423.0,18.19,0.13,234.62926000000002,-15.270570000000001,54243.24514,0.0
1004381,1015081055423.0,18.11,0.13,234.62936000000002,-15.270539999999999,54243.25234,0.0
1004381,1015081055423.0,17.9,0.13,234.62931,-15.270439999999999,54243.25954,0.0
1004381,1015081055423.0,18.01,0.12,234.62913999999998,-15.27033,54582.34772000001,0.0
1004381,1015081055423.0,17.75,0.11,234.62929,-15.27043,54582.35532,0.0
1004381,1015081055423.0,18.11,0.13,234.62908,-15.27069,54582.362929999996,0.0
1004381,1015081055423.0,18.06,0.12,234.62923999999998,-15.270570000000001,54582.37057000001,0.0
1004381,1015081055423.0,18.09,0.12,234.62927000000002,-15.27065,54502.51836,0.0
1004381,1015081055423.0,18.11,0.12,234.62937000000002,-15.270570000000001,54502.522679999995,0.0
1004381,1015081055423.0,18.12,0.12,234.62922999999998,-15.270710000000001,54502.52701000001,0.0
1004381,1015081055423.0,18.05,0.12,234.62922999999998,-15.27055,54502.531339999994,0.0
1004381,1015081055423.0,18.01,0.12,234.62912000000003,-15.27055,54526.46985,0.0
1004381,1015081055423.0,18.21,0.12,234.62928,-15.2706,54526.47636,0.0
1004381,1015081055423.0,18.05,0.12,234.62929,-15.270529999999999,54526.48299,0.0
1004381,1015081055423.0,18.14,0.12,234.62928,-15.270589999999999,54526.48952,0.0
1004381,1015081055423.0,18.07,0.12,234.62937999999997,-15.270529999999999,54539.44859,0.0
1004381,1015081055423.0,18.08,0.12,234.62931,-15.27065,54539.45572000001,0.0
1004381,1015081055423.0,18.13,0.12,234.62932,-15.27064,54539.462889999995,0.0
1004381,1015081055423.0,17.8,0.13,234.62937000000002,-15.270829999999998,55063.1388,0.0
1004381,1015081055423.0,17.84,0.14,234.62937000000002,-15.270620000000001,55063.14411,0.0
1004381,1015081055423.0,18.28,0.16,234.62913999999998,-15.270610000000001,55063.1495,0.0
1004381,1015081055423.0,18.19,0.16,234.62939,-15.27045,55063.15463,0.0
1004381,1015081055423.0,18.0,0.15,234.62912000000003,-15.270470000000001,55028.15946,0.0
1004381,1015081055423.0,17.88,0.14,234.62909,-15.270589999999999,55028.16315,0.0
1004381,1015081055423.0,17.78,0.14,234.62933999999998,-15.2706,55028.16705,0.0
1004381,1015081055423.0,17.83,0.14,234.62927000000002,-15.270560000000001,55028.17091,0.0
1004381,1015081055423.0,17.93,0.12,234.6292,-15.270520000000001,55348.26854,0.0
1004381,1015081055423.0,17.98,0.12,234.62918,-15.27064,55348.2755,0.0
1004381,1015081055423.0,17.82,0.11,234.62923999999998,-15.27072,55348.282439999995,0.0
1004381,1015081055423.0,18.07,0.12,234.62922000000003,-15.270570000000001,55348.289379999995,0.0
1004381,1015081055423.0,18.11,0.14,234.62922999999998,-15.27085,55320.3751,0.0
1004381,1015081055423.0,18.24,0.14,234.62929,-15.2707,55320.38122,0.0
1004381,1015081055423.0,18.04,0.13,234.62933999999998,-15.270620000000001,55320.38735,0.0
1004381,1015081055423.0,17.84,0.12,234.62928,-15.27046,55320.39348,0.0
1004381,1015081055423.0,18.06,0.13,234.62927000000002,-15.27043,55743.20812,0.0
1004381,1015081055423.0,18.01,0.13,234.62932999999998,-15.270579999999999,55743.21265,0.0
1004381,1015081055423.0,18.05,0.13,234.62913999999998,-15.270470000000001,55743.21717,0.0
1004381,1015081055423.0,18.03,0.13,234.62925,-15.270520000000001,55743.22174,0.0
1004381,1015081055423.0,18.22,0.13,234.6293,-15.270620000000001,55715.282029999995,0.0
1004381,1015081055423.0,18.19,0.13,234.62931,-15.27048,55715.28822,0.0
1004381,1015081055423.0,18.03,0.12,234.62937000000002,-15.270579999999999,55715.29435,0.0
1004381,1015081055423.0,18.24,0.14,234.62912000000003,-15.270420000000001,55715.30055,0.0
1004381,1015081055423.0,18.24,0.14,234.6293,-15.2706,55734.17479,0.0
1004381,1015081055423.0,17.93,0.12,234.62928,-15.270589999999999,55734.18049,0.0
1004381,1015081055423.0,18.05,0.13,234.62916,-15.270520000000001,55734.186279999994,0.0
1004381,1015081055423.0,18.11,0.13,234.6292,-15.270560000000001,55734.19203,0.0
1004381,1015081055423.0,18.2,0.13,234.62922000000003,-15.27046,55622.44456,0.0
1004381,1015081055423.0,18.15,0.13,234.6293,-15.27045,55622.45321,0.0
1004381,1015081055423.0,18.27,0.13,234.62927000000002,-15.270439999999999,55622.46195,0.0
1004381,1015081055423.0,18.21,0.13,234.62921,-15.27055,55622.47068,0.0
1004381,1015081055423.0,17.98,0.12,234.62923999999998,-15.2706,55984.51297,0.0
1004381,1015081055423.0,18.05,0.12,234.62907,-15.2706,55984.516879999996,0.0
1004381,1015081055423.0,18.0,0.12,234.62925,-15.27075,55984.520939999995,0.0
1004381,1015081055423.0,18.29,0.13,234.62936000000002,-15.27065,55984.52492999999,0.0
1004381,1015081055423.0,17.98,0.12,234.62932,-15.270560000000001,55989.483720000004,0.0
1004381,1015081055423.0,18.08,0.12,234.62929,-15.270560000000001,55989.48824,0.0
1004381,1015081055423.0,17.94,0.12,234.62932999999998,-15.2706,55989.49286000001,0.0
1004381,1015081055423.0,18.11,0.13,234.62922000000003,-15.270589999999999,55989.497429999996,0.0
1004381,1015081055423.0,18.07,0.12,234.62908,-15.270589999999999,56010.476389999996,0.0
1004381,1015081055423.0,18.14,0.13,234.62931,-15.27065,56010.48415,0.0
1004381,1015081055423.0,18.13,0.13,234.6293,-15.270589999999999,56010.4919,0.0
1004381,1015081055423.0,18.07,0.12,234.62922999999998,-15.27069,56010.49969,0.0
1004381,1015081055423.0,18.07,0.13,234.62941,-15.270570000000001,56040.44325,0.0
1004381,1015081055423.0,18.08,0.13,234.62915,-15.270589999999999,56040.44667000001,0.0
1004381,1015081055423.0,18.18,0.14,234.62935,-15.270610000000001,56040.45006,0.0
1004381,1015081055423.0,18.05,0.13,234.62907,-15.270560000000001,56040.45352,0.0
1004381,1015081055423.0,18.12,0.12,234.62945,-15.270570000000001,56060.30516,0.0
1004381,1015081055423.0,18.09,0.12,234.62932,-15.27069,56060.31371,0.0
1004381,1015081055423.0,18.12,0.12,234.62927000000002,-15.270539999999999,56060.322329999995,0.0
1004381,1015081055423.0,18.06,0.12,234.6292,-15.270710000000001,56060.33082,0.0
1004381,1015081055423.0,17.99,0.12,234.62916,-15.270520000000001,56067.335779999994,0.0
1004381,1015081055423.0,17.93,0.11,234.62926000000002,-15.270679999999999,56067.34243,0.0
1004381,1015081055423.0,18.14,0.12,234.62931,-15.27069,56067.34918,0.0
1004381,1015081055423.0,18.04,0.12,234.62947999999997,-15.270579999999999,56067.35585,0.0
1004381,1015081055423.0,17.89,0.11,234.62931,-15.2708,56074.23632,0.0
1004381,1015081055423.0,18.14,0.12,234.62931,-15.270660000000001,56074.24137,0.0
1004381,1015081055423.0,17.99,0.12,234.62942999999999,-15.27065,56074.24638,0.0
1004381,1015081055423.0,17.96,0.12,234.62932,-15.27065,56074.251379999994,0.0
1004381,1015081055423.0,17.96,0.12,234.62935,-15.27064,56086.25358,0.0
1004381,1015081055423.0,18.26,0.13,234.62932,-15.27081,56086.258579999994,0.0
1004381,1015081055423.0,18.25,0.13,234.62937999999997,-15.270610000000001,56086.263739999995,0.0
1004381,1015081055423.0,17.96,0.12,234.62918,-15.270579999999999,56086.26882999999,0.0
1004381,1015081055423.0,18.1,0.11,234.62915,-15.27055,56337.49062999999,0.0
1004381,1015081055423.0,18.0,0.11,234.62932999999998,-15.270470000000001,56337.49747,0.0
1004381,1015081055423.0,18.15,0.11,234.62933999999998,-15.270579999999999,56337.50437,0.0
1004381,1015081055423.0,18.01,0.11,234.6292,-15.270589999999999,56337.51125,0.0
1004381,1015081055423.0,18.05,0.13,234.62929,-15.270560000000001,56430.29345,0.0
1004381,1015081055423.0,18.06,0.13,234.62937999999997,-15.270620000000001,56430.29902000001,0.0
1004381,1015081055423.0,17.89,0.12,234.62925,-15.270620000000001,56430.304679999994,0.0
1004381,1015081055423.0,18.23,0.14,234.62915,-15.270660000000001,56430.3104,0.0
1004381,1015081055423.0,18.06,0.11,234.62923999999998,-15.270560000000001,56443.23785,0.0
1004381,1015081055423.0,18.17,0.12,234.62925,-15.27064,56443.24736,0.0
1004381,1015081055423.0,18.13,0.12,234.62925,-15.270489999999999,56443.25698,0.0
1004381,1015081055423.0,18.1,0.11,234.62922000000003,-15.27067,56443.266579999996,0.0
1004381,1015081055455.0,19.34,0.22,234.62697999999997,-15.26278,54259.278029999994,0.0
1004381,1015081055455.0,20.37,0.36,234.62763999999999,-15.262870000000001,54502.52701000001,0.0
1004381,1015081055455.0,19.78,0.26,234.62702000000002,-15.263370000000002,54539.44859,0.0
1004381,1015081055455.0,20.25,0.34,234.62628999999998,-15.263179999999998,54539.45572000001,0.0
1004381,1015081055455.0,20.87,0.52,234.62614,-15.26251,55715.282029999995,0.0
1004381,1015081055455.0,20.86,0.52,234.6265,-15.262820000000001,55734.19203,0.0
1004381,1015081055455.0,20.48,0.4,234.62615,-15.2634,55622.46195,0.0
1004381,1015081055455.0,20.84,0.49,234.62689,-15.26305,55622.47068,0.0
1004381,1015081055455.0,19.97,0.3,234.6267,-15.262620000000002,55984.51297,0.0
1004381,1015081055455.0,20.57,0.42,234.62703,-15.26325,56010.4919,0.0
1004381,1015081055515.0,18.34,0.15,234.65115,-15.2672,53563.2376,0.0
1004381,1015081055515.0,18.74,0.18,234.65117,-15.266689999999999,53563.2441,0.0
1004381,1015081055515.0,18.72,0.18,234.65101,-15.26695,53563.250589999996,0.0
1004381,1015081055515.0,18.55,0.16,234.6509,-15.26692,53563.2571,0.0
1004381,1015081055515.0,18.52,0.15,234.6507,-15.266960000000001,53524.29358,0.0
1004381,1015081055515.0,18.64,0.15,234.65089,-15.26689,53524.30125,0.0
1004381,1015081055515.0,18.85,0.17,234.65077999999997,-15.26699,53524.30891,0.0
