InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004461,1138069004902,16.62,0.07,238.61787,36.86699,53562.22146,0
1004461,1138069004902,16.65,0.08,238.61789,36.867020000000004,53562.228,0
1004461,1138069004902,16.69,0.08,238.61786,36.86695,53562.23452,0
1004461,1138069004902,16.65,0.08,238.61792999999997,36.867,53562.24105,0
1004461,1138069004902,16.68,0.08,238.61784,36.86699,53526.305589999996,0
1004461,1138069004902,16.65,0.08,238.61792000000003,36.867020000000004,53526.316230000004,0
1004461,1138069004902,16.62,0.08,238.61791000000002,36.867020000000004,53526.32658,0
1004461,1138069004902,16.66,0.08,238.61789,36.867020000000004,53526.33685,0
1004461,1138069004902,16.65,0.08,238.61791000000002,36.867,53534.27704,0
1004461,1138069004902,16.66,0.08,238.61791000000002,36.86698,53534.2868,0
1004461,1138069004902,16.65,0.08,238.61787999999999,36.86698,53534.29657,0
1004461,1138069004902,16.7,0.08,238.61784,36.86699,53534.30638,0
1004461,1138069004902,16.68,0.08,238.6179,36.867,53549.225289999995,0
1004461,1138069004902,16.65,0.08,238.6179,36.86695,53549.23313,0
1004461,1138069004902,16.7,0.08,238.61787999999999,36.86699,53549.24097,0
1004461,1138069004902,16.64,0.08,238.61795,36.86696,53549.2488,0
1004461,1138069004902,16.65,0.08,238.6179,36.867020000000004,53848.3251,0
1004461,1138069004902,16.68,0.08,238.61787,36.86703,53848.332239999996,0
1004461,1138069004902,16.68,0.08,238.61791000000002,36.86698,53848.3395,0
1004461,1138069004902,16.64,0.08,238.61792000000003,36.86698,53848.34677999999,0
1004461,1138069004902,16.71,0.08,238.61787,36.867,53854.4645,0
1004461,1138069004902,16.62,0.08,238.61796,36.86698,53854.4705,0
1004461,1138069004902,16.66,0.08,238.61792000000003,36.86692,53854.47646000001,0
1004461,1138069004902,16.7,0.08,238.61784,36.86696,53854.48245,0
1004461,1138069004902,16.67,0.08,238.61787,36.867020000000004,53855.30601,0
1004461,1138069004902,16.66,0.08,238.61791000000002,36.86698,53855.31374,0
1004461,1138069004902,16.68,0.08,238.61785,36.86698,53855.32161,0
1004461,1138069004902,16.63,0.08,238.61787,36.86694,53855.32987,0
1004461,1138069004902,16.48,0.16,238.61773,36.8669,53900.28155,0
1004461,1138069004902,16.63,0.16,238.61778999999999,36.8671,53900.28253,0
1004461,1138069004902,16.67,0.17,238.61784,36.86696,53900.28351,0
1004461,1138069004902,16.55,0.16,238.61782000000002,36.86681,53900.28449,0
1004461,1138069004902,16.67,0.08,238.6179,36.867,53796.44019,0
1004461,1138069004902,16.62,0.08,238.61791000000002,36.86699,53796.44767,0
1004461,1138069004902,16.65,0.08,238.61789,36.867,53796.45516000001,0
1004461,1138069004902,16.69,0.08,238.61794,36.86697,53796.46266000001,0
1004461,1138069004902,16.64,0.08,238.61778999999999,36.86698,53862.34675,0
1004461,1138069004902,16.67,0.08,238.61786,36.86696,53862.35593,0
1004461,1138069004902,16.7,0.08,238.61782999999997,36.86704,53862.364689999995,0
