InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004901,1140075033388.0,17.77,0.11,272.53182000000004,40.40513,53552.38502,0.0
1004901,1140075033388.0,17.65,0.1,272.5319,40.40493,53552.3916,0.0
1004901,1140075033388.0,17.61,0.1,272.53272000000004,40.40677,53552.3916,1.0
1004901,1140075033388.0,17.62,0.1,272.53166,40.40498,53552.398160000004,0.0
1004901,1140075033388.0,17.55,0.1,272.53303,40.40672,53552.398160000004,1.0
1004901,1140075033388.0,17.77,0.11,272.53176,40.40507,53552.40475,0.0
1004901,1140075033388.0,16.82,0.08,272.53161,40.40558,53561.272619999996,0.0
1004901,1140075033388.0,16.87,0.08,272.53157999999996,40.40566,53561.28022,0.0
1004901,1140075033388.0,17.9,0.11,272.53142,40.40437,53561.28726000001,0.0
1004901,1140075033388.0,17.87,0.11,272.53264,40.40655,53561.28726000001,1.0
1004901,1140075033388.0,17.44,0.09,272.53134,40.40444,53561.2941,0.0
1004901,1140075033388.0,17.89,0.11,272.53256,40.40659,53561.2941,1.0
1004901,1140075033388.0,17.54,0.1,272.53115,40.40441,53526.395619999996,0.0
1004901,1140075033388.0,17.76,0.1,272.53236,40.40657,53526.395619999996,1.0
1004901,1140075033388.0,17.66,0.1,272.53131,40.4045,53526.40535,0.0
1004901,1140075033388.0,17.5,0.09,272.53185,40.4051,53526.415089999995,0.0
1004901,1140075033388.0,16.91,0.08,272.53213999999997,40.406420000000004,53526.424889999995,0.0
1004901,1140075033388.0,17.63,0.1,272.53131,40.40465,53534.38226000001,0.0
1004901,1140075033388.0,17.53,0.1,272.53216000000003,40.40652,53534.38226000001,1.0
1004901,1140075033388.0,17.73,0.1,272.53162000000003,40.40447,53534.38945,0.0
1004901,1140075033388.0,17.5,0.09,272.53245,40.40633,53534.38945,1.0
1004901,1140075033388.0,17.73,0.1,272.53081000000003,40.404270000000004,53534.39655,0.0
1004901,1140075033388.0,17.57,0.1,272.53163,40.40614,53534.39655,1.0
1004901,1140075033388.0,17.68,0.1,272.53187,40.40511,53534.4037,0.0
1004901,1140075033388.0,17.78,0.11,272.532,40.40499000000001,53677.08698,0.0
1004901,1140075033388.0,17.44,0.09,272.53161,40.40511,53677.09237,0.0
1004901,1140075033388.0,17.55,0.1,272.53208,40.40518,53677.097760000004,0.0
1004901,1140075033388.0,17.7,0.1,272.53193999999996,40.405409999999996,53677.10317,0.0
1004901,1140075033388.0,17.69,0.1,272.53177999999997,40.40499000000001,53669.09889,0.0
1004901,1140075033388.0,16.83,0.08,272.53204,40.40612,53669.10317,0.0
1004901,1140075033388.0,16.83,0.08,272.53191,40.40616,53669.111730000004,0.0
1004901,1140075033388.0,17.98,0.12,272.53143,40.40434000000001,53848.25452,0.0
1004901,1140075033388.0,17.21,0.09,272.5324,40.40641,53848.25452,1.0
1004901,1140075033388.0,17.84,0.11,272.53144,40.40444,53848.258910000004,0.0
1004901,1140075033388.0,17.6,0.1,272.53241,40.40649000000001,53848.258910000004,1.0
1004901,1140075033388.0,16.85,0.08,272.53166,40.40567,53848.263329999994,0.0
1004901,1140075033388.0,16.87,0.08,272.53163,40.405770000000004,53848.26771,0.0
1004901,1140075033388.0,17.86,0.11,272.53146,40.40441,53855.44025,0.0
1004901,1140075033388.0,17.73,0.1,272.53243,40.40649000000001,53855.44025,1.0
1004901,1140075033388.0,17.81,0.11,272.53155,40.4046,53855.4476,0.0
1004901,1140075033388.0,17.86,0.11,272.53266,40.40656,53855.4476,1.0
1004901,1140075033388.0,17.58,0.1,272.5317,40.40461,53855.45477999999,0.0
1004901,1140075033388.0,17.68,0.1,272.53252000000003,40.40657,53855.45477999999,1.0
1004901,1140075033388.0,17.75,0.11,272.53136,40.40447,53855.46165,0.0
1004901,1140075033388.0,17.77,0.11,272.5326,40.40659,53855.46165,1.0
1004901,1140075033388.0,18.35,0.37,272.53072000000003,40.40428,53901.46021000001,0.0
1004901,1140075033388.0,17.41,0.22,272.53247999999996,40.40649000000001,53901.46021000001,1.0
1004901,1140075033388.0,18.36,0.37,272.53134,40.40445,53901.46129,0.0
1004901,1140075033388.0,17.79,0.27,272.53186,40.40656,53901.46129,1.0
1004901,1140075033388.0,16.78,0.17,272.53202999999996,40.40562,53901.462289999996,0.0
1004901,1140075033388.0,17.72,0.26,272.53157999999996,40.404109999999996,53901.46327000001,0.0
1004901,1140075033388.0,17.72,0.26,272.53254,40.40619,53901.46327000001,1.0
1004901,1140075033388.0,17.7,0.1,272.53167,40.40449,53796.50329,0.0
1004901,1140075033388.0,17.59,0.1,272.53265,40.40657,53796.50329,1.0
1004901,1140075033388.0,16.87,0.08,272.53148999999996,40.40571,53796.510579999995,0.0
1004901,1140075033388.0,17.57,0.1,272.53134,40.40463,53796.51791,0.0
1004901,1140075033388.0,17.8,0.11,272.53246,40.40661,53796.51791,1.0
1004901,1140075033388.0,16.88,0.08,272.53157000000004,40.40562,53796.52522,0.0
1004901,1140075033388.0,17.66,0.1,272.53151,40.40466,53884.39777,0.0
1004901,1140075033388.0,17.64,0.1,272.53234,40.40652,53884.39777,1.0
1004901,1140075033388.0,16.86,0.08,272.53153,40.40571,53884.40381,0.0
1004901,1140075033388.0,17.52,0.1,272.53119,40.4045,53884.4098,0.0
1004901,1140075033388.0,17.7,0.1,272.53229,40.40647,53884.4098,1.0
1004901,1140075033388.0,17.8,0.11,272.53127,40.40463,53884.41579,0.0
1004901,1140075033388.0,17.45,0.1,272.53211,40.40649000000001,53884.41579,1.0
1004901,1140075033388.0,16.83,0.12,272.532,40.405609999999996,54062.064889999994,0.0
1004901,1140075033388.0,17.99,0.15,272.5315,40.404509999999995,54062.07694,0.0
1004901,1140075033388.0,17.37,0.11,272.5326,40.406659999999995,54062.07694,1.0
1004901,1140075033388.0,17.47,0.09,272.53116,40.40457,53994.17055,0.0
1004901,1140075033388.0,17.77,0.1,272.53238,40.406729999999996,53994.17055,1.0
1004901,1140075033388.0,17.47,0.09,272.53116,40.4045,53994.17456,0.0
1004901,1140075033388.0,17.87,0.1,272.53253,40.40656,53994.17456,1.0
1004901,1140075033388.0,17.72,0.1,272.53146,40.40459,53994.17854,0.0
1004901,1140075033388.0,17.92,0.1,272.5327,40.40654,53994.17854,1.0
1004901,1140075033388.0,17.66,0.1,272.53119,40.40467,53994.18255,0.0
1004901,1140075033388.0,17.51,0.09,272.53257,40.40643,53994.18255,1.0
1004901,1140075033388.0,17.33,0.12,272.5316,40.404509999999995,54007.16084,0.0
1004901,1140075033388.0,17.79,0.14,272.53257,40.40659,54007.16084,1.0
1004901,1140075033388.0,17.62,0.13,272.53157000000004,40.404579999999996,54007.16228,0.0
1004901,1140075033388.0,17.34,0.12,272.53238,40.40644,54007.16228,1.0
1004901,1140075033388.0,17.65,0.13,272.5312,40.40434000000001,54007.16372999999,0.0
1004901,1140075033388.0,17.47,0.12,272.53217,40.406420000000004,54007.16372999999,1.0
1004901,1140075033388.0,17.59,0.13,272.53148999999996,40.40463,54007.16519,0.0
1004901,1140075033388.0,17.62,0.1,272.53159,40.40468,54208.44912000001,0.0
1004901,1140075033388.0,17.88,0.11,272.53254,40.40643,54208.44912000001,1.0
1004901,1140075033388.0,17.87,0.11,272.53112999999996,40.404579999999996,54208.45918,0.0
1004901,1140075033388.0,17.81,0.1,272.53253,40.40631,54208.45918,1.0
1004901,1140075033388.0,17.89,0.11,272.53139,40.404579999999996,54208.46868,0.0
1004901,1140075033388.0,17.68,0.1,272.53252000000003,40.40654,54208.46868,1.0
1004901,1140075033388.0,17.77,0.1,272.53125,40.40463,54208.478670000004,0.0
1004901,1140075033388.0,17.8,0.1,272.53262,40.40637,54208.478670000004,1.0
1004901,1140075033388.0,17.43,0.09,272.53145,40.40468,54157.494589999995,0.0
1004901,1140075033388.0,17.58,0.1,272.53152,40.4048,54157.504929999996,0.0
