InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1004961,1004112070865.0,18.77,0.16,312.5276,-3.8222,53706.06481,0.0
1004961,1004112070865.0,18.68,0.15,312.52774,-3.82228,53706.070170000006,0.0
1004961,1004112070865.0,19.22,0.2,312.52759,-3.82229,53706.07557000001,0.0
1004961,1004112070865.0,18.59,0.15,312.52772999999996,-3.8220199999999998,53706.08102000001,0.0
1004961,1004112070865.0,19.0,0.23,312.52729,-3.82197,53712.071729999996,0.0
1004961,1004112070865.0,18.63,0.18,312.5277,-3.82228,53712.076010000004,0.0
1004961,1004112070865.0,18.47,0.17,312.52766,-3.82226,53712.080239999996,0.0
1004961,1004112070865.0,19.12,0.23,312.52757,-3.8222300000000002,53712.08448,0.0
1004961,1004112070865.0,18.69,0.16,312.52782,-3.8222,53563.35562,0.0
1004961,1004112070865.0,18.86,0.17,312.52766,-3.82215,53563.36219,0.0
1004961,1004112070865.0,18.84,0.17,312.5275200000001,-3.82214,53563.36874,0.0
1004961,1004112070865.0,18.91,0.17,312.52767,-3.8222699999999996,53563.37525,0.0
1004961,1004112070865.0,18.86,0.16,312.5278,-3.82237,53524.4382,0.0
1004961,1004112070865.0,18.89,0.16,312.52783,-3.82229,53524.444789999994,0.0
1004961,1004112070865.0,18.71,0.15,312.52783999999997,-3.8223,53524.4514,0.0
1004961,1004112070865.0,18.7,0.15,312.5277,-3.8222699999999996,53524.45804,0.0
1004961,1004112070865.0,18.89,0.16,312.5278600000001,-3.8222,53530.4065,0.0
1004961,1004112070865.0,18.95,0.17,312.52779,-3.82219,53530.41081,0.0
1004961,1004112070865.0,18.75,0.15,312.52779,-3.82225,53530.41512,0.0
1004961,1004112070865.0,18.89,0.16,312.52766,-3.8222699999999996,53530.41941,0.0
1004961,1004112070865.0,19.02,0.18,312.5276,-3.8223300000000004,53551.343460000004,0.0
1004961,1004112070865.0,18.67,0.15,312.5278,-3.82226,53551.35047,0.0
1004961,1004112070865.0,18.96,0.18,312.5278600000001,-3.8222699999999996,53551.35751,0.0
1004961,1004112070865.0,18.8,0.16,312.5278600000001,-3.8222199999999997,53551.3645,0.0
1004961,1004112070865.0,18.62,0.15,312.5279700000001,-3.82219,53505.42111,0.0
1004961,1004112070865.0,18.79,0.16,312.52765,-3.82228,53505.42952,0.0
1004961,1004112070865.0,18.72,0.16,312.5279700000001,-3.8221199999999995,53505.43799,0.0
1004961,1004112070865.0,18.75,0.16,312.52772999999996,-3.8222699999999996,53505.44646,0.0
1004961,1004112070865.0,19.11,0.19,312.52763,-3.822,53686.12997,0.0
1004961,1004112070865.0,18.66,0.15,312.5277700000001,-3.8222,53686.1358,0.0
1004961,1004112070865.0,18.86,0.17,312.52761,-3.8222099999999997,53686.14161,0.0
1004961,1004112070865.0,18.99,0.18,312.52755,-3.8219800000000004,53686.14742,0.0
1004961,1004112070865.0,18.75,0.16,312.52808,-3.82237,53696.0557,0.0
1004961,1004112070865.0,19.06,0.18,312.52754,-3.8222,53696.060529999995,0.0
1004961,1004112070865.0,19.0,0.17,312.52775,-3.82206,53696.06536,0.0
1004961,1004112070865.0,18.79,0.16,312.52774,-3.82237,53696.07019,0.0
1004961,1004112070865.0,18.75,0.16,312.52782,-3.8222400000000003,53644.1665,0.0
1004961,1004112070865.0,19.04,0.19,312.52774,-3.82217,53644.171,0.0
1004961,1004112070865.0,19.02,0.18,312.52768,-3.8222400000000003,53644.17555,0.0
1004961,1004112070865.0,18.62,0.15,312.52763999999996,-3.82219,53644.18011,0.0
1004961,1004112070865.0,19.08,0.19,312.52792,-3.82251,53653.13291,0.0
1004961,1004112070865.0,18.41,0.14,312.5277700000001,-3.82199,53653.140380000004,0.0
1004961,1004112070865.0,18.97,0.18,312.52763999999996,-3.82186,53653.14791,0.0
1004961,1004112070865.0,19.3,0.21,312.52763999999996,-3.8221300000000014,53653.15543,0.0
1004961,1004112070865.0,18.99,0.17,312.52772999999996,-3.8222400000000003,53670.12327,0.0
1004961,1004112070865.0,19.01,0.18,312.52769,-3.82228,53670.12961,0.0
1004961,1004112070865.0,18.74,0.16,312.52766,-3.82219,53670.13596,0.0
1004961,1004112070865.0,18.71,0.15,312.52776,-3.82239,53670.14232,0.0
1004961,1004112070865.0,18.79,0.17,312.52779,-3.82217,53637.17558,0.0
1004961,1004112070865.0,18.85,0.17,312.5277700000001,-3.8220699999999996,53637.18307,0.0
1004961,1004112070865.0,18.92,0.18,312.52769,-3.82226,53637.19058,0.0
1004961,1004112070865.0,18.94,0.18,312.52767,-3.8222199999999997,53637.19809,0.0
1004961,1004112070865.0,18.79,0.16,312.52785,-3.82219,53850.46144,0.0
1004961,1004112070865.0,18.86,0.17,312.52762,-3.82231,53850.46525,0.0
1004961,1004112070865.0,18.8,0.17,312.52769,-3.8223,53850.469079999995,0.0
1004961,1004112070865.0,18.71,0.16,312.5277200000001,-3.8223199999999995,53850.4729,0.0
1004961,1004112070865.0,18.75,0.18,312.52769,-3.82235,53917.32232000001,0.0
1004961,1004112070865.0,19.12,0.21,312.52756,-3.82205,53917.32875,0.0
1004961,1004112070865.0,18.89,0.19,312.5277200000001,-3.8220699999999996,53917.335139999996,0.0
1004961,1004112070865.0,18.8,0.18,312.52759,-3.82231,53917.341539999994,0.0
1004961,1004112070865.0,18.83,0.17,312.52763999999996,-3.82215,53937.3025,0.0
1004961,1004112070865.0,18.88,0.18,312.52765,-3.82208,53937.30949,0.0
1004961,1004112070865.0,18.71,0.16,312.5278,-3.8223599999999998,53937.31646,0.0
1004961,1004112070865.0,18.86,0.18,312.52783,-3.8221800000000004,53937.32345,0.0
1004961,1004112070865.0,18.83,0.18,312.52772999999996,-3.8222300000000002,53887.349129999995,0.0
1004961,1004112070865.0,18.94,0.19,312.52763999999996,-3.8220699999999996,53887.35829,0.0
