InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005001,1009112013924.0,20.64,0.43,317.15375,-10.84677,53705.07057999999,0.0
1005001,1009112013924.0,20.21,0.34,317.1540700000001,-10.84707,53686.10696000001,0.0
1005001,1009112013924.0,20.06,0.29,317.15359,-10.84515,54028.13472,0.0
1005001,1009112013924.0,20.75,0.42,317.15358,-10.84698,54029.12406,0.0
1005001,1009112013924.0,20.03,0.29,317.15385,-10.84634,53992.1981,0.0
1005001,1009112013924.0,19.85,0.29,317.15348,-10.84699,54266.39642999999,0.0
1005001,1009112013924.0,20.73,0.47,317.15397,-10.8464,54240.44184,0.0
1005001,1009112013924.0,20.83,0.48,317.15364,-10.846860000000001,54353.18244,0.0
1005001,1009112013924.0,20.73,0.45,317.15413,-10.8466,54353.189529999996,0.0
1005001,1009112013924.0,20.65,0.44,317.15386,-10.846739999999999,54632.39495,0.0
1005001,1009112013924.0,20.63,0.49,317.15382,-10.846960000000001,54596.46335,0.0
1005001,1009112013924.0,20.5,0.33,317.15345,-10.84646,55059.31215,0.0
1005001,1009112013924.0,20.93,0.52,317.1536,-10.846919999999999,55039.29977000001,0.0
1005001,1009112013924.0,20.59,0.42,317.15384,-10.84649,55039.31664,0.0
1005001,1009112013924.0,20.78,0.47,317.1538,-10.846639999999999,54979.41644,0.0
1005001,1009112013924.0,20.89,0.48,317.15435,-10.84602,55352.43351,0.0
1005001,1009112013924.0,20.95,0.51,317.15476,-10.846910000000001,55367.37172,0.0
1005001,1009112013924.0,19.58,0.25,317.1537600000001,-10.846169999999999,55333.4125,0.0
1005001,1009112013924.0,19.79,0.27,317.15364,-10.84676,55333.4176,0.0
1005001,1009112013924.0,19.48,0.29,317.153,-10.84677,55517.06951,0.0
1005001,1009112013924.0,20.75,0.44,317.1541,-10.845999999999998,55454.225479999994,0.0
1005001,1009112013924.0,18.71,0.18,317.15372,-10.84676,55681.474910000004,0.0
1005001,1009112013924.0,20.5,0.43,317.15402,-10.84656,55745.321710000004,0.0
1005001,1009112013924.0,20.16,0.36,317.15402,-10.84631,55745.32804,0.0
1005001,1009112013924.0,20.15,0.35,317.15418999999997,-10.8462,55745.3408,0.0
1005001,1009112013924.0,19.98,0.3,317.15335,-10.84608,55733.4292,0.0
1005001,1009112013924.0,20.37,0.37,317.15375,-10.84601,56067.42967000001,0.0
1005001,1009112013924.0,20.58,0.35,317.15355,-10.846680000000001,56126.30572999999,0.0
1005001,1009112013924.0,20.98,0.44,317.1540700000001,-10.84437,56126.30572999999,1.0
1005001,1009112013924.0,20.41,0.32,317.15416,-10.84645,56126.32207,0.0
1005001,1009112013924.0,20.26,0.35,317.15345,-10.84625,56164.20867000001,0.0
1005001,1009112013924.0,19.93,0.29,317.15371,-10.84671,56164.214629999995,0.0
1005001,1009112013924.0,20.22,0.29,317.15366,-10.846680000000001,56185.178329999995,0.0
1005001,1009112013924.0,20.81,0.4,317.15365,-10.84657,56185.18455,0.0
1005001,1009112013924.0,20.04,0.33,317.1539,-10.84677,56422.44003,0.0
1005001,1009112013924.0,19.35,0.23,317.1545,-10.8471,56422.45382,0.0
1005001,1009112013924.0,19.5,0.24,317.15449,-10.84711,56444.42132,0.0
1005001,1009112013924.0,20.22,0.35,317.15342999999996,-10.84673,56444.4383,0.0
1005001,1009112013924.0,19.69,0.27,317.15344,-10.84677,56453.385539999996,0.0
1005001,1009112013924.0,19.92,0.31,317.1538700000001,-10.846160000000001,56453.39057999999,0.0
1005001,1009112013924.0,20.24,0.36,317.1543,-10.84665,56461.36766,0.0
1005001,1009112013924.0,20.01,0.31,317.1539,-10.84656,56461.372820000004,0.0
1005001,1009112013924.0,20.86,0.48,317.15411,-10.84727,56563.22203,0.0
1005001,1009112013924.0,20.39,0.37,317.15382,-10.846680000000001,56563.23439,0.0
1005001,1009112013934.0,20.35,0.34,317.14394,-10.844610000000001,54028.143410000004,0.0
1005001,1009112013934.0,20.05,0.29,317.14468,-10.84459,54029.12406,0.0
1005001,1009112013934.0,20.71,0.47,317.14332,-10.84445,54240.42441,0.0
1005001,1009112013934.0,20.15,0.31,317.1445700000001,-10.84408,54716.24605,0.0
1005001,1009112013934.0,20.61,0.35,317.14397,-10.843810000000001,55059.319410000004,0.0
1005001,1009112013934.0,20.69,0.43,317.1442600000001,-10.84498,54997.38556,0.0
1005001,1009112013934.0,20.48,0.38,317.1447,-10.84422,55141.08923,0.0
1005001,1009112013934.0,20.16,0.34,317.14415,-10.84416,55333.40725,0.0
1005001,1009112013934.0,20.59,0.49,317.14455,-10.84426,55695.44017,0.0
1005001,1009112013934.0,19.97,0.31,317.14423999999997,-10.84445,55708.41331,0.0
1005001,1009112013934.0,21.07,0.46,317.1442,-10.84495,56185.178329999995,0.0
1005001,1009112013934.0,20.17,0.28,317.14421,-10.84455,56185.19077000001,0.0
1005001,1009112013934.0,20.41,0.4,317.14497,-10.84538,56422.44923,0.0
1005001,1009112013934.0,20.76,0.49,317.14326,-10.84482,56453.39565,0.0
1005001,1009112014268.0,18.73,0.16,317.17283,-10.83729,53705.06625,0.0
1005001,1009112014268.0,18.66,0.16,317.17317,-10.836910000000001,53705.07057999999,0.0
1005001,1009112014268.0,18.89,0.17,317.17282,-10.83722,53705.07492000001,0.0
1005001,1009112014268.0,19.79,0.27,317.17307,-10.83721,53705.07925,0.0
1005001,1009112014268.0,19.51,0.29,317.17306,-10.83723,53712.05741,0.0
1005001,1009112014268.0,19.62,0.31,317.1735700000001,-10.837539999999999,53712.067579999995,0.0
1005001,1009112014268.0,18.94,0.18,317.17318,-10.83714,53553.32154,0.0
1005001,1009112014268.0,18.82,0.17,317.1729,-10.83745,53553.32862,0.0
1005001,1009112014268.0,19.03,0.19,317.17287999999996,-10.83732,53553.335680000004,0.0
1005001,1009112014268.0,19.06,0.19,317.17274,-10.83725,53553.34275,0.0
1005001,1009112014268.0,18.92,0.18,317.17331,-10.83727,53562.30171,0.0
1005001,1009112014268.0,19.23,0.2,317.17273,-10.83741,53562.3098,0.0
1005001,1009112014268.0,18.96,0.18,317.173,-10.83729,53562.31787,0.0
1005001,1009112014268.0,18.96,0.18,317.17274,-10.83742,53562.32604,0.0
1005001,1009112014268.0,18.9,0.18,317.17255,-10.83694,53563.35188,0.0
1005001,1009112014268.0,18.98,0.19,317.1729200000001,-10.83737,53563.358439999996,0.0
1005001,1009112014268.0,18.91,0.18,317.1729200000001,-10.8373,53563.36497,0.0
1005001,1009112014268.0,19.12,0.2,317.17298,-10.83733,53563.3715,0.0
1005001,1009112014268.0,19.13,0.2,317.17282,-10.83717,53525.39887,0.0
1005001,1009112014268.0,18.94,0.18,317.17278,-10.83741,53525.407739999995,0.0
1005001,1009112014268.0,18.9,0.18,317.17295,-10.83705,53525.41654,0.0
1005001,1009112014268.0,19.19,0.2,317.17294,-10.83719,53525.42541,0.0
1005001,1009112014268.0,18.89,0.17,317.17297,-10.837530000000001,53532.38562,0.0
1005001,1009112014268.0,18.88,0.17,317.17317,-10.83717,53532.39383,0.0
1005001,1009112014268.0,18.93,0.18,317.1729200000001,-10.83734,53532.40207,0.0
1005001,1009112014268.0,18.64,0.15,317.17312999999996,-10.83747,53532.410260000004,0.0
1005001,1009112014268.0,18.93,0.17,317.17284,-10.83717,53675.12719,0.0
1005001,1009112014268.0,18.96,0.18,317.17331,-10.83736,53675.1326,0.0
1005001,1009112014268.0,18.9,0.17,317.17286,-10.8374,53675.13803,0.0
1005001,1009112014268.0,18.71,0.16,317.17293,-10.83723,53675.14346,0.0
1005001,1009112014268.0,19.25,0.2,317.1731200000001,-10.83734,53686.10696000001,0.0
1005001,1009112014268.0,18.72,0.16,317.17283,-10.83716,53686.1198,0.0
1005001,1009112014268.0,18.82,0.17,317.17287999999996,-10.83715,53695.06306,0.0
1005001,1009112014268.0,19.46,0.23,317.17282,-10.83714,53695.06834,0.0
1005001,1009112014268.0,19.37,0.22,317.17289,-10.83722,53695.07362999999,0.0
1005001,1009112014268.0,18.61,0.15,317.17267999999996,-10.83735,53695.07892000001,0.0
1005001,1009112014268.0,18.83,0.18,317.17291,-10.83735,53646.17545,0.0
1005001,1009112014268.0,18.99,0.19,317.17307999999997,-10.83713,53646.183,0.0
1005001,1009112014268.0,19.58,0.26,317.17287999999996,-10.83735,53646.19053,0.0
1005001,1009112014268.0,19.31,0.22,317.17303,-10.837489999999999,53646.19809,0.0
1005001,1009112014268.0,19.16,0.22,317.17283,-10.83773,53637.154239999996,0.0
1005001,1009112014268.0,18.71,0.19,317.17316,-10.83699,53637.16067,0.0
1005001,1009112014268.0,18.77,0.15,317.17306,-10.83709,53976.19814,0.0
1005001,1009112014268.0,18.89,0.16,317.17282,-10.83728,53976.20296,0.0
1005001,1009112014268.0,18.83,0.16,317.17272,-10.83728,53976.20781,0.0
