InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005041,1104115036547.0,19.52,0.23,321.5549,3.9150099999999997,53479.47432,0.0
1005041,1104115036547.0,19.39,0.21,321.5548,3.9147300000000014,53479.47875,0.0
1005041,1104115036547.0,19.91,0.28,321.55486,3.9148300000000003,53479.48315,0.0
1005041,1104115036547.0,19.29,0.2,321.55506,3.91485,53706.08787999999,0.0
1005041,1104115036547.0,19.48,0.22,321.55496,3.91495,53706.09372999999,0.0
1005041,1104115036547.0,19.26,0.2,321.55507,3.91519,53706.0996,0.0
1005041,1104115036547.0,19.46,0.22,321.55498,3.91499,53706.10566,0.0
1005041,1104115036547.0,19.42,0.22,321.55523,3.91509,53559.32077,0.0
1005041,1104115036547.0,19.63,0.24,321.55496,3.91499,53559.32717,0.0
1005041,1104115036547.0,19.55,0.23,321.55484,3.9150400000000003,53559.33363,0.0
1005041,1104115036547.0,19.25,0.2,321.55501,3.91517,53559.34009,0.0
1005041,1104115036547.0,19.7,0.25,321.55487,3.91509,53562.34125,0.0
1005041,1104115036547.0,20.47,0.38,321.55478999999997,3.9148099999999997,53562.34935,0.0
1005041,1104115036547.0,19.17,0.19,321.55499,3.91494,53562.35744,0.0
1005041,1104115036547.0,19.66,0.24,321.55497,3.9151300000000004,53562.36557,0.0
1005041,1104115036547.0,19.15,0.2,321.5551700000001,3.91489,53567.32700000001,0.0
1005041,1104115036547.0,20.12,0.32,321.55506,3.91491,53567.33356,0.0
1005041,1104115036547.0,19.43,0.22,321.55495,3.9151599999999998,53567.34012,0.0
1005041,1104115036547.0,19.88,0.28,321.55478,3.9149199999999995,53567.34667,0.0
1005041,1104115036547.0,19.62,0.24,321.55485,3.91474,53551.37659,0.0
1005041,1104115036547.0,19.55,0.23,321.55496,3.91497,53551.38416,0.0
1005041,1104115036547.0,19.75,0.25,321.55501,3.91479,53551.39174,0.0
1005041,1104115036547.0,19.22,0.19,321.55511,3.91499,53551.39928,0.0
1005041,1104115036547.0,19.78,0.26,321.55537999999996,3.91499,53494.44171,0.0
1005041,1104115036547.0,20.03,0.3,321.55506,3.9146099999999997,53494.44605,0.0
1005041,1104115036547.0,19.68,0.25,321.55527,3.9150199999999997,53494.45033,0.0
1005041,1104115036547.0,19.68,0.25,321.55527,3.9146,53494.45466,0.0
1005041,1104115036547.0,19.64,0.23,321.55491,3.91497,53675.09923,0.0
1005041,1104115036547.0,19.35,0.2,321.5549200000001,3.9151599999999998,53675.10574,0.0
1005041,1104115036547.0,19.44,0.21,321.55483,3.91497,53675.11217,0.0
1005041,1104115036547.0,19.44,0.21,321.55502,3.9151199999999995,53675.11889,0.0
1005041,1104115036547.0,19.72,0.25,321.5547200000001,3.91514,53686.15679,0.0
1005041,1104115036547.0,19.93,0.28,321.55476,3.9146699999999996,53686.16322,0.0
1005041,1104115036547.0,19.97,0.28,321.55484,3.91479,53686.16966,0.0
1005041,1104115036547.0,19.71,0.24,321.55478999999997,3.9148099999999997,53696.07822,0.0
1005041,1104115036547.0,19.53,0.22,321.55509,3.9150699999999996,53696.08464,0.0
1005041,1104115036547.0,19.56,0.23,321.55491,3.9150199999999997,53696.09105,0.0
1005041,1104115036547.0,19.93,0.27,321.55482,3.91475,53696.09748,0.0
1005041,1104115036547.0,19.57,0.24,321.5549,3.9148699999999996,53646.14652,0.0
1005041,1104115036547.0,19.45,0.23,321.55508,3.9149599999999998,53646.152989999995,0.0
1005041,1104115036547.0,19.89,0.29,321.55518,3.91477,53646.15999,0.0
1005041,1104115036547.0,19.69,0.26,321.55492999999996,3.91489,53646.16646,0.0
1005041,1104115036547.0,19.68,0.26,321.555,3.91515,53652.20125,0.0
1005041,1104115036547.0,19.88,0.29,321.55501,3.9152199999999997,53652.207689999996,0.0
1005041,1104115036547.0,19.24,0.2,321.55506,3.91506,53652.21412,0.0
1005041,1104115036547.0,19.39,0.22,321.55496,3.9149599999999998,53652.22055,0.0
1005041,1104115036547.0,20.06,0.29,321.55492999999996,3.9150699999999996,53669.17185,0.0
1005041,1104115036547.0,19.69,0.24,321.55506,3.9150699999999996,53669.17937,0.0
1005041,1104115036547.0,19.23,0.19,321.55503999999996,3.9151,53669.18685,0.0
1005041,1104115036547.0,20.09,0.3,321.55492999999996,3.9148400000000003,53669.19433,0.0
1005041,1104115036547.0,19.67,0.25,321.55478,3.9148,53639.15611,0.0
1005041,1104115036547.0,19.71,0.25,321.5551,3.9151,53639.1637,0.0
1005041,1104115036547.0,19.36,0.21,321.55491,3.9149300000000014,53639.17133000001,0.0
1005041,1104115036547.0,19.62,0.24,321.55494,3.91485,53639.179019999996,0.0
1005041,1104115036547.0,19.22,0.22,321.55478,3.91489,53848.47463,0.0
1005041,1104115036547.0,19.72,0.29,321.55522,3.9151,53848.48139,0.0
1005041,1104115036547.0,19.58,0.27,321.5551,3.9150400000000003,53848.48821,0.0
1005041,1104115036547.0,20.33,0.33,321.55496,3.91466,54080.09302000001,0.0
1005041,1104115036547.0,19.52,0.21,321.55494,3.91488,54080.098439999994,0.0
1005041,1104115036547.0,19.51,0.22,321.5551,3.91475,54080.10386,0.0
1005041,1104115036547.0,19.54,0.22,321.55494,3.91471,54080.10932999999,0.0
1005041,1104115036547.0,19.98,0.32,321.55523999999997,3.91517,53917.367029999994,0.0
1005041,1104115036547.0,19.64,0.27,321.55496,3.91488,53917.37447,0.0
