InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005101,1009116059664.0,19.75,0.25,327.37281,-8.98353,53688.09326,0.0
1005101,1009116059664.0,20.87,0.49,327.37298,-8.98382,53881.43292000001,0.0
1005101,1009116059664.0,20.63,0.41,327.37196,-8.98368,55527.139110000004,0.0
1005101,1009116059664.0,20.13,0.31,327.37212,-8.98413,56189.259920000004,0.0
1005101,1009116059741.0,20.91,0.49,327.37814,-8.98192,53525.43735,0.0
1005101,1009116059741.0,20.4,0.37,327.37869,-8.98219,53525.44593,0.0
1005101,1009116059741.0,19.47,0.22,327.37872999999996,-8.98209,53699.095839999994,0.0
1005101,1009116059741.0,20.76,0.46,327.37825,-8.98178,53644.16869,0.0
1005101,1009116059741.0,20.77,0.49,327.37818,-8.98209,53889.42999,0.0
1005101,1009116059741.0,20.17,0.33,327.37852999999996,-8.98183,53881.45014,0.0
1005101,1009116059741.0,19.51,0.21,327.37829,-8.981810000000003,54023.21002000001,0.0
1005101,1009116059741.0,20.49,0.35,327.37849,-8.98185,54029.108770000006,0.0
1005101,1009116059741.0,20.73,0.4,327.3781600000001,-8.98168,54029.13807000001,0.0
1005101,1009116059741.0,20.98,0.47,327.37843,-8.98166,53992.22387,0.0
1005101,1009116059741.0,20.51,0.36,327.37892999999997,-8.98156,54377.177939999994,0.0
1005101,1009116059741.0,20.85,0.46,327.37885,-8.98134,54740.19557999999,0.0
1005101,1009116059741.0,20.53,0.36,327.37906,-8.981819999999997,54768.13464,0.0
1005101,1009116059741.0,20.23,0.31,327.37904,-8.981580000000003,54716.29165,0.0
1005101,1009116059741.0,20.34,0.34,327.3787700000001,-8.98223,55146.131729999994,0.0
1005101,1009116059741.0,20.9,0.47,327.37885,-8.98138,55510.07721,0.0
1005101,1009116059741.0,20.91,0.47,327.37852999999996,-8.981630000000003,55480.21437,0.0
1005101,1009116059741.0,19.88,0.26,327.3791,-8.98093,55451.18176,0.0
1005101,1009116059741.0,20.3,0.33,327.37892,-8.98173,55451.199089999995,0.0
1005101,1009116059741.0,20.4,0.38,327.37838999999997,-8.98085,55716.43287999999,0.0
1005101,1009116059741.0,20.41,0.37,327.37799,-8.98162,55720.3937,0.0
1005101,1009116059741.0,19.65,0.26,327.37719,-8.98236,55735.3846,0.0
1005101,1009116059741.0,20.23,0.35,327.37866,-8.981760000000003,53905.39682,0.0
1005101,1009116059741.0,20.57,0.32,327.37875,-8.98174,55824.28736,0.0
1005101,1009116059741.0,19.44,0.21,327.3787700000001,-8.98125,55831.16815,0.0
1005101,1009116059741.0,18.78,0.15,327.37765,-8.98128,55888.10497000001,0.0
1005101,1009116059741.0,20.43,0.3,327.37856,-8.98148,56096.38347000001,0.0
1005101,1009116059741.0,19.8,0.22,327.37822,-8.981580000000003,56096.40396,0.0
1005101,1009116059741.0,20.2,0.32,327.37872999999996,-8.982280000000003,56126.39485,0.0
1005101,1009116059741.0,19.35,0.21,327.37869,-8.98147,56126.40157,0.0
1005101,1009116059741.0,20.67,0.41,327.37876,-8.98179,56126.40827000001,0.0
1005101,1009116059741.0,20.87,0.47,327.37838,-8.981589999999997,56126.41504,0.0
1005101,1009116059741.0,19.45,0.18,327.37865,-8.98161,56243.09519,0.0
1005101,1009116059741.0,20.99,0.42,327.37851,-8.98133,56268.07165,0.0
1005101,1009116059741.0,19.44,0.23,327.37708,-8.981860000000003,56454.42312000001,0.0
1005101,1009116059741.0,19.77,0.27,327.37838999999997,-8.98172,56461.385989999995,0.0
1005101,1009116059741.0,20.22,0.34,327.37878,-8.98183,56461.39167000001,0.0
1005101,1009116059741.0,20.96,0.51,327.37904,-8.9816,56461.40301,0.0
1005101,1009116059741.0,20.76,0.47,327.37867,-8.981630000000003,56537.26606,0.0
1005101,1009116059741.0,19.12,0.18,327.37888,-8.98156,56560.201629999996,0.0
1005101,1009116059741.0,20.99,0.49,327.3789700000001,-8.9841,56560.22712,0.0
1005101,1009116059792.0,18.96,0.17,327.35517999999996,-8.98348,53705.1006,0.0
1005101,1009116059792.0,18.98,0.18,327.35511,-8.983410000000003,53705.104960000004,0.0
1005101,1009116059792.0,19.3,0.2,327.35541,-8.98355,53705.10928,0.0
1005101,1009116059792.0,19.02,0.18,327.35535,-8.98359,53705.11362999999,0.0
1005101,1009116059792.0,19.09,0.19,327.35527,-8.9834,53562.30386,0.0
1005101,1009116059792.0,19.54,0.23,327.35524,-8.9835,53562.31193,0.0
