InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005201,1004120024921.0,20.12,0.32,335.54365,-4.52135,53706.11227000001,0.0
1005201,1004120024921.0,19.93,0.3,335.5437100000001,-4.52133,53562.38165,0.0
1005201,1004120024921.0,19.72,0.27,335.54379,-4.52108,53563.407960000004,0.0
1005201,1004120024921.0,19.91,0.3,335.54373,-4.52144,53563.41446,0.0
1005201,1004120024921.0,20.16,0.34,335.54372,-4.5216400000000005,53563.42098,0.0
1005201,1004120024921.0,19.75,0.27,335.54381,-4.52124,53563.42745,0.0
1005201,1004120024921.0,19.65,0.25,335.54412,-4.52137,53527.4063,0.0
1005201,1004120024921.0,20.94,0.5,335.54398,-4.52145,53527.42391000001,0.0
1005201,1004120024921.0,19.48,0.23,335.54355,-4.52135,53551.40895,0.0
1005201,1004120024921.0,19.49,0.23,335.5437,-4.52133,53551.4165,0.0
1005201,1004120024921.0,20.76,0.46,335.54377999999997,-4.521319999999999,53551.43159,0.0
1005201,1004120024921.0,20.72,0.46,335.54399,-4.52155,53507.44807,0.0
1005201,1004120024921.0,19.46,0.24,335.5438200000001,-4.52146,53507.45403,0.0
1005201,1004120024921.0,19.34,0.23,335.54355,-4.52115,53507.46,0.0
1005201,1004120024921.0,19.85,0.28,335.54388,-4.52117,53699.12536000001,0.0
1005201,1004120024921.0,20.34,0.36,335.54366,-4.52121,53699.14241,0.0
1005201,1004120024921.0,19.62,0.25,335.54311,-4.52107,53644.18543,0.0
1005201,1004120024921.0,19.87,0.29,335.54375,-4.5213,53644.20011000001,0.0
1005201,1004120024921.0,20.35,0.37,335.54406,-4.52125,53669.23277,0.0
1005201,1004120024921.0,20.29,0.36,335.54381,-4.5213,53669.24082,0.0
1005201,1004120024921.0,20.46,0.44,335.54377999999997,-4.52152,53618.30216,0.0
1005201,1004120024921.0,19.6,0.25,335.54368,-4.52117,53636.20437,0.0
1005201,1004120024921.0,19.96,0.31,335.54375,-4.52142,53636.21193,0.0
1005201,1004120024921.0,19.74,0.27,335.54412,-4.52135,53636.22718,0.0
1005201,1004120024921.0,19.13,0.18,335.54344,-4.52128,53975.26785,0.0
1005201,1004120024921.0,18.96,0.17,335.54368999999997,-4.521669999999999,53975.27424,0.0
1005201,1004120024921.0,20.07,0.29,335.54368,-4.52147,53975.280660000004,0.0
1005201,1004120024921.0,19.84,0.26,335.54384,-4.52145,53975.28707000001,0.0
1005201,1004120024921.0,20.24,0.33,335.54351,-4.5216400000000005,54081.12197000001,0.0
1005201,1004120024921.0,19.28,0.2,335.54376,-4.52159,54081.13174,0.0
1005201,1004120024921.0,20.15,0.31,335.54393999999996,-4.52116,54081.13667000001,0.0
1005201,1004120024921.0,20.07,0.29,335.54345,-4.52122,54093.06891,0.0
1005201,1004120024921.0,19.18,0.63,335.54387,-4.52113,53741.08396,0.0
1005201,1004120024921.0,20.04,0.33,335.54379,-4.52118,53937.35769,0.0
1005201,1004120024921.0,19.81,0.29,335.54368999999997,-4.52077,53937.36415,0.0
1005201,1004120024921.0,19.69,0.24,335.54368999999997,-4.52152,54024.11595,0.0
1005201,1004120024921.0,19.71,0.24,335.54406,-4.5212900000000005,54024.123029999995,0.0
1005201,1004120024921.0,19.72,0.24,335.54409,-4.52144,54024.13721,0.0
1005201,1004120024921.0,19.52,0.22,335.54348999999996,-4.52133,54030.189210000004,0.0
1005201,1004120024921.0,19.89,0.26,335.54368999999997,-4.52157,54030.19674,0.0
1005201,1004120024921.0,20.19,0.3,335.54373,-4.5208,53995.202379999995,0.0
1005201,1004120024921.0,19.73,0.24,335.5440000000001,-4.52107,53995.215379999994,0.0
1005201,1004120024921.0,20.05,0.28,335.54384,-4.52133,53995.2284,0.0
1005201,1004120024921.0,20.14,0.3,335.54379,-4.52147,54001.18663,0.0
1005201,1004120024921.0,19.51,0.22,335.54391,-4.52155,54001.204829999995,0.0
1005201,1004120024921.0,19.79,0.25,335.54341,-4.5214099999999995,54439.08127,0.0
1005201,1004120024921.0,19.95,0.28,335.54348999999996,-4.52133,54439.08768,0.0
1005201,1004120024921.0,19.23,0.19,335.54355,-4.52096,54439.09412,0.0
1005201,1004120024921.0,19.36,0.2,335.54366,-4.52116,54439.100529999996,0.0
1005201,1004120024921.0,19.59,0.23,335.54354,-4.52095,54453.08914,0.0
1005201,1004120024921.0,20.91,0.5,335.5438200000001,-4.52157,54269.40327,0.0
1005201,1004120024921.0,19.53,0.23,335.54364,-4.521730000000002,54269.41832999999,0.0
1005201,1004120024921.0,19.68,0.25,335.54342,-4.52155,54269.425879999995,0.0
1005201,1004120024921.0,19.79,0.27,335.5435,-4.5214099999999995,54245.461129999996,0.0
1005201,1004120024921.0,20.42,0.35,335.54368999999997,-4.5209800000000016,54406.15952000001,0.0
1005201,1004120024921.0,20.14,0.3,335.54377,-4.52161,54406.1738,0.0
1005201,1004120024921.0,19.63,0.23,335.54348,-4.52122,54417.14324,0.0
1005201,1004120024921.0,19.7,0.24,335.54329,-4.52114,54417.15037999999,0.0
1005201,1004120024921.0,20.28,0.33,335.54295,-4.5213800000000015,54380.11882,0.0
1005201,1004120024921.0,20.26,0.32,335.54341,-4.52107,54391.22652999999,0.0
1005201,1004120024921.0,19.52,0.22,335.54386,-4.52118,54391.23329,0.0
1005201,1004120024921.0,19.92,0.27,335.54348999999996,-4.52163,54391.24005,0.0
1005201,1004120024921.0,20.32,0.34,335.54339,-4.52083,54345.29535,0.0
1005201,1004120024921.0,19.23,0.2,335.54393,-4.52163,54353.21452,0.0
1005201,1004120024921.0,19.52,0.23,335.54373,-4.5214,54353.22313,0.0
1005201,1004120024921.0,20.02,0.3,335.54404,-4.52078,54353.23172,0.0
1005201,1004120024921.0,20.25,0.34,335.54355,-4.52109,54353.240289999994,0.0
1005201,1004120024921.0,19.87,0.26,335.5439,-4.52116,54822.08787999999,0.0
1005201,1004120024921.0,20.08,0.3,335.54393,-4.52041,54822.09882000001,0.0
1005201,1004120024921.0,19.81,0.26,335.54375,-4.52099,54822.10426,0.0
1005201,1004120024921.0,19.05,0.19,335.54387,-4.5215,54627.4099,0.0
1005201,1004120024921.0,20.26,0.35,335.5433,-4.52122,54627.41645,0.0
1005201,1004120024921.0,19.88,0.28,335.5437100000001,-4.5210300000000005,54627.422979999996,0.0
1005201,1004120024921.0,20.31,0.33,335.54384,-4.52114,54787.097429999994,0.0
1005201,1004120024921.0,19.71,0.24,335.54348999999996,-4.52131,54787.10291,0.0
1005201,1004120024921.0,19.85,0.26,335.54375,-4.52112,54787.108239999994,0.0
1005201,1004120024921.0,19.46,0.21,335.54375,-4.52147,54787.11369,0.0
1005201,1004120024921.0,20.05,0.3,335.54368999999997,-4.52144,54740.222239999996,0.0
1005201,1004120024921.0,19.83,0.27,335.5438,-4.52133,54740.24654,0.0
1005201,1004120024921.0,20.02,0.3,335.54373,-4.52179,54740.25886,0.0
1005201,1004120024921.0,19.85,0.26,335.54373,-4.52125,54768.18697,0.0
1005201,1004120024921.0,20.01,0.28,335.54337999999996,-4.52084,54768.19417,0.0
1005201,1004120024921.0,19.61,0.23,335.54399,-4.52145,54768.20127000001,0.0
1005201,1004120024921.0,19.79,0.25,335.54354,-4.5212,54716.2968,0.0
1005201,1004120024921.0,20.39,0.35,335.54399,-4.52119,54716.30974,0.0
1005201,1004120024921.0,19.35,0.21,335.54404,-4.52145,54716.31624,0.0
1005201,1004120024921.0,19.48,0.22,335.54396,-4.52144,54729.287410000004,0.0
1005201,1004120024921.0,20.49,0.37,335.54424,-4.52076,54729.30146,0.0
1005201,1004120024921.0,19.54,0.2,335.54467999999997,-4.52076,55058.33166,0.0
1005201,1004120024921.0,19.83,0.23,335.54363,-4.5214,55058.33889,0.0
1005201,1004120024921.0,20.05,0.26,335.54381,-4.5209,55058.346139999994,0.0
1005201,1004120024921.0,19.94,0.28,335.54381,-4.52104,55070.246179999995,0.0
1005201,1004120024921.0,19.63,0.24,335.54351,-4.52124,55070.2543,0.0
1005201,1004120024921.0,19.4,0.21,335.54287999999997,-4.52112,55070.2708,0.0
1005201,1004120024921.0,20.69,0.43,335.54397,-4.52133,55073.278510000004,0.0
1005201,1004120024921.0,19.47,0.22,335.54395,-4.52168,55180.097839999995,0.0
1005201,1004120024921.0,20.22,0.34,335.5433,-4.52119,55006.390029999995,0.0
1005201,1004120024921.0,19.78,0.27,335.54363,-4.52153,55006.4044,0.0
1005201,1004120024921.0,19.07,0.19,335.54377,-4.52152,54981.445779999995,0.0
1005201,1004120024921.0,20.12,0.32,335.54393,-4.52133,54981.44944,0.0
1005201,1004120024921.0,19.85,0.27,335.5436200000001,-4.52125,55118.10787000001,0.0
1005201,1004120024921.0,18.68,0.15,335.54389,-4.52117,55118.114089999995,0.0
1005201,1004120024921.0,19.33,0.21,335.54393999999996,-4.52142,55118.12025,0.0
1005201,1004120024921.0,19.55,0.29,335.54401,-4.52117,55084.28619,0.0
1005201,1004120024921.0,19.76,0.33,335.54357999999996,-4.52133,55084.29197000001,0.0
1005201,1004120024921.0,19.77,0.26,335.54355,-4.52121,55095.19121000001,0.0
1005201,1004120024921.0,19.65,0.25,335.54342,-4.52112,55095.19786,0.0
1005201,1004120024921.0,19.86,0.27,335.54348999999996,-4.52158,55095.204439999994,0.0
1005201,1004120024921.0,19.84,0.27,335.54386,-4.52088,55095.21109,0.0
1005201,1004120024921.0,19.0,0.18,335.54384,-4.5210300000000005,55101.2312,0.0
1005201,1004120024921.0,19.81,0.26,335.54375,-4.52081,55101.24733,0.0
1005201,1004120024921.0,20.0,0.29,335.54375,-4.52154,55101.25539,0.0
1005201,1004120024921.0,19.65,0.25,335.5438,-4.521719999999998,55539.10238,0.0
