InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005241,1018116035047,19.11,0.59,338.37597,-18.126,53904.449010000004,0
1005241,1018116035047,20.27,0.31,338.37579,-18.12641,53998.23182000001,0
1005241,1018116035047,19.64,0.22,338.37406,-18.126520000000006,54766.136210000004,0
1005241,1018116035047,20.94,0.46,338.37552999999997,-18.12529,54738.21939,0
1005241,1018116035047,20.2,0.33,338.3746,-18.12655,55093.25126000001,0
1005241,1018116035047,20.22,0.33,338.3741,-18.12728,55093.26828,0
1005241,1018116035047,20.37,0.29,338.37498,-18.12665,55827.248439999996,0
1005241,1018116035047,19.74,0.29,338.3748,-18.1275,56098.4463,0
1005241,1018116035047,20.81,0.39,338.37407,-18.12681,56184.25035,0
1005241,1018116035047,20.27,0.29,338.37495,-18.126160000000002,56184.25909,0
1005241,1018116035047,19.81,0.27,338.3742200000001,-18.126160000000002,56192.21569,0
1005241,1018116035047,20.5,0.4,338.37452,-18.12741,56536.2926,0
1005241,1018116035047,21.13,0.44,338.3751,-18.12554,56564.23095,0
1005241,1018116035047,19.82,0.26,338.37478,-18.12698,56591.14995,0
1005241,1018116035047,20.22,0.32,338.37433,-18.12629,56591.15602,0
1005241,1018116035047,20.53,0.38,338.37462999999997,-18.127129999999998,56591.162079999995,0
1005241,1018116035279,18.62,0.15,338.35376,-18.120910000000002,53680.131480000004,0
1005241,1018116035279,18.73,0.15,338.35348,-18.12102,53680.13706,0
1005241,1018116035279,18.86,0.16,338.35343,-18.12092,53680.142680000004,0
1005241,1018116035279,18.6,0.15,338.35357999999997,-18.120620000000002,53680.14828,0
1005241,1018116035279,18.41,0.14,338.35364,-18.12122,53646.244380000004,0
1005241,1018116035279,18.82,0.17,338.35339,-18.120739999999998,53646.25079,0
1005241,1018116035279,18.58,0.15,338.35369,-18.12172,53646.25724,0
1005241,1018116035279,18.47,0.15,338.35369,-18.12119,53646.26365,0
1005241,1018116035279,18.54,0.15,338.35374,-18.120829999999998,53653.17041,0
1005241,1018116035279,18.46,0.14,338.35347,-18.12092,53653.17786,0
1005241,1018116035279,19.01,0.18,338.35368,-18.12078,53653.185339999996,0
1005241,1018116035279,18.5,0.15,338.35379,-18.12087,53653.1928,0
1005241,1018116035279,18.76,0.16,338.3535,-18.12097,53673.13262,0
1005241,1018116035279,18.96,0.17,338.35368,-18.12104,53673.13742,0
1005241,1018116035279,18.65,0.15,338.35323999999997,-18.1211,53673.14222,0
1005241,1018116035279,18.94,0.17,338.35359,-18.12087,53673.14703,0
1005241,1018116035279,19.53,0.28,338.35367,-18.12116,53618.27803,0
1005241,1018116035279,18.85,0.18,338.3537,-18.1209,53618.28448,0
1005241,1018116035279,18.96,0.19,338.35357,-18.12041,53618.29092,0
1005241,1018116035279,18.52,0.16,338.3536200000001,-18.12086,53618.29738,0
1005241,1018116035279,20.21,0.34,338.35368,-18.121029999999998,53626.18172,0
1005241,1018116035279,19.47,0.23,338.35384,-18.121270000000006,53626.18983,0
1005241,1018116035279,18.51,0.15,338.35414,-18.121370000000002,53626.20608,0
1005241,1018116035279,18.54,0.15,338.35351,-18.12104,53639.21033,0
1005241,1018116035279,19.09,0.19,338.35329,-18.12075,53639.21829,0
1005241,1018116035279,18.89,0.17,338.35379,-18.120829999999998,53639.22631000001,0
1005241,1018116035279,18.68,0.16,338.35336,-18.121,53639.23429,0
1005241,1018116035279,19.26,0.19,338.35351,-18.12098,54058.12477,0
1005241,1018116035279,18.38,0.13,338.35344,-18.12171,54058.13126,0
1005241,1018116035279,18.57,0.14,338.35357,-18.12066,54058.13775,0
1005241,1018116035279,18.93,0.16,338.3536,-18.12066,54058.144239999994,0
1005241,1018116035279,18.71,0.14,338.35351,-18.12089,54029.14796,0
1005241,1018116035279,18.6,0.14,338.35353,-18.120820000000002,54029.15727999999,0
1005241,1018116035279,18.36,0.13,338.35366,-18.120929999999998,54029.1683,0
1005241,1018116035279,18.37,0.13,338.35364,-18.12096,54029.17765,0
1005241,1018116035279,18.57,0.14,338.35347,-18.12108,53998.214029999996,0
1005241,1018116035279,18.82,0.15,338.3536,-18.12102,53998.21995,0
1005241,1018116035279,18.88,0.16,338.35347,-18.12099,53998.225889999994,0
1005241,1018116035279,18.66,0.14,338.35341,-18.12112,53998.23182000001,0
1005241,1018116035279,18.61,0.14,338.35352,-18.120910000000002,54004.22051,0
1005241,1018116035279,18.67,0.14,338.35364,-18.120910000000002,54004.227660000004,0
1005241,1018116035279,19.07,0.17,338.35355,-18.12097,54004.23481,0
1005241,1018116035279,18.81,0.15,338.35356,-18.12089,54004.24197999999,0
1005241,1018116035279,18.78,0.15,338.35356,-18.12085,54418.13552999999,0
1005241,1018116035279,18.93,0.16,338.35409,-18.120929999999998,54418.143260000004,0
1005241,1018116035279,18.72,0.15,338.35375,-18.120810000000002,54418.15098,0
1005241,1018116035279,18.47,0.13,338.35357999999997,-18.120820000000002,54418.15871,0
1005241,1018116035279,18.86,0.17,338.3538,-18.12097,54383.1766,0
