InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005261,1107120045003.0,20.43,0.39,339.34512,7.64098,53670.1903,0.0
1005261,1107120045003.0,20.44,0.42,339.3454200000001,7.64098,53907.39909,0.0
1005261,1107120045003.0,20.96,0.57,339.34508999999997,7.64098,53907.41631,0.0
1005261,1107120045003.0,18.83,0.17,339.34643,7.641660000000001,54298.417089999995,0.0
1005261,1107120045003.0,21.08,0.55,339.34517,7.64088,56092.40267999999,0.0
1005261,1107120045003.0,21.15,0.5,339.34441,7.6411,56220.257920000004,0.0
1005261,1107120045003.0,21.08,0.58,339.34532,7.641389999999999,56461.446939999994,0.0
1005261,1107120045201.0,19.38,0.22,339.36106,7.6467600000000004,53729.09544,0.0
1005261,1107120045201.0,19.37,0.22,339.3612,7.6468,53729.10187000001,0.0
1005261,1107120045201.0,19.19,0.23,339.36056,7.64635,53567.431,0.0
1005261,1107120045201.0,19.0,0.2,339.36124,7.6466,53531.42709,0.0
1005261,1107120045201.0,19.7,0.26,339.36127999999997,7.64653,53677.11913,0.0
1005261,1107120045201.0,19.81,0.28,339.36048999999997,7.646619999999999,53677.12504,0.0
1005261,1107120045201.0,19.58,0.26,339.36054,7.6467300000000025,53646.31787,0.0
1005261,1107120045201.0,20.43,0.38,339.36114,7.6463100000000015,53670.18228,0.0
1005261,1107120045201.0,19.15,0.21,339.36093999999997,7.646560000000001,53639.2533,0.0
1005261,1107120045201.0,19.03,0.2,339.36122,7.64645,53887.437829999995,0.0
1005261,1107120045201.0,19.19,0.22,339.36081,7.64615,53887.45736,0.0
1005261,1107120045201.0,18.95,0.19,339.36136,7.6463,53907.3895,0.0
1005261,1107120045201.0,19.75,0.29,339.36146,7.6467100000000015,53907.40771,0.0
1005261,1107120045201.0,20.18,0.32,339.36102999999997,7.64703,54053.12057000001,0.0
1005261,1107120045201.0,19.99,0.28,339.36126,7.64695,54053.13362000001,0.0
1005261,1107120045201.0,19.42,0.24,339.36142,7.6471800000000005,54009.15782000001,0.0
1005261,1107120045201.0,19.56,0.23,339.3609,7.6464300000000005,54037.18667,0.0
1005261,1107120045201.0,19.58,0.24,339.36062999999996,7.6467899999999975,54453.112989999994,0.0
1005261,1107120045201.0,19.37,0.26,339.36086,7.647289999999999,54298.36987,0.0
1005261,1107120045201.0,20.15,0.34,339.36052,7.64664,54270.393860000004,0.0
1005261,1107120045201.0,19.52,0.25,339.3610700000001,7.64682,54241.44742999999,0.0
1005261,1107120045201.0,19.12,0.2,339.36114,7.64703,54420.11371000001,0.0
1005261,1107120045201.0,19.91,0.28,339.36133,7.64705,54380.27311,0.0
1005261,1107120045201.0,19.49,0.22,339.36073,7.64699,54387.16226000001,0.0
1005261,1107120045201.0,19.16,0.19,339.3613200000001,7.64725,54354.247189999995,0.0
1005261,1107120045201.0,19.75,0.28,339.36098,7.64659,54648.35666000001,0.0
1005261,1107120045201.0,19.5,0.25,339.36156,7.64664,54648.373,0.0
1005261,1107120045201.0,19.79,0.31,339.36102999999997,7.6467399999999985,54600.45647000001,0.0
1005261,1107120045201.0,19.71,0.26,339.3608700000001,7.64658,55059.378529999994,0.0
1005261,1107120045201.0,19.35,0.22,339.36125,7.6469,55070.32782000001,0.0
1005261,1107120045201.0,19.5,0.23,339.36122,7.646619999999999,55070.33497,0.0
1005261,1107120045201.0,20.48,0.39,339.36125,7.64775,55070.34213,0.0
1005261,1107120045201.0,19.89,0.28,339.36098,7.64645,55070.34935,0.0
1005261,1107120045201.0,19.72,0.33,339.36111,7.647019999999999,55043.33078,0.0
1005261,1107120045201.0,20.03,0.3,339.36112,7.6470699999999985,55128.16032,0.0
1005261,1107120045201.0,19.65,0.25,339.3610700000001,7.6466600000000025,55128.16824,0.0
1005261,1107120045201.0,20.12,0.45,339.3617,7.6467300000000025,55084.16986,0.0
1005261,1107120045201.0,19.75,0.27,339.36102999999997,7.64699,55094.319,0.0
1005261,1107120045201.0,19.93,0.3,339.3608700000001,7.6467800000000015,55094.32698,0.0
1005261,1107120045201.0,19.87,0.29,339.36089,7.64668,55094.33493,0.0
1005261,1107120045201.0,19.22,0.2,339.36113,7.64697,55364.399829999995,0.0
1005261,1107120045201.0,18.94,0.18,339.36118,7.6467800000000015,55364.40916,0.0
1005261,1107120045201.0,19.91,0.29,339.3610700000001,7.646619999999999,55364.41382,0.0
1005261,1107120045201.0,19.96,0.3,339.36075,7.64695,55470.218310000004,0.0
1005261,1107120045201.0,19.43,0.23,339.36099,7.64694,55477.10077000001,0.0
1005261,1107120045201.0,19.35,0.22,339.36079,7.64635,55482.20389,0.0
1005261,1107120045201.0,19.84,0.28,339.36146,7.64653,55482.2245,0.0
1005261,1107120045201.0,19.1,0.19,339.36057999999997,7.64694,55498.11006,0.0
1005261,1107120045201.0,20.19,0.35,339.36127999999997,7.6467899999999975,54298.417089999995,0.0
1005261,1107120045201.0,20.85,0.46,339.3610700000001,7.64755,54736.359489999995,0.0
1005261,1107120045201.0,19.55,0.23,339.36067,7.64725,55822.24959,0.0
1005261,1107120045201.0,19.25,0.17,339.36084,7.6460300000000005,55858.1937,0.0
1005261,1107120045201.0,19.44,0.18,339.36048999999997,7.64685,55858.20487,0.0
1005261,1107120045201.0,19.64,0.24,339.36114,7.646439999999999,55852.13187000001,0.0
1005261,1107120045201.0,19.7,0.25,339.36078,7.64692,55852.13691,0.0
1005261,1107120045201.0,20.04,0.3,339.36139,7.6467399999999985,55852.14712,0.0
1005261,1107120045201.0,19.43,0.22,339.36122,7.646910000000001,55928.07932999999,0.0
1005261,1107120045201.0,19.26,0.21,339.36107999999996,7.64688,55928.08448,0.0
1005261,1107120045201.0,19.66,0.25,339.3615,7.64694,56067.46301,0.0
1005261,1107120045201.0,19.54,0.24,339.36116,7.646439999999999,56092.37691,0.0
1005261,1107120045201.0,19.21,0.2,339.36152999999996,7.64583,56092.38547000001,0.0
1005261,1107120045201.0,19.91,0.29,339.36127,7.64693,56092.39405,0.0
1005261,1107120045201.0,19.39,0.23,339.3615200000001,7.64646,56099.38447999999,0.0
1005261,1107120045201.0,19.37,0.22,339.36102999999997,7.6467300000000025,56099.39133,0.0
1005261,1107120045201.0,20.61,0.43,339.36091,7.646619999999999,56204.244439999995,0.0
1005261,1107120045201.0,20.43,0.33,339.36086,7.6467600000000004,56220.257920000004,0.0
1005261,1107120045201.0,19.32,0.19,339.36137,7.6463899999999985,56220.26799,0.0
1005261,1107120045201.0,20.06,0.26,339.36093,7.64728,56237.10147,0.0
1005261,1107120045201.0,20.21,0.28,339.36124,7.6467100000000015,56237.10847000001,0.0
1005261,1107120045201.0,19.09,0.16,339.36145,7.6465,56237.11547999999,0.0
