InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005301,1009121024294.0,15.92,0.07,342.41164,-10.13665,53729.06901,0.0
1005301,1009121024294.0,16.04,0.07,342.41176,-10.1367,53729.07234,0.0
1005301,1009121024294.0,16.11,0.07,342.41161,-10.13668,53729.07565,0.0
1005301,1009121024294.0,16.08,0.07,342.41162,-10.13671,53729.07896,0.0
1005301,1009121024294.0,16.02,0.07,342.41162,-10.13668,53561.37051,0.0
1005301,1009121024294.0,15.93,0.07,342.41164,-10.136660000000001,53561.37693,0.0
1005301,1009121024294.0,15.99,0.07,342.41159,-10.13674,53561.38334,0.0
1005301,1009121024294.0,16.0,0.07,342.41162,-10.13667,53561.38978,0.0
1005301,1009121024294.0,16.01,0.07,342.41165,-10.13671,53699.12002,0.0
1005301,1009121024294.0,16.01,0.07,342.4115700000001,-10.13671,53699.12854,0.0
1005301,1009121024294.0,16.02,0.07,342.41164,-10.13671,53699.13706,0.0
1005301,1009121024294.0,15.98,0.07,342.41156,-10.136660000000001,53699.14558,0.0
1005301,1009121024294.0,15.98,0.07,342.41167,-10.13675,53654.18165,0.0
1005301,1009121024294.0,16.07,0.07,342.41161,-10.13671,53654.18719,0.0
1005301,1009121024294.0,16.01,0.07,342.41163,-10.1367,53654.192689999996,0.0
1005301,1009121024294.0,15.99,0.07,342.41155,-10.136610000000001,53654.198189999996,0.0
1005301,1009121024294.0,16.05,0.07,342.41161,-10.13673,53667.13944,0.0
1005301,1009121024294.0,16.01,0.07,342.41164,-10.13673,53667.14741000001,0.0
1005301,1009121024294.0,16.03,0.07,342.41165,-10.13669,53667.155419999996,0.0
1005301,1009121024294.0,16.08,0.07,342.4116,-10.136660000000001,53667.16342,0.0
1005301,1009121024294.0,16.12,0.07,342.41163,-10.13671,53618.308939999995,0.0
1005301,1009121024294.0,16.0,0.07,342.41161,-10.13671,53618.31535,0.0
1005301,1009121024294.0,16.04,0.07,342.41164,-10.13672,53636.20225,0.0
1005301,1009121024294.0,15.99,0.07,342.41163,-10.13668,53636.2098,0.0
1005301,1009121024294.0,16.03,0.07,342.41167,-10.13671,53636.217430000004,0.0
1005301,1009121024294.0,16.07,0.07,342.41162,-10.136660000000001,53636.22504,0.0
1005301,1009121024294.0,16.03,0.07,342.41162,-10.13668,53975.2942,0.0
1005301,1009121024294.0,16.04,0.07,342.41164,-10.13673,53975.3032,0.0
1005301,1009121024294.0,16.07,0.07,342.41164,-10.13672,53975.31225,0.0
1005301,1009121024294.0,16.06,0.07,342.41162,-10.13672,53975.321339999995,0.0
1005301,1009121024294.0,16.05,0.08,342.41166,-10.13677,54070.11791,0.0
1005301,1009121024294.0,15.98,0.08,342.41162,-10.13675,54070.12305,0.0
1005301,1009121024294.0,16.08,0.08,342.41157999999996,-10.13678,54070.12817999999,0.0
1005301,1009121024294.0,16.2,0.08,342.41168,-10.13678,54070.13331000001,0.0
1005301,1009121024294.0,16.05,0.07,342.41157999999996,-10.13671,54093.0613,0.0
1005301,1009121024294.0,16.07,0.07,342.41165,-10.13671,54093.06778,0.0
1005301,1009121024294.0,16.06,0.07,342.41162,-10.13667,54093.074239999994,0.0
1005301,1009121024294.0,16.05,0.07,342.41159,-10.13674,54093.080729999994,0.0
1005301,1009121024294.0,16.05,0.12,342.41163,-10.13676,53925.41825,0.0
1005301,1009121024294.0,16.07,0.12,342.41159,-10.13665,53925.419879999994,0.0
1005301,1009121024294.0,16.05,0.12,342.41162,-10.13682,53925.42144,0.0
1005301,1009121024294.0,16.03,0.07,342.41167,-10.13671,53906.39343,0.0
1005301,1009121024294.0,16.04,0.07,342.41164,-10.13674,53906.40051,0.0
1005301,1009121024294.0,16.04,0.07,342.41166,-10.13668,53906.407629999994,0.0
1005301,1009121024294.0,16.04,0.07,342.41159,-10.13671,53906.41469,0.0
1005301,1009121024294.0,16.07,0.07,342.41162,-10.13667,54050.1522,0.0
1005301,1009121024294.0,16.02,0.07,342.41162,-10.13671,54050.161889999996,0.0
1005301,1009121024294.0,16.02,0.07,342.4117,-10.13668,54050.17162000001,0.0
1005301,1009121024294.0,16.05,0.07,342.41161,-10.13673,54050.18135,0.0
1005301,1009121024294.0,16.03,0.07,342.41162,-10.13669,54057.14896000001,0.0
1005301,1009121024294.0,16.04,0.07,342.41168,-10.13669,54057.155439999995,0.0
1005301,1009121024294.0,16.06,0.07,342.41167,-10.13669,54057.16192000001,0.0
1005301,1009121024294.0,16.04,0.07,342.41168999999996,-10.13664,54057.16842,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13669,54027.13518,0.0
1005301,1009121024294.0,16.07,0.07,342.41164,-10.13673,54027.14332999999,0.0
1005301,1009121024294.0,16.03,0.07,342.41162,-10.13664,54027.15149,0.0
1005301,1009121024294.0,16.02,0.07,342.41166,-10.13665,54027.15965,0.0
1005301,1009121024294.0,16.05,0.07,342.41161,-10.13667,53992.269570000004,0.0
1005301,1009121024294.0,16.05,0.07,342.41163,-10.13672,53992.27596,0.0
1005301,1009121024294.0,16.03,0.07,342.41164,-10.13671,53992.28238,0.0
1005301,1009121024294.0,16.06,0.07,342.41166,-10.13667,53992.28883,0.0
1005301,1009121024294.0,16.07,0.07,342.41159,-10.13668,54008.19066,0.0
1005301,1009121024294.0,16.11,0.07,342.41167,-10.13673,54008.20041000001,0.0
1005301,1009121024294.0,16.07,0.07,342.41159,-10.13669,54008.21011,0.0
1005301,1009121024294.0,16.06,0.07,342.41163,-10.13667,54008.219789999996,0.0
1005301,1009121024294.0,16.04,0.07,342.41155,-10.136660000000001,54439.10518,0.0
1005301,1009121024294.0,16.0,0.07,342.41164,-10.13671,54439.11173,0.0
1005301,1009121024294.0,16.07,0.07,342.41157999999996,-10.13664,54439.11909,0.0
1005301,1009121024294.0,16.02,0.07,342.41159,-10.1367,54439.12557999999,0.0
1005301,1009121024294.0,16.04,0.07,342.41155,-10.13659,54455.05585,0.0
1005301,1009121024294.0,16.17,0.07,342.4116,-10.13672,54455.05919,0.0
1005301,1009121024294.0,16.04,0.07,342.41166,-10.13669,54455.06252000001,0.0
1005301,1009121024294.0,16.08,0.07,342.4115700000001,-10.13667,54455.065879999995,0.0
1005301,1009121024294.0,16.09,0.07,342.41162,-10.13676,54261.420210000004,0.0
1005301,1009121024294.0,16.02,0.07,342.41164,-10.13673,54261.42505,0.0
1005301,1009121024294.0,16.07,0.07,342.41161,-10.13676,54261.42991,0.0
1005301,1009121024294.0,16.04,0.07,342.41168999999996,-10.13671,54261.43475,0.0
1005301,1009121024294.0,15.98,0.07,342.4116,-10.136660000000001,54275.38211000001,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13674,54275.39061,0.0
1005301,1009121024294.0,16.0,0.07,342.41157999999996,-10.13668,54275.39912,0.0
1005301,1009121024294.0,16.0,0.07,342.41164,-10.1367,54275.40762000001,0.0
1005301,1009121024294.0,16.05,0.07,342.41167,-10.13668,54247.44811000001,0.0
1005301,1009121024294.0,16.0,0.07,342.41166,-10.13669,54247.455579999994,0.0
1005301,1009121024294.0,16.02,0.07,342.41164,-10.13674,54247.463110000004,0.0
1005301,1009121024294.0,16.02,0.07,342.41174,-10.13668,54247.47059,0.0
1005301,1009121024294.0,16.02,0.07,342.41151,-10.136619999999999,54377.1981,0.0
1005301,1009121024294.0,15.99,0.07,342.41163,-10.136660000000001,54377.20458,0.0
1005301,1009121024294.0,16.03,0.07,342.41162,-10.13667,54377.211110000004,0.0
1005301,1009121024294.0,16.02,0.07,342.41157999999996,-10.13665,54377.21762,0.0
1005301,1009121024294.0,16.03,0.07,342.41161,-10.13671,54388.18116,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13664,54388.1886,0.0
1005301,1009121024294.0,16.05,0.07,342.41164,-10.136660000000001,54388.196,0.0
1005301,1009121024294.0,16.04,0.07,342.41164,-10.13671,54388.20345,0.0
1005301,1009121024294.0,16.07,0.07,342.41168,-10.13667,54346.25178,0.0
1005301,1009121024294.0,16.06,0.07,342.41168999999996,-10.13663,54346.25872000001,0.0
1005301,1009121024294.0,16.05,0.07,342.4116,-10.1367,54346.26568,0.0
1005301,1009121024294.0,16.03,0.07,342.41161,-10.13669,54346.272639999996,0.0
1005301,1009121024294.0,15.94,0.07,342.41168,-10.13674,54466.06496,0.0
1005301,1009121024294.0,16.0,0.07,342.41164,-10.13665,54466.0698,0.0
1005301,1009121024294.0,15.99,0.07,342.41161,-10.13665,54466.07464,0.0
1005301,1009121024294.0,16.05,0.07,342.4116,-10.136610000000001,54466.07946,0.0
1005301,1009121024294.0,16.05,0.07,342.41164,-10.13669,54789.08345,0.0
1005301,1009121024294.0,16.05,0.07,342.41163,-10.1367,54789.09072000001,0.0
1005301,1009121024294.0,16.04,0.07,342.41161,-10.13672,54789.0981,0.0
1005301,1009121024294.0,16.04,0.07,342.4116,-10.13668,54789.10536,0.0
1005301,1009121024294.0,16.0,0.07,342.41162,-10.13671,54768.15007999999,0.0
1005301,1009121024294.0,16.03,0.07,342.41164,-10.13668,54768.15786,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13667,54768.16565,0.0
1005301,1009121024294.0,16.07,0.07,342.41168,-10.136660000000001,54768.17349,0.0
1005301,1009121024294.0,16.02,0.07,342.41163,-10.136660000000001,54715.25131,0.0
1005301,1009121024294.0,16.04,0.07,342.41165,-10.13665,54715.257789999996,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13664,54715.2643,0.0
1005301,1009121024294.0,16.0,0.07,342.41166,-10.13665,54715.27077,0.0
1005301,1009121024294.0,16.09,0.07,342.41162,-10.13664,54729.22867999999,0.0
1005301,1009121024294.0,15.98,0.07,342.41162,-10.136619999999999,54729.2359,0.0
1005301,1009121024294.0,16.05,0.07,342.41161,-10.1366,54729.24314,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13659,54729.25034,0.0
1005301,1009121024294.0,16.02,0.07,342.41162,-10.13663,54738.24676,0.0
1005301,1009121024294.0,16.05,0.07,342.41173,-10.13663,54738.25837999999,0.0
1005301,1009121024294.0,16.04,0.07,342.41162,-10.13667,54738.27002999999,0.0
1005301,1009121024294.0,16.06,0.07,342.41163,-10.13668,54738.28167999999,0.0
1005301,1009121024294.0,16.08,0.06,342.41161,-10.13671,55069.301960000004,0.0
1005301,1009121024294.0,16.06,0.06,342.41165,-10.13667,55069.31009,0.0
1005301,1009121024294.0,16.08,0.06,342.41167,-10.1367,55069.31836000001,0.0
1005301,1009121024294.0,16.07,0.06,342.41162,-10.13669,55069.3267,0.0
1005301,1009121024294.0,16.02,0.07,342.41172,-10.1366,55073.28585,0.0
1005301,1009121024294.0,16.09,0.07,342.41163,-10.13676,55073.296129999995,0.0
1005301,1009121024294.0,16.12,0.07,342.41163,-10.13668,55073.30662,0.0
1005301,1009121024294.0,16.1,0.07,342.41166,-10.13667,55073.31697000001,0.0
1005301,1009121024294.0,16.07,0.07,342.41161,-10.13672,55180.095579999994,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13674,55180.10177000001,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.1367,55180.10804,0.0
1005301,1009121024294.0,16.08,0.07,342.41163,-10.13674,55180.114279999994,0.0
1005301,1009121024294.0,16.04,0.07,342.41163,-10.13671,55039.36844,0.0
1005301,1009121024294.0,16.01,0.07,342.41161,-10.1367,55039.37691,0.0
1005301,1009121024294.0,16.05,0.07,342.41164,-10.13672,55039.38545,0.0
1005301,1009121024294.0,16.02,0.07,342.41163,-10.13671,55039.39387000001,0.0
1005301,1009121024294.0,15.96,0.07,342.4116,-10.13664,55003.439029999994,0.0
1005301,1009121024294.0,16.03,0.07,342.41159,-10.13669,55003.44101,0.0
1005301,1009121024294.0,16.01,0.07,342.41156,-10.13663,55003.44294,0.0
1005301,1009121024294.0,16.05,0.07,342.41163,-10.13671,55003.44486,0.0
1005301,1009121024294.0,16.06,0.07,342.41165,-10.13675,54980.4439,0.0
1005301,1009121024294.0,16.03,0.07,342.41167,-10.1367,54980.446939999994,0.0
1005301,1009121024294.0,16.04,0.07,342.4116,-10.13669,54980.45,0.0
1005301,1009121024294.0,16.06,0.07,342.41164,-10.13669,54980.45304,0.0
1005301,1009121024294.0,16.06,0.07,342.41162,-10.13673,55151.13092,0.0
1005301,1009121024294.0,16.07,0.07,342.41164,-10.13674,55151.13675,0.0
1005301,1009121024294.0,16.05,0.07,342.41159,-10.13669,55151.142589999996,0.0
1005301,1009121024294.0,16.03,0.07,342.41164,-10.13672,55151.148429999994,0.0
1005301,1009121024294.0,16.07,0.07,342.41161,-10.13671,55126.14452,0.0
1005301,1009121024294.0,16.02,0.07,342.41159,-10.13674,55126.15181,0.0
1005301,1009121024294.0,16.07,0.07,342.41165,-10.13673,55126.15905,0.0
1005301,1009121024294.0,16.1,0.07,342.41165,-10.1367,55126.16631,0.0
1005301,1009121024294.0,15.93,0.07,342.41159,-10.13669,55084.260070000004,0.0
1005301,1009121024294.0,16.13,0.08,342.41168999999996,-10.13673,55084.26497999999,0.0
1005301,1009121024294.0,16.02,0.07,342.41163,-10.13674,55084.269770000006,0.0
1005301,1009121024294.0,15.99,0.07,342.41156,-10.13668,55084.27458,0.0
1005301,1009121024294.0,16.06,0.07,342.41162,-10.13672,55095.226689999996,0.0
1005301,1009121024294.0,16.05,0.07,342.41164,-10.13667,55095.23335,0.0
1005301,1009121024294.0,16.01,0.07,342.41167,-10.1367,55095.24009,0.0
1005301,1009121024294.0,16.08,0.07,342.41163,-10.13668,55095.246810000004,0.0
