InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005341,1104123027594.0,20.91,0.5,345.38697,4.08946,53706.1775,0.0
1005341,1104123027594.0,20.75,0.46,345.3869,4.08938,53706.19455,0.0
1005341,1104123027594.0,20.71,0.43,345.38649,4.08932,53729.11329,0.0
1005341,1104123027594.0,19.97,0.29,345.3871,4.08969,53729.11797000001,0.0
1005341,1104123027594.0,20.33,0.36,345.38665,4.089,53553.42721,0.0
1005341,1104123027594.0,19.35,0.24,345.38689,4.0888599999999995,53506.46492,0.0
1005341,1104123027594.0,20.23,0.33,345.38716,4.08951,53696.10769,0.0
1005341,1104123027594.0,20.29,0.34,345.38661,4.08903,53696.11571000001,0.0
1005341,1104123027594.0,20.05,0.3,345.38664,4.08925,53696.13177000001,0.0
1005341,1104123027594.0,20.67,0.45,345.38732000000016,4.0890900000000014,53644.18866,0.0
1005341,1104123027594.0,20.12,0.34,345.38698,4.0895800000000015,53651.19911,0.0
1005341,1104123027594.0,20.16,0.33,345.38678,4.08983,53669.24901,0.0
1005341,1104123027594.0,20.3,0.38,345.38696,4.0895800000000015,53669.25598,0.0
1005341,1104123027594.0,20.05,0.31,345.3871,4.08904,53637.24405,0.0
1005341,1104123027594.0,20.16,0.3,345.38692000000015,4.0890900000000014,54090.089120000004,0.0
1005341,1104123027594.0,20.12,0.3,345.38679,4.0892300000000015,54090.09662999999,0.0
1005341,1104123027594.0,20.25,0.39,345.38711,4.0892599999999995,53917.43799,0.0
1005341,1104123027594.0,19.96,0.33,345.38673,4.08943,53917.44342999999,0.0
1005341,1104123027594.0,20.81,0.54,345.38687000000016,4.0894900000000005,53940.32665,0.0
1005341,1104123027594.0,20.51,0.44,345.38669,4.08914,53940.330910000004,0.0
1005341,1104123027594.0,20.2,0.38,345.3871,4.08934,53940.33515,0.0
1005341,1104123027594.0,20.44,0.42,345.38684,4.08929,53889.44233,0.0
1005341,1104123027594.0,19.5,0.25,345.38715,4.0897,53889.44768,0.0
1005341,1104123027594.0,20.14,0.34,345.38678,4.08924,53907.4256,0.0
1005341,1104123027594.0,20.82,0.43,345.38678,4.08938,54052.10724,0.0
1005341,1104123027594.0,20.26,0.31,345.38653999999997,4.0896099999999995,54052.120039999994,0.0
1005341,1104123027594.0,20.3,0.32,345.38678,4.08933,54058.11463,0.0
1005341,1104123027594.0,20.13,0.29,345.38664,4.0892599999999995,54058.12108,0.0
1005341,1104123027594.0,20.05,0.28,345.38692000000015,4.089180000000002,54025.11737000001,0.0
1005341,1104123027594.0,20.43,0.35,345.38699999999994,4.089119999999999,54025.12385,0.0
1005341,1104123027594.0,20.57,0.37,345.38716,4.0892599999999995,54025.13031,0.0
1005341,1104123027594.0,21.03,0.49,345.38667000000015,4.0892300000000015,54025.1368,0.0
1005341,1104123027594.0,19.64,0.23,345.38692000000015,4.08964,54037.1979,0.0
1005341,1104123027594.0,20.4,0.34,345.38651,4.08943,54037.20485,0.0
1005341,1104123027594.0,20.19,0.3,345.38698,4.0896300000000005,54037.211820000004,0.0
1005341,1104123027594.0,20.23,0.31,345.38674,4.08899,53996.19485,0.0
1005341,1104123027594.0,20.88,0.5,345.38754,4.0896,54264.40176,0.0
1005341,1104123027594.0,20.3,0.36,345.38695,4.089119999999999,54264.41352,0.0
1005341,1104123027594.0,20.27,0.35,345.38705,4.08927,54264.419389999995,0.0
1005341,1104123027594.0,20.83,0.44,345.38687999999996,4.08932,54416.1574,0.0
1005341,1104123027594.0,19.9,0.26,345.38664,4.09014,54380.207989999995,0.0
1005341,1104123027594.0,19.84,0.26,345.38698999999997,4.08933,54387.17034,0.0
1005341,1104123027594.0,20.5,0.37,345.38738,4.08925,54346.3435,0.0
1005341,1104123027594.0,20.89,0.46,345.38707,4.08939,54346.35182,0.0
1005341,1104123027594.0,20.45,0.36,345.38699999999994,4.08922,54346.360160000004,0.0
1005341,1104123027594.0,19.98,0.29,345.38728,4.08968,54353.21827000001,0.0
1005341,1104123027594.0,20.96,0.5,345.38719,4.0897,54353.226879999995,0.0
1005341,1104123027594.0,20.01,0.29,345.38692000000015,4.08937,54353.23546,0.0
1005341,1104123027594.0,20.4,0.35,345.38691,4.08944,54822.13941,0.0
1005341,1104123027594.0,20.25,0.36,345.3873,4.08884,54648.38464,0.0
1005341,1104123027594.0,20.07,0.32,345.38695,4.08946,54648.391110000004,0.0
1005341,1104123027594.0,19.96,0.3,345.38684,4.08933,54648.39758,0.0
1005341,1104123027594.0,20.65,0.45,345.38649,4.08948,54648.40399,0.0
1005341,1104123027594.0,19.84,0.27,345.38716,4.08935,54628.40902000001,0.0
1005341,1104123027594.0,20.36,0.36,345.38689,4.0892,54628.41612,0.0
1005341,1104123027594.0,20.24,0.33,345.38716,4.08962,54628.43029,0.0
1005341,1104123027594.0,19.98,0.27,345.38659,4.08889,54790.16586,0.0
1005341,1104123027594.0,20.59,0.38,345.38682,4.08922,54790.17311,0.0
1005341,1104123027594.0,20.32,0.33,345.38685,4.08914,54790.18035,0.0
1005341,1104123027594.0,20.2,0.3,345.38677,4.08944,54800.08852000001,0.0
1005341,1104123027594.0,19.73,0.24,345.38682,4.0892800000000005,54716.35087,0.0
1005341,1104123027594.0,20.19,0.27,345.38695,4.0893,55059.404429999995,0.0
1005341,1104123027594.0,20.3,0.29,345.38701000000015,4.08924,55059.417460000004,0.0
1005341,1104123027594.0,20.27,0.33,345.38709,4.08932,55070.326,0.0
1005341,1104123027594.0,20.13,0.31,345.38694,4.089169999999998,55070.33315,0.0
1005341,1104123027594.0,20.46,0.37,345.38694,4.0892,55070.34752,0.0
1005341,1104123027594.0,20.24,0.43,345.3868,4.08936,55043.31827999999,0.0
1005341,1104123027594.0,19.54,0.29,345.38705,4.08896,55043.34155,0.0
1005341,1104123027594.0,19.84,0.26,345.38705,4.08934,55141.1822,0.0
1005341,1104123027594.0,20.43,0.36,345.38696,4.0894,55141.1968,0.0
1005341,1104123027594.0,20.32,0.34,345.38677,4.08943,55157.089329999995,0.0
1005341,1104123027594.0,19.61,0.23,345.38679,4.0892800000000005,55118.20387000001,0.0
1005341,1104123027594.0,20.06,0.3,345.3868,4.089519999999999,55118.21122000001,0.0
1005341,1104123027594.0,19.6,0.23,345.38712999999996,4.08953,55118.21856,0.0
1005341,1104123027594.0,20.04,0.3,345.38696,4.08943,55118.225920000004,0.0
1005341,1104123027594.0,20.56,0.39,345.38764,4.08943,55128.15911,0.0
1005341,1104123027594.0,20.12,0.29,345.3867,4.08927,55095.2532,0.0
1005341,1104123027594.0,19.91,0.3,345.38735,4.0892,55095.25981,0.0
1005341,1104123027594.0,20.68,0.36,345.38681,4.08942,55095.2762,0.0
1005341,1104123027594.0,20.16,0.27,345.38704,4.08941,55095.282739999995,0.0
1005341,1104123027594.0,19.79,0.33,345.38691,4.08898,55531.10737000001,0.0
1005341,1104123027594.0,19.95,0.35,345.38652,4.08899,55202.07871,0.0
1005341,1104123027594.0,19.89,0.27,345.38661,4.08936,55382.403210000004,0.0
1005341,1104123027594.0,19.94,0.28,345.38682,4.08902,55358.42946,0.0
1005341,1104123027594.0,20.25,0.33,345.38682,4.08945,55365.42073,0.0
1005341,1104123027594.0,20.53,0.38,345.38692000000015,4.08939,55365.42595,0.0
1005341,1104123027594.0,19.99,0.29,345.38707,4.08925,55365.43111000001,0.0
1005341,1104123027594.0,20.23,0.32,345.3869,4.08978,55365.43631000001,0.0
1005341,1104123027594.0,19.83,0.27,345.38716,4.08942,55335.44835,0.0
1005341,1104123027594.0,20.27,0.34,345.38699999999994,4.08946,55335.45529,0.0
1005341,1104123027594.0,20.88,0.48,345.38691,4.089519999999999,55512.20956,0.0
1005341,1104123027594.0,20.31,0.35,345.38667000000015,4.08916,55512.2366,0.0
1005341,1104123027594.0,20.09,0.3,345.38723999999996,4.0898400000000015,55480.225479999994,0.0
1005341,1104123027594.0,19.96,0.28,345.38659,4.08939,55480.246139999996,0.0
1005341,1104123027594.0,21.12,0.54,345.38716,4.0902,55498.11405,0.0
1005341,1104123027594.0,20.33,0.35,345.38723,4.0896300000000005,55498.129,0.0
1005341,1104123027594.0,20.78,0.44,345.38662,4.089119999999999,55498.13642,0.0
1005341,1104123027594.0,20.28,0.32,345.38712999999996,4.08902,55450.29587,0.0
1005341,1104123027594.0,20.44,0.35,345.3873,4.08905,55450.30105,0.0
1005341,1104123027594.0,20.66,0.42,345.38675,4.0895800000000015,55469.210929999994,0.0
1005341,1104123027594.0,20.35,0.35,345.38656000000015,4.08959,55469.22455,0.0
1005341,1104123027594.0,19.75,0.26,345.38709,4.0894900000000005,55565.130170000004,0.0
1005341,1104123027594.0,19.92,0.3,345.38709,4.0896300000000005,55708.45552,0.0
1005341,1104123027594.0,19.41,0.21,345.38695,4.08922,55822.28216,0.0
1005341,1104123027594.0,21.15,0.54,345.38749,4.08951,55835.24885,0.0
1005341,1104123027594.0,20.45,0.36,345.38699999999994,4.08948,55852.13413,0.0
1005341,1104123027594.0,19.8,0.25,345.38714,4.089119999999999,55852.1443,0.0
1005341,1104123027594.0,20.0,0.29,345.38608,4.08937,55928.06612,0.0
1005341,1104123027594.0,19.83,0.26,345.38876,4.08857,55928.06612,1.0
1005341,1104123027594.0,20.52,0.38,345.38674,4.0888300000000015,55928.07644,0.0
1005341,1104123027594.0,20.37,0.36,345.38675,4.0890900000000014,56096.41379,0.0
1005341,1104123027594.0,19.44,0.22,345.38773,4.08893,56096.42051,0.0
1005341,1104123027594.0,19.77,0.28,345.38673,4.08894,56151.310379999995,0.0
1005341,1104123027594.0,20.01,0.3,345.38665,4.0893,56151.32079,0.0
1005341,1104123027594.0,19.93,0.3,345.38704,4.08943,56151.32595,0.0
1005341,1104123027594.0,20.1,0.31,345.38675,4.089519999999999,56164.38649,0.0
1005341,1104123027594.0,19.78,0.26,345.38723,4.0894699999999995,56164.39224,0.0
1005341,1104123027594.0,19.72,0.22,345.38732999999996,4.0889,56183.24782999999,0.0
1005341,1104123027594.0,20.15,0.27,345.38641,4.08945,56183.25648,0.0
1005341,1104123027594.0,19.99,0.25,345.38683,4.08929,56183.26519,0.0
1005341,1104123027594.0,19.46,0.22,345.38707,4.08937,56205.17668,0.0
1005341,1104123027594.0,20.55,0.4,345.38707,4.08941,56214.15524,0.0
1005341,1104123027594.0,20.28,0.34,345.38725,4.0894,56214.164189999996,0.0
1005341,1104123027594.0,20.96,0.5,345.38652,4.08933,56214.18236,0.0
1005341,1104123027594.0,20.13,0.27,345.38665,4.08941,56220.231120000004,0.0
1005341,1104123027594.0,19.93,0.24,345.38685,4.0894,56220.24246,0.0
1005341,1104123027594.0,20.5,0.32,345.38677,4.0892,56237.13505,0.0
1005341,1104123027594.0,20.12,0.26,345.38714,4.08942,56237.143679999994,0.0
1005341,1104123027594.0,20.1,0.26,345.38697,4.0896099999999995,56237.15232000001,0.0
1005341,1104123027594.0,20.26,0.28,345.38731,4.08945,56237.16095,0.0
1005341,1104123027594.0,20.21,0.35,345.38693,4.0892800000000005,56460.420210000004,0.0
1005341,1104123027594.0,20.65,0.45,345.38704,4.0894,56532.345579999994,0.0
1005341,1104123027594.0,19.95,0.31,345.38681,4.0896300000000005,56532.3533,0.0
1005341,1104123027594.0,20.26,0.37,345.38705,4.089519999999999,56538.32067000001,0.0
1005341,1104123027594.0,20.14,0.35,345.38694,4.08946,56538.3288,0.0
1005341,1104123027594.0,20.32,0.39,345.38692000000015,4.08915,56538.33218,0.0
1005341,1104123027594.0,19.31,0.21,345.38678,4.08934,56549.288629999995,0.0
1005341,1104123027594.0,20.74,0.46,345.38653,4.08945,56549.30327999999,0.0
1005341,1104123027594.0,20.24,0.33,345.38693,4.0892300000000015,56563.32946,0.0
1005341,1104123027594.0,19.9,0.27,345.38696,4.08946,56563.336,0.0
1005341,1104123027594.0,20.31,0.34,345.3869,4.0896,56563.342710000004,0.0
1005341,1104123027594.0,19.85,0.27,345.38695,4.08946,56563.34929,0.0
1005341,1104123027594.0,20.37,0.35,345.3869,4.0892599999999995,56576.194129999996,0.0
1005341,1104123027594.0,19.97,0.28,345.38723999999996,4.08955,56576.1991,0.0
1005341,1104123027594.0,20.18,0.32,345.38714,4.08941,56576.20407000001,0.0
