InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
1005401,1126113060141,21.18,0.57,349.03529,27.604440000000004,53678.251580000004,0
1005401,1126113060141,20.21,0.32,349.03502000000015,27.60531,53695.11325,0
1005401,1126113060141,19.62,0.23,349.03529,27.604159999999997,54450.15707000001,0
1005401,1126113060141,20.03,0.29,349.03499,27.605359999999997,54480.11988,0
1005401,1126113060141,20.54,0.4,349.03565,27.604020000000002,55009.39929,0
1005401,1126113060141,21.27,0.61,349.03522000000015,27.6027,55009.410229999994,0
1005401,1126113060141,19.71,0.24,349.03452000000016,27.602840000000004,55131.13941,0
1005401,1126113060141,20.68,0.42,349.03526,27.60462,55476.188220000004,0
1005401,1126113060141,19.79,0.25,349.03485,27.604229999999998,55453.38557000001,0
1005401,1126113060141,20.35,0.33,349.03561,27.60493,55854.26326,0
1005401,1126113060141,20.79,0.37,349.03485,27.60473,55924.13963,0
1005401,1126113060141,20.76,0.37,349.03499,27.60373,55924.14642999999,0
1005401,1126113060141,21.0,0.5,349.03506,27.603579999999997,55945.09252000001,0
1005401,1126113060141,20.63,0.41,349.03448,27.60496,56068.44617,0
1005401,1126113060141,19.35,0.23,349.03529,27.60315,56077.432539999994,0
1005401,1126113060141,20.15,0.33,349.03465,27.603479999999998,56100.41045,0
1005401,1126113060141,20.39,0.37,349.03506,27.603270000000002,56100.41957000001,0
1005401,1126113060141,20.91,0.49,349.03394,27.60569000000001,56204.15261000001,0
1005401,1126113060141,21.31,0.59,349.03541,27.60428,56561.19996000001,0
1005401,1126113060141,20.04,0.29,349.03463999999997,27.604779999999998,56569.19784,0
1005401,1126113060141,21.07,0.54,349.03515,27.60372000000001,56589.122520000004,0
1005401,1126113060141,19.87,0.27,349.03508,27.6047,56589.13371,0
1005401,1126113060310,18.49,0.14,349.029,27.609309999999997,53709.06487,0
1005401,1126113060310,18.54,0.14,349.02896,27.60932,53709.07295,0
1005401,1126113060310,18.61,0.15,349.02909,27.609379999999998,53709.08107000001,0
1005401,1126113060310,18.63,0.15,349.02907000000016,27.60926,53709.08912999999,0
